jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460185.7758796,2,2431275872915,20.077299118041992,/ztf/archive/sci/2023/0829/275856/ztf_20230829275856_000690_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.431275872915015e+18,t,2.0,2431.0,29.0,690.0,2383.7900390625,777.8480224609375,325.3820478,32.9850266,17.3218994140625,0.10120800137519836,33.5890007019043,17.41010093688965,0.04129999876022339,0.5818949937820435,15.77299976348877,0.0430000014603138,2.7939999103546143,0.08299999684095383,0.22961199283599854,0.08823700249195099,1.125290036201477,0.996999979019165,688.7059936523438,2.667180061340332,2.0,0.6269999742507935,0.4099999964237213,0.557191014289856,0.3643510043621063,1.529270052909851,6.0,0.0,0.495714008808136,0.7541409730911255,17.42449951171875,0.051600001752376556,325.3819182,32.9851533,5.4576,26.355899810791016,1.453179947930039e-06,0.014052099548280239,0.07574500143527985,4.057760179421166e-06,t17_f5_c3,ZTF17aabuqoz
2460185.7763426,2,2431276341615,19.990999221801758,/ztf/archive/sci/2023/0829/276343/ztf_20230829276343_000689_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2431.0,16.0,689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.304399490356445,1.974789938685717e-06,0.01629669964313507,0.07955539971590042,5.494040124176536e-06,t17_f5_c3,ZTF17aabuqoz
2460185.783669,1,2431283664915,19.70050048828125,/ztf/archive/sci/2023/0829/283657/ztf_20230829283657_001687_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.431283664915015e+18,t,4.0,2431.0,49.0,1687.0,1397.9100341796875,1694.56005859375,325.3820628,32.9850285,18.686199188232422,0.12706099450588226,2.380120038986206,18.513999938964844,0.14139999449253082,0.44899600744247437,16.549999237060547,0.061000000685453415,3.6760001182556152,0.23499999940395355,0.07534699887037277,-0.17222300171852112,2.7200000286102295,0.9909999966621399,1385.93994140625,1.1865299940109253,0.87260901927948,0.8529999852180481,0.7300000190734863,0.313603013753891,0.2683820128440857,1.1684900522232056,4.0,0.0,0.88857102394104,0.998278021812439,18.5939998626709,0.1931000053882599,325.3819576,32.9851182,6.4859,26.313199996948242,4.301070021028863e-06,0.02199609950184822,-0.04663350060582161,1.2469499779399484e-05,t17_f5_c3,ZTF17aabuqoz
2460185.7841435,1,2431284144915,19.758499145507812,/ztf/archive/sci/2023/0829/284132/ztf_20230829284132_001687_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,3,2.431284144915015e+18,t,4.0,2431.0,49.0,1687.0,1398.0,1693.8699951171875,325.3821356,32.9851128,18.513999938964844,0.11958999931812286,3.4791300296783447,18.624099731445312,0.15279999375343323,0.5313079953193665,16.549999237060547,0.061000000685453415,3.6760001182556152,0.23499999940395355,-0.02910199947655201,0.11013100296258926,1.1530100107192993,0.4690000116825104,1386.6300048828125,1.1344000101089478,2.0,0.7390000224113464,0.5870000123977661,0.640932023525238,0.509103000164032,1.2589399814605713,3.0,0.0,0.8742859959602356,1.0,18.590999603271484,0.18799999356269836,325.3819576,32.9851182,8.76673,26.312000274658203,4.014480055047898e-06,0.021186700090765953,-0.046609800308942795,1.161700038210256e-05,t17_f5_c3,ZTF17aabuqoz
2460185.9538889,1,2431453881615,19.76740074157715,/ztf/archive/sci/2023/0829/453889/ztf_20230829453889_000689_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.431453881615015e+18,t,3.0,2431.0,16.0,689.0,1999.6099853515625,760.2949829101562,325.3819415,32.9850118,18.0447998046875,0.09390699863433838,5.443079948425293,18.076499938964844,0.08720000088214874,0.6158289909362793,16.631000518798828,0.05400000140070915,3.8459999561309814,0.15399999916553497,0.20059199631214142,0.03174600005149841,2.2200000286102295,0.9980000257492065,760.2949829101562,1.6909500360488892,1.0998599529266357,0.7279999852180481,0.6499999761581421,0.32792800664901733,0.29279300570487976,1.1200000047683716,3.0,0.0,0.9528570175170898,1.0,18.059600830078125,0.10859999805688858,325.3819465,32.985185,10.6651,26.244800567626953,3.3237099614780163e-06,0.021664299070835114,-0.045016098767519,9.184420378005598e-06,t17_f5_c3,ZTF17aabuqoz
2460185.954838,1,2431454832915,19.796100616455078,/ztf/archive/sci/2023/0829/454826/ztf_20230829454826_000690_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.431454832915015e+18,t,1.0,2431.0,29.0,690.0,2317.169921875,746.2919921875,325.3821162,32.9850017,18.631200790405273,0.11671800166368484,2.5685501098632812,18.7091007232666,0.15000000596046448,0.7261040210723877,16.54599952697754,0.03999999910593033,2.8540000915527344,0.05299999937415123,0.4358220100402832,0.07786999642848969,1.2324299812316895,0.9769999980926514,746.2919921875,1.0870399475097656,2.0,0.7519999742507935,0.5960000157356262,0.6101740002632141,0.48359599709510803,1.26173996925354,3.0,0.0,0.9057139754295349,0.9518240094184875,18.746999740600586,0.19670000672340393,325.3819426,32.9851429,5.39539,26.287200927734375,3.1726899578643497e-06,0.021000899374485016,-0.05374870076775551,8.868410077411681e-06,t17_f5_c3,ZTF17aabuqoz
2460186.8234375,1,2432323434915,19.444799423217773,/ztf/archive/sci/2023/0830/323368/ztf_20230830323368_001687_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2432.0,49.0,1687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.308799743652344,5.404860075941542e-06,0.024364499375224113,-0.051265399903059006,1.5748000805615447e-05,t17_f5_c3,ZTF17aabuqoz
2460186.8239005,1,2432323904915,19.44770050048828,/ztf/archive/sci/2023/0830/323900/ztf_20230830323900_001687_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,3,,,,2432.0,49.0,1687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.302000045776367,5.287120075081475e-06,0.02418760024011135,-0.04346369951963425,1.5352899936260656e-05,t17_f5_c3,ZTF17aabuqoz
2460187.675706,1,2433175701615,19.377099990844727,/ztf/archive/sci/2023/0831/175706/ztf_20230831175706_000689_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2433.0,16.0,689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.25480079650879,5.222940217208816e-06,0.02680310048162937,-0.0341343991458416,1.4458600162470248e-05,t17_f5_c3,ZTF17aabuqoz
2460187.6788773,1,2433178872915,19.282899856567383,/ztf/archive/sci/2023/0831/178866/ztf_20230831178866_000690_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2433.0,29.0,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.35580062866211,5.617509941657772e-06,0.027860600501298904,-0.08991649746894836,1.5646499377908185e-05,t17_f5_c3,ZTF17aabuqoz
