jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460183.9932639,2,2429493261815,19.722900390625,/ztf/archive/sci/2023/0827/493252/ztf_20230827493252_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2429.0,18.0,662.0,26.22369956970215,4.684859959525056e-06,0.029073700308799744,0.11252400279045105,9.32868988456903e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
2460183.9957407,2,2429495741815,19.887399673461914,/ztf/archive/sci/2023/0827/495718/ztf_20230827495718_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2429.0,18.0,662.0,26.225099563598633,3.70937004845473e-06,0.025847600772976875,0.10945700109004974,7.369329978246242e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
2460183.998206,2,2429498201815,19.752899169921875,/ztf/archive/sci/2023/0827/498194/ztf_20230827498194_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2429.0,18.0,662.0,26.2450008392334,9.240990038961172e-06,0.040901798754930496,0.1060279980301857,1.835590046539437e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
2460184.0006829,2,2429500681815,19.597200393676758,/ztf/archive/sci/2023/0827/500660/ztf_20230827500660_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2429.0,18.0,662.0,26.24519920349121,1.0146700333280023e-05,0.042765699326992035,0.10553299635648727,2.0205699911457486e-05,t17_f5_c3,2.429500681815015e+18,t,3.0,2357.919921875,2663.429931640625,112.3458345,31.6302539,16.64620018005371,0.038058001548051834,15.358400344848633,16.471500396728516,0.02019999921321869,0.7308679819107056,14.864999771118164,0.019999999552965164,1.1829999685287476,-0.05000000074505806,-0.18002399802207947,-0.1747180074453354,1.704450011253357,0.9929999709129333,417.06500244140625,3.12568998336792,2.0,0.8109999895095825,0.7910000085830688,0.47581198811531067,0.46407800912857056,1.0252799987792969,0.0,0.0,0.7585710287094116,1.0,16.463600158691406,0.023800000548362732,112.3456055,31.6301886,11.3248,,,,ZTF17aadklwt
2460184.0031481,2,2429503141815,19.513399124145508,/ztf/archive/sci/2023/0827/503137/ztf_20230827503137_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2429.0,18.0,662.0,26.24519920349121,8.016560059331823e-06,0.03804050013422966,0.10766000300645828,1.5986299331416376e-05,t17_f5_c3,2.429503141815015e+18,t,4.0,2356.85009765625,2665.469970703125,112.3459271,31.630129,16.68320083618164,0.07183200120925903,13.734600067138672,16.42300033569336,0.019999999552965164,1.011549949645996,14.864999771118164,0.019999999552965164,1.1829999685287476,-0.05000000074505806,-0.02850000001490116,-0.2602350115776062,1.7465499639511108,0.9929999709129333,415.0270080566406,3.0903499126434326,2.0,0.8690000176429749,0.8610000014305115,0.4975540041923523,0.4929729998111725,1.0092899799346924,0.0,0.0,0.6457139849662781,1.0,16.40290069580078,0.023499999195337296,112.3456055,31.6301886,8.83579,,,,ZTF17aadklwt
2460184.9922569,2,2430492251815,19.925500869750977,/ztf/archive/sci/2023/0828/492257/ztf_20230828492257_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2430.0,18.0,662.0,26.21380043029785,3.8040000163164223e-06,0.025916999205946922,0.10834600031375885,7.592139809275977e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
2460184.9947338,2,2430494731815,19.60810089111328,/ztf/archive/sci/2023/0828/494722/ztf_20230828494722_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2430.0,18.0,662.0,26.21780014038086,8.287320270028431e-06,0.03834730014204979,0.10695499926805496,1.645459997234866e-05,t17_f5_c3,2.430494731815015e+18,t,24.0,2355.3701171875,2621.510009765625,112.3456497,31.6300697,16.821800231933594,0.09960299730300903,18.49650001525879,16.772300720214844,0.027400000020861626,0.443325012922287,14.864999771118164,0.019999999552965164,1.1829999685287476,-0.05000000074505806,-1.004520058631897,-0.049490999430418015,1.588420033454895,0.9959999918937683,458.9909973144531,2.835779905319214,2.0,0.8180000185966492,0.7020000219345093,0.5149779915809631,0.4419490098953247,1.1652400493621826,0.0,0.0,0.7885710000991821,1.0,16.740100860595703,0.03189999982714653,112.3456055,31.6301886,7.55288,,,,ZTF17aadklwt
2460184.9971991,2,2430497191815,19.991199493408203,/ztf/archive/sci/2023/0828/497199/ztf_20230828497199_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2430.0,18.0,662.0,26.218799591064453,4.795680069946684e-06,0.029190899804234505,0.11048900336027145,9.559429599903524e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
2460184.9996759,2,2430499671815,20.052400588989258,/ztf/archive/sci/2023/0828/499676/ztf_20230828499676_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2430.0,18.0,662.0,26.216400146484375,3.7433499073813437e-06,0.02564159967005253,0.10962700098752975,7.4797499109990895e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
2460185.0021528,2,2430502151815,20.021799087524414,/ztf/archive/sci/2023/0828/502153/ztf_20230828502153_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2430.0,18.0,662.0,26.223400115966797,3.888189894496463e-06,0.026268700137734413,0.10762099921703339,7.712839760642964e-06,t17_f5_c3,2.430502151815015e+18,t,6.0,2355.330078125,2624.9599609375,112.345665,31.63007,16.627399444580078,0.06689000129699707,90.2605972290039,16.54800033569336,0.019999999552965164,0.4584439992904663,14.864999771118164,0.019999999552965164,1.1829999685287476,-0.05000000074505806,-0.3903610110282898,-0.07938899844884872,1.3154699802398682,0.996999979019165,455.5360107421875,3.473759889602661,2.0,0.718999981880188,0.6510000228881836,0.5465720295906067,0.49487900733947754,1.104449987411499,1.0,0.0,0.7771430015563965,1.0,16.53070068359375,0.023099999874830246,112.3456055,31.6301886,7.55582,,,,ZTF17aadklwt
2460185.9930903,2,2431493091815,20.125600814819336,/ztf/archive/sci/2023/0829/493079/ztf_20230829493079_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2431.0,18.0,662.0,26.226600646972656,2.8661299893428804e-06,0.022614700719714165,0.1073789969086647,5.675639840774238e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
2460185.9956134,2,2431495611815,19.943099975585938,/ztf/archive/sci/2023/0829/495590/ztf_20230829495590_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2431.0,18.0,662.0,26.222900390625,4.105289917788468e-06,0.027055099606513977,0.11587999761104584,8.128609806590248e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
2460185.998125,2,2431498121815,20.066600799560547,/ztf/archive/sci/2023/0829/498113/ztf_20230829498113_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2431.0,18.0,662.0,26.231199264526367,3.1026800115796505e-06,0.023416699841618538,0.1112309992313385,6.142399797681719e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
2460186.0006481,2,2431500641815,19.930099487304688,/ztf/archive/sci/2023/0829/500637/ztf_20230829500637_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2431.0,18.0,662.0,26.230300903320312,3.937469955417328e-06,0.026413699612021446,0.10960999876260757,7.801940228091553e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
2460186.0031597,2,2431503151815,19.965499877929688,/ztf/archive/sci/2023/0829/503148/ztf_20230829503148_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2431.0,18.0,662.0,26.23979949951172,3.1775100524100708e-06,0.023788200691342354,0.11046300083398819,6.277190095715923e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
2460186.9948611,2,2432494861815,19.314300537109375,/ztf/archive/sci/2023/0830/494803/ztf_20230830494803_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2432.0,18.0,662.0,26.181499481201172,5.90405988987186e-06,0.03244360163807869,0.11768700182437897,1.1678899682010524e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
2460186.9973843,2,2432497381815,19.27560043334961,/ztf/archive/sci/2023/0830/497326/ztf_20230830497326_000662_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,1,2432.0,18.0,662.0,26.203100204467773,7.083629952830961e-06,0.035533200949430466,0.11259700357913971,1.4021099559613504e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF17aadklwt
