jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459966.7700116,2,2212270011415,20.089099884033203,/ztf/archive/sci/2023/0122/269861/ztf_20230122269861_000566_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2212,14,566,26.1028995513916,4.0621198422741145e-06,0.03206390142440796,0.07338730245828629,9.69183020060882e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaaluzq
2459967.7492361,2,2213249230315,19.5757999420166,/ztf/archive/sci/2023/0123/249225/ztf_20230123249225_000565_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2213,3,565,26.057300567626953,3.907880000042496e-06,0.03127399832010269,0.07324740290641785,9.70169003267074e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaaluzq
2459967.8224769,1,2213322470315,19.307899475097656,/ztf/archive/sci/2023/0123/322315/ztf_20230123322315_000565_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2213,3,565,26.15839958190918,2.2975500542088412e-05,0.04749809950590134,-0.03209710121154785,7.786339847370982e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaaluzq
2459968.7339931,2,2214233991415,20.065099716186523,/ztf/archive/sci/2023/0124/233970/ztf_20230124233970_000566_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2214,14,566,26.09239959716797,3.4600500384840416e-06,0.029407599940896034,0.08180420100688934,8.266540135082323e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaaluzq
2459968.7578935,1,2214257891415,20.2731990814209,/ztf/archive/sci/2023/0124/257870/ztf_20230124257870_000566_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2214,14,566,26.197900772094727,7.2793800427461974e-06,0.04296699911355972,-0.08271069824695587,1.7328000467387028e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaaluzq
2459969.7694097,1,2215269400315,20.21030044555664,/ztf/archive/sci/2023/0125/269410/ztf_20230125269410_000565_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2215,3,565,26.200300216674805,3.7964600778650492e-06,0.03158950060606003,-0.06371279805898666,9.26865959627321e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaaluzq
2459969.7974074,2,2215297400315,19.980899810791016,/ztf/archive/sci/2023/0125/297396/ztf_20230125297396_000565_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2215,3,565,26.10449981689453,1.9900598999811336e-06,0.022780999541282654,0.0676632970571518,4.860869921685662e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaaluzq
2459970.7453241,2,2216245321415,19.528799057006836,/ztf/archive/sci/2023/0126/245174/ztf_20230126245174_000566_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2216,14,566,26.105499267578125,6.4464297793165315e-06,0.03937479853630066,0.08710990101099014,1.5290699593606405e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaaluzq
2459970.7754977,1,2216275491415,19.937700271606445,/ztf/archive/sci/2023/0126/275486/ztf_20230126275486_000566_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2216,14,566,26.212900161743164,1.0085000212711748e-05,0.04593589901924133,-0.0766763985157013,2.7137499273521826e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaaluzq
2459971.8099074,2,2217309900315,19.990699768066406,/ztf/archive/sci/2023/0127/309884/ztf_20230127309884_000565_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2217,3,565,26.08839988708496,1.996849960050895e-06,0.02236259914934635,0.07433880120515823,4.947609795635799e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaaluzq
