jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460032.7242477,2,2278224240515,19.812000274658203,/ztf/archive/sci/2023/0329/224236/ztf_20230329224236_001568_zr_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2278.0,5.0,1568.0,26.141199111938477,1.2463499842851888e-05,0.02848130092024803,0.09713520109653473,1.8147700757253915e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aabszen
2460046.7064468,1,2292206440515,20.670700073242188,/ztf/archive/sci/2023/0412/206447/ztf_20230412206447_001568_zg_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2292.0,5.0,1568.0,26.356300354003906,1.1000400263583288e-05,0.026953300461173058,-0.08743219822645187,1.625259938009549e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aabszen
2460056.7456829,2,2302245680515,20.49690055847168,/ztf/archive/sci/2023/0422/245683/ztf_20230422245683_001568_zr_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2302.0,5.0,1568.0,26.32469940185547,1.2006699762423523e-05,0.02771189995110035,0.11205799877643585,1.7380800272803754e-05,t17_f5_c3,2.30224568051501e+18,f,1.0,269.6910095214844,337.1700134277344,165.0613103,13.26451,19.94969940185547,0.13781599700450897,2.008270025253296,19.86989974975586,0.23499999940395355,0.21207599341869354,18.430999755859375,0.017999999225139618,0.652999997138977,-0.032999999821186066,-0.10454600304365158,-0.07984200119972229,1.1800800561904907,0.8080000281333923,269.6910095214844,0.6270300149917603,2.0,0.6660000085830688,0.593999981880188,0.5643699765205383,0.5033569931983948,1.121209979057312,3.0,0.0,0.949999988079071,1.0,19.993099212646484,0.335999995470047,165.061338,13.2644568,7.83787,,,,ZTF18aabszen
2460057.7054745,1,2303205470515,20.615999221801758,/ztf/archive/sci/2023/0423/205463/ztf_20230423205463_001568_zg_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2303.0,5.0,1568.0,26.40399932861328,1.083349980035564e-05,0.026676800101995468,-0.08793389797210693,1.5893599993432872e-05,t17_f5_c3,2.303205470515015e+18,t,1.0,254.1020050048828,334.2070007324219,165.0613761,13.2643839,19.95800018310547,0.19230100512504578,1.5437300205230713,19.812999725341797,0.1932000070810318,0.26295599341392517,18.774999618530273,0.023000000044703484,1.2740000486373901,-0.019999999552965164,0.0960720032453537,-0.1450130045413971,2.5399999618530273,0.8450000286102295,254.1020050048828,0.8029559850692749,0.9714289903640747,0.6899999976158142,0.5080000162124634,0.27165400981903076,0.20000000298023224,1.3582700490951538,6.0,0.0,0.9314290285110474,0.8691750168800354,19.653600692749023,0.21240000426769257,165.0613377,13.2644477,5.55065,,,,ZTF18aabszen
2460059.6873727,1,2305187370515,20.310699462890625,/ztf/archive/sci/2023/0425/187361/ztf_20230425187361_001568_zg_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2305.0,5.0,1568.0,26.348600387573242,1.4427900168811902e-05,0.03036480024456978,-0.07918629795312881,2.1105699488543905e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aabszen
2460042.8197454,2,2288319743715,18.62470054626465,/ztf/archive/sci/2023/0408/319664/ztf_20230408319664_000522_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2288.0,37.0,522.0,25.71030044555664,0.00027626100927591324,0.11138500273227692,0.05393179878592491,0.0004225409938953817,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aabszen
2460044.7018866,2,2290201883715,20.2908992767334,/ztf/archive/sci/2023/0410/201887/ztf_20230410201887_000522_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2290.0,37.0,522.0,26.267499923706055,1.060029990185285e-05,0.023706700652837753,0.12153399735689163,1.5844800145714544e-05,t17_f5_c3,2.29020188371501e+18,f,0.0,3047.090087890625,1159.5899658203125,165.0612156,13.2643329,20.252500534057617,0.25580498576164246,1.04367995262146,19.801799774169922,0.2298000007867813,0.575577974319458,18.475000381469727,0.01899999938905239,0.8259999752044678,-0.027000000700354576,-0.09653499722480774,-0.4507189989089966,1.363800048828125,0.7329999804496765,25.41189956665039,0.4891189932823181,2.0,0.8100000023841858,0.5460000038146973,0.5939310193061829,0.4003539979457855,1.4835200309753418,6.0,0.0,0.7314289808273315,0.9040160179138184,19.71339988708496,0.27070000767707825,165.0613279,13.2644523,5.44626,,,,ZTF18aabszen
2460046.7314583,1,2292231453715,20.664100646972656,/ztf/archive/sci/2023/0412/231458/ztf_20230412231458_000522_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2292.0,37.0,522.0,26.26930046081543,1.3418500202533323e-05,0.026403499767184258,-0.04413989931344986,2.0241999663994648e-05,t17_f5_c3,2.29223145371501e+18,f,0.0,3056.860107421875,1131.0699462890625,165.0611948,13.264444,19.946300506591797,0.2380550056695938,1.2321699857711792,19.868499755859375,0.17669999599456787,0.45074599981307983,18.55299949645996,0.017000000923871994,0.8790000081062317,0.0,0.1428930014371872,-0.07779599726200104,2.069999933242798,0.7960000038146973,15.6427001953125,0.7956249713897705,1.3120700120925903,0.8339999914169312,0.5870000123977661,0.40289899706840515,0.28357499837875366,1.4207799434661865,4.0,0.0,0.8485710024833679,1.0,19.896499633789062,0.23080000281333923,165.0613216,13.2644728,8.74646,,,,ZTF18aabszen
2460050.6849884,1,2296184983715,20.502899169921875,/ztf/archive/sci/2023/0416/184977/ztf_20230416184977_000522_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2296.0,37.0,522.0,26.212499618530273,1.2296400200284552e-05,0.025577500462532043,-0.03997170180082321,1.897100082715042e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aabszen
2460050.7306134,2,2296230613715,20.499000549316406,/ztf/archive/sci/2023/0416/230556/ztf_20230416230556_000522_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2296.0,37.0,522.0,26.244600296020508,1.0577499779174104e-05,0.023669300600886345,0.1153699979186058,1.5882700608926825e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aabszen
