jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460242.0202894,2,2487520284815,19.1427001953125,/ztf/archive/sci/2023/1024/520185/ztf_20231024520185_000672_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,2487.0,48.0,672.0,25.86520004272461,4.7342000470962375e-05,0.04760289937257767,0.0986350029706955,7.319729775190353e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aajmmmo
2460242.0228356,2,2487522834815,19.18470001220703,/ztf/archive/sci/2023/1024/522685/ztf_20231024522685_000672_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,2487.0,48.0,672.0,25.873300552368164,5.08246012032032e-05,0.049530401825904846,0.10105899721384048,7.746760093141347e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aajmmmo
2460242.0253704,2,2487525374815,19.152999877929688,/ztf/archive/sci/2023/1024/525232/ztf_20231024525232_000672_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,2487.0,48.0,672.0,25.893600463867188,4.343859836808406e-05,0.0454384982585907,0.09001459926366806,6.596610182896256e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aajmmmo
2460242.0279167,2,2487527914815,19.227800369262695,/ztf/archive/sci/2023/1024/527766/ztf_20231024527766_000672_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,2487.0,48.0,672.0,25.902999877929688,4.837629967369139e-05,0.048741601407527924,0.0896017998456955,7.33518972992897e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aajmmmo
2460242.030463,2,2487530464815,19.195600509643555,/ztf/archive/sci/2023/1024/530312/ztf_20231024530312_000672_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,2487.0,48.0,672.0,25.913700103759766,4.239789996063337e-05,0.045950401574373245,0.09468699991703033,6.362100248225033e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aajmmmo
2460243.02,2,2488519994815,19.881000518798828,/ztf/archive/sci/2023/1025/519780/ztf_20231025519780_000672_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,2488.0,48.0,672.0,25.90730094909668,1.7717300579533912e-05,0.030536899343132973,0.10416799783706665,2.711809975153301e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aajmmmo
2460243.0225579,2,2488522554815,19.798999786376953,/ztf/archive/sci/2023/1025/522396/ztf_20231025522396_000672_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,2488.0,48.0,672.0,25.907400131225586,1.9434999558143318e-05,0.032194700092077255,0.10703399777412415,3.000859942403622e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aajmmmo
2460243.0251157,2,2488525114815,19.8617000579834,/ztf/archive/sci/2023/1025/524954/ztf_20231025524954_000672_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,2488.0,48.0,672.0,25.916200637817383,2.793480052787345e-05,0.0384833998978138,0.10637500137090683,4.3090400140499696e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aajmmmo
2460243.0276736,2,2488527674815,19.905000686645508,/ztf/archive/sci/2023/1025/527512/ztf_20231025527512_000672_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,2488.0,48.0,672.0,25.92169952392578,2.1682599253836088e-05,0.03411399945616722,0.10757099837064743,3.3521999284857884e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aajmmmo
2460243.0302199,2,2488530214815,19.97089958190918,/ztf/archive/sci/2023/1025/530058/ztf_20231025530058_000672_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,2488.0,48.0,672.0,25.937299728393555,1.8970100427395664e-05,0.03176030144095421,0.10640700161457062,2.9380100386333652e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aajmmmo
