jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460059.7325926,2,2305232595715,20.237600326538086,/ztf/archive/sci/2023/0425/232581/ztf_20230425232581_000575_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2305.0,57.0,575.0,26.138500213623047,1.5329400412156247e-05,0.025054000318050385,0.11474200338125229,2.278780084452592e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aalpkec
2460059.8193519,1,2305319355715,20.624000549316406,/ztf/archive/sci/2023/0425/319340/ztf_20230425319340_000575_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2305.0,57.0,575.0,26.228900909423828,2.2301899662124924e-05,0.03037310019135475,-0.06433279812335968,3.344699871377088e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aalpkec
2460061.6702083,1,2307170205715,20.368999481201172,/ztf/archive/sci/2023/0427/170208/ztf_20230427170208_000575_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2307.0,57.0,575.0,26.235700607299805,2.4010099878069013e-05,0.031201500445604324,-0.04883819818496704,3.626160105341114e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aalpkec
2460061.7156134,2,2307215615715,20.36870002746582,/ztf/archive/sci/2023/0427/215602/ztf_20230427215602_000575_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2307.0,57.0,575.0,26.1653995513916,1.8914699467131868e-05,0.02794869989156723,0.10467500239610672,2.8042599296895787e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aalpkec
2460063.6904861,1,2309190485715,20.081300735473633,/ztf/archive/sci/2023/0429/190475/ztf_20230429190475_000575_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2309.0,57.0,575.0,26.28179931640625,3.5678000131156296e-05,0.037341099232435226,-0.046145301312208176,5.577909905696288e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aalpkec
2460063.7527083,2,2309252705715,20.116100311279297,/ztf/archive/sci/2023/0429/252708/ztf_20230429252708_000575_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2309.0,57.0,575.0,26.208200454711914,1.9059700207435526e-05,0.02768700011074543,0.099127396941185,2.8312000722507946e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aalpkec
2460067.8533333,1,2313353335715,18.75079917907715,/ztf/archive/sci/2023/0503/353322/ztf_20230503353322_000575_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2313.0,57.0,575.0,26.1289005279541,9.18572986847721e-05,0.039189498871564865,-0.02529270015656948,0.0001855870068538934,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aalpkec
2460077.721956,2,2323221955715,20.474899291992188,/ztf/archive/sci/2023/0513/221944/ztf_20230513221944_000575_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2323.0,57.0,575.0,26.158599853515625,1.3574200238508638e-05,0.023899400606751442,0.11140900105237961,2.0397499611135572e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aalpkec
2460077.7916435,1,2323291645715,20.3533992767334,/ztf/archive/sci/2023/0513/291644/ztf_20230513291644_000575_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2323.0,57.0,575.0,26.238000869750977,3.111609839834273e-05,0.03546049818396568,-0.0547792986035347,4.7983601689338684e-05,t17_f5_c3,2.323291645715015e+18,t,7.0,205.80099487304688,1446.739990234375,179.2947109,22.2961803,19.204999923706055,0.13131199777126312,2.5285799503326416,19.376399993896484,0.1550000011920929,0.6509339809417725,17.191999435424805,0.04699999839067459,3.7929999828338623,0.23000000417232513,0.11799599975347519,0.17143599689006805,1.4501999616622925,0.9039999842643738,205.80099487304688,0.9769719839096069,2.0,0.7770000100135803,0.7149999737739563,0.5357869863510132,0.4930349886417389,1.086709976196289,3.0,0.0,0.945713996887207,0.957834005355835,19.4414005279541,0.20250000059604645,179.294525,22.2962431,8.49052,ZTF18aalpkec
2460079.8729051,2,2325372905715,19.89389991760254,/ztf/archive/sci/2023/0515/372685/ztf_20230515372685_000575_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2325.0,57.0,575.0,25.99139976501465,3.861510049318895e-05,0.039845798164606094,0.11814200133085251,5.668519952450879e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aalpkec
