jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460184.6669792,2,2430166972115,20.109800338745117,/ztf/archive/sci/2023/0828/166979/ztf_20230828166979_000723_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2430.0,21.0,723.0,26.32539939880371,3.2215700684901094e-06,0.024390999227762222,0.10030999779701233,6.194789875735296e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aamndyk
2460184.6782523,2,2430178252115,19.93440055847168,/ztf/archive/sci/2023/0828/178252/ztf_20230828178252_000723_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2430.0,21.0,723.0,26.31060028076172,5.174360012460966e-06,0.030821900814771652,0.11261100322008133,9.900580153043848e-06,t17_f5_c3,2.430178252115015e+18,t,6.0,962.4329833984375,2493.43994140625,253.467637,39.7601667,15.836600303649902,0.04254300147294998,59.539100646972656,15.804699897766113,0.014299999922513962,0.17391300201416016,14.020000457763672,0.039000000804662704,2.9049999713897705,0.16200000047683716,0.18175600469112396,-0.03191300109028816,1.2826600074768066,0.996999979019165,587.0599975585938,4.129680156707764,2.0,0.7350000143051147,0.6869999766349792,0.5730299949645996,0.5356069803237915,1.0698699951171875,1.0,0.0,0.9042860269546509,1.0,15.79640007019043,0.016100000590085983,253.4675818,39.7601911,14.8583,ZTF18aamndyk
2460184.7017593,1,2430201752115,19.749099731445312,/ztf/archive/sci/2023/0828/201759/ztf_20230828201759_000723_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2430.0,21.0,723.0,26.291799545288086,6.583530193893239e-06,0.033104799687862396,-0.041516199707984924,1.466269986849511e-05,t17_f5_c3,2.430201752115015e+18,t,5.0,955.072021484375,2487.2099609375,253.4676636,39.7601922,16.018800735473633,0.04364600032567978,12.954099655151367,16.030899047851562,0.016300000250339508,0.28899601101875305,14.567000389099121,0.02199999988079071,1.7890000343322754,0.0560000017285347,1.6675299406051636,0.012101000174880028,2.140000104904175,0.9710000157356262,593.2899780273438,3.718209981918335,1.2282899618148804,0.8050000071525574,0.7260000109672546,0.37616801261901855,0.3392519950866699,1.1088099479675293,0.0,0.0,0.9328569769859314,1.0,16.02560043334961,0.019099999219179153,253.4675578,39.7601906,11.9857,ZTF18aamndyk
2460184.7181829,1,2430218182115,19.887699127197266,/ztf/archive/sci/2023/0828/218171/ztf_20230828218171_000723_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2430.0,21.0,723.0,26.283100128173828,5.922920081502525e-06,0.03166159987449646,-0.056399401277303696,1.2822700227843598e-05,t17_f5_c3,2.430218182115015e+18,t,3.0,956.7830200195312,2479.719970703125,253.4676614,39.7601847,16.070100784301758,0.035801000893116,42.27370071411133,16.0408992767334,0.01600000075995922,0.2839590013027191,14.567000389099121,0.02199999988079071,1.7890000343322754,0.0560000017285347,1.052690029144287,-0.02920299954712391,2.2300000190734863,1.0,600.7789916992188,3.846829891204834,1.0949300527572632,0.7350000143051147,0.6980000138282776,0.32959601283073425,0.3130039870738983,1.0530099868774414,1.0,0.0,0.9300000071525574,1.0,16.036300659179688,0.01860000006854534,253.4675578,39.7601906,8.09397,ZTF18aamndyk
2460184.7381829,1,2430238182115,19.7012996673584,/ztf/archive/sci/2023/0828/238183/ztf_20230828238183_000723_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2430.0,21.0,723.0,26.269500732421875,8.569860256102402e-06,0.0372639000415802,-0.05213009938597679,1.9374099792912602e-05,t17_f5_c3,2.430238182115015e+18,t,10.0,965.2839965820312,2472.989990234375,253.4676874,39.7601432,16.028499603271484,0.04956600069999695,22.52120018005371,16.00950050354004,0.016300000250339508,0.39198100566864014,14.567000389099121,0.02199999988079071,1.7890000343322754,0.0560000017285347,0.7166749835014343,-0.018995000049471855,2.319999933242798,0.9990000128746033,607.510009765625,3.6917800903320312,1.1391899585723877,0.7820000052452087,0.7149999737739563,0.33706900477409363,0.3081899881362915,1.093709945678711,0.0,0.0,0.9385709762573242,1.0,15.991299629211426,0.01899999938905239,253.4675578,39.7601906,9.96773,ZTF18aamndyk
2460184.8217824,2,2430321782115,19.380599975585938,/ztf/archive/sci/2023/0828/321782/ztf_20230828321782_000723_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2430.0,21.0,723.0,26.227500915527344,5.481960215547588e-06,0.03169029951095581,0.1104160025715828,1.0605600436974782e-05,t17_f5_c3,2.430321782115015e+18,t,4.0,942.322998046875,2432.3701171875,253.4675522,39.7601335,15.683500289916992,0.06221900135278702,55.88959884643555,15.714799880981445,0.01640000008046627,0.21996699273586273,14.020000457763672,0.039000000804662704,2.9049999713897705,0.16200000047683716,0.30607300996780396,0.031268998980522156,1.3521699905395508,0.996999979019165,648.1290283203125,3.6658101081848145,2.0,0.7609999775886536,0.6759999990463257,0.5627999901771545,0.4999380111694336,1.1257400512695312,3.0,0.0,0.8500000238418579,0.9969149827957153,15.695500373840332,0.019099999219179153,253.4675818,39.7601911,6.60553,ZTF18aamndyk
2460186.6789352,1,2432178932115,19.755800247192383,/ztf/archive/sci/2023/0830/178924/ztf_20230830178924_000723_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2432.0,21.0,723.0,26.3075008392334,6.6784700720745604e-06,0.03293349966406822,-0.04285459965467453,1.5070600056787953e-05,t17_f5_c3,2.432178932115015e+18,t,5.0,977.1790161132812,2485.330078125,253.4677005,39.7601973,16.013500213623047,0.05567599833011627,70.32050323486328,16.02790069580078,0.01720000058412552,0.3903209865093231,14.567000389099121,0.02199999988079071,1.7890000343322754,0.0560000017285347,-0.3690609931945801,0.014361999928951263,2.2300000190734863,0.9559999704360962,595.1729736328125,3.7278900146484375,1.0463000535964966,0.6949999928474426,0.6039999723434448,0.3116590082645416,0.2708519995212555,1.1506600379943848,7.0,0.0,0.7699999809265137,0.9609799981117249,16.011600494384766,0.02019999921321869,253.4675578,39.7601906,15.9544,ZTF18aamndyk
2460186.7175,2,2432217492115,19.885799407958984,/ztf/archive/sci/2023/0830/217488/ztf_20230830217488_000723_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2432.0,21.0,723.0,26.306499481201172,3.760839945243788e-06,0.026343699544668198,0.10999500006437302,7.236470082716551e-06,t17_f5_c3,2.432217492115015e+18,t,5.0,958.7630004882812,2481.449951171875,253.4676649,39.7601795,15.783499717712402,0.061469998210668564,217.05499267578125,15.787500381469727,0.01510000042617321,0.22671400010585785,14.020000457763672,0.039000000804662704,2.9049999713897705,0.16200000047683716,0.65072101354599,0.003988000098615885,1.1210700273513794,0.9990000128746033,599.052001953125,4.098259925842285,2.0,0.7049999833106995,0.5609999895095825,0.6288629770278931,0.500415027141571,1.2566800117492676,6.0,0.0,0.6299999952316284,0.927640974521637,15.785799980163574,0.017400000244379044,253.4675818,39.7601911,5.84483,ZTF18aamndyk
2460186.7690856,3,2432269082115,19.529800415039062,/ztf/archive/sci/2023/0830/269074/ztf_20230830269074_000723_zi_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2432.0,21.0,723.0,25.70509910583496,1.4255699625209672e-06,0.024151600897312164,0.19254599511623383,8.022279871511273e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aamndyk
2460188.6619329,1,2434161932115,19.827999114990234,/ztf/archive/sci/2023/0901/161933/ztf_20230901161933_000723_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2434.0,21.0,723.0,26.235700607299805,6.057399787096074e-06,0.031694598495960236,-0.0389384999871254,1.3366599887376651e-05,t17_f5_c3,2.434161932115015e+18,t,7.0,991.5869750976562,2494.909912109375,253.4676242,39.7601621,16.010700225830078,0.04317900165915489,57.90629959106445,16.036100387573242,0.016699999570846558,0.2139420062303543,14.567000389099121,0.02199999988079071,1.7890000343322754,0.0560000017285347,0.25501200556755066,0.025404000654816628,1.2026100158691406,0.996999979019165,585.5900268554688,3.7918999195098877,2.0,0.7110000252723694,0.6740000247955322,0.5912150144577026,0.5604490041732788,1.054900050163269,3.0,0.0,0.9071429967880249,0.9920079708099365,16.043800354003906,0.01979999989271164,253.4675578,39.7601906,8.85626,ZTF18aamndyk
