jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460030.9880093,3,2276488002515,19.595800399780273,/ztf/archive/sci/2023/0327/487998/ztf_20230327487998_000683_zi_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2276.0,25.0,683.0,25.788000106811523,2.3001500721875345e-06,0.027143200859427452,0.18410000205039978,4.3606600229395553e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aankxqv
2460032.9461574,2,2278446152515,20.350400924682617,/ztf/archive/sci/2023/0329/446146/ztf_20230329446146_000683_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2278.0,25.0,683.0,26.337299346923828,1.1136199873362784e-06,0.015355600044131279,0.08405370265245438,3.6437400012800936e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aankxqv
2460042.9017593,1,2288401752515,19.175500869750977,/ztf/archive/sci/2023/0408/401748/ztf_20230408401748_000683_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2288.0,25.0,683.0,25.904600143432617,6.1691298469668254e-06,0.036179300397634506,-0.05244790017604828,2.0245199266355485e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aankxqv
2460042.9701389,2,2288470132515,20.074100494384766,/ztf/archive/sci/2023/0408/470127/ztf_20230408470127_000683_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2288.0,25.0,683.0,26.297100067138672,1.9768999663938303e-06,0.020554199814796448,0.07932549715042114,6.458049938373733e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aankxqv
2460043.9254514,3,2289425452515,19.883399963378906,/ztf/archive/sci/2023/0409/425440/ztf_20230409425440_000683_zi_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2289.0,25.0,683.0,25.759300231933594,7.873650247347541e-07,0.016255300492048264,0.20009200274944305,1.4717899830429815e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aankxqv
2460044.9264815,2,2290426482515,20.400400161743164,/ztf/archive/sci/2023/0410/426482/ztf_20230410426482_000683_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2290.0,25.0,683.0,26.35930061340332,2.5519400423945626e-06,0.023066800087690353,0.08203200250864029,8.40875964058796e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aankxqv
2460044.9770602,1,2290477062515,20.25079917907715,/ztf/archive/sci/2023/0410/477060/ztf_20230410477060_000683_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2290.0,25.0,683.0,26.34950065612793,1.277109959119116e-06,0.016476700082421303,-0.056239400058984756,4.183550117886625e-06,t17_f5_c3,2.290477062515015e+18,t,3.0,2955.52001953125,548.3099975585938,272.6558745,33.1074855,19.822500228881836,0.21752700209617615,2.0684399604797363,19.394399642944336,0.18950000405311584,1.1398500204086304,18.368999481201172,0.035999998450279236,3.2290000915527344,0.1379999965429306,0.7322670221328735,-0.4281170070171356,1.840000033378601,0.8149999976158142,116.98100280761719,0.8564069867134094,1.300029993057251,0.703000009059906,0.5870000123977661,0.3820649981498718,0.319021999835968,1.1976200342178345,6.0,0.0,0.6642860174179077,0.9132570028305054,19.587900161743164,0.28780001401901245,272.6556896,33.1077666,7.97405,ZTF18aankxqv
2460046.9160417,3,2292416042515,19.920000076293945,/ztf/archive/sci/2023/0412/416007/ztf_20230412416007_000683_zi_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2292.0,25.0,683.0,25.693599700927734,9.228360227098165e-07,0.01764810085296631,0.2002200037240982,1.7176800611196086e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aankxqv
2460046.9715046,1,2292471502515,19.105199813842773,/ztf/archive/sci/2023/0412/471505/ztf_20230412471505_000683_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2292.0,25.0,683.0,25.361499786376953,5.189960120333126e-06,0.03318389877676964,-0.0480991005897522,1.6875399523996748e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aankxqv
2460046.9868866,2,2292486882515,19.811599731445312,/ztf/archive/sci/2023/0412/486863/ztf_20230412486863_000683_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2292.0,25.0,683.0,26.05030059814453,1.4709299875903525e-06,0.017682399600744247,0.08583100140094757,4.779729806614341e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aankxqv
