jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460122.7996759,1,2368299670915,19.465099334716797,/ztf/archive/sci/2023/0627/299664/ztf_20230627299664_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2368.0,9.0,581.0,26.30270004272461,2.6552699637250043e-05,0.0393529012799263,-0.042089201509952545,6.809410115238279e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460124.7412731,2,2370241270915,20.059999465942383,/ztf/archive/sci/2023/0629/241262/ztf_20230629241262_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2370.0,9.0,581.0,26.27280044555664,7.876949894125573e-06,0.027107400819659233,0.09745150059461594,1.3951799701317213e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460124.7743519,1,2370274350915,19.670799255371094,/ztf/archive/sci/2023/0629/274213/ztf_20230629274213_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2370.0,9.0,581.0,26.353200912475586,1.5787500160513446e-05,0.03628379851579666,-0.08206009864807129,3.331909829284996e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460126.6952315,1,2372195230915,19.53260040283203,/ztf/archive/sci/2023/0701/195220/ztf_20230701195220_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2372.0,9.0,581.0,26.340200424194336,1.6899799447855912e-05,0.03678259998559952,-0.09213879704475403,3.7986701499903575e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460126.7346181,2,2372234610915,19.7101993560791,/ztf/archive/sci/2023/0701/234572/ztf_20230701234572_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2372.0,9.0,581.0,26.26300048828125,8.668370355735533e-06,0.028284799307584763,0.08341699838638306,1.5342500773840584e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460128.8020949,2,2374302090915,19.44339942932129,/ztf/archive/sci/2023/0703/302095/ztf_20230703302095_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2374.0,9.0,581.0,26.216100692749023,1.1116299901914317e-05,0.032126300036907196,0.10534200072288513,1.9580600564950146e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460128.8583681,1,2374358360915,18.364500045776367,/ztf/archive/sci/2023/0703/358356/ztf_20230703358356_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2374.0,9.0,581.0,26.06060028076172,8.459579839836806e-05,0.04756829887628555,-0.0062559801153838634,0.00023115999647416174,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460134.727581,2,2380227580915,20.67169952392578,/ztf/archive/sci/2023/0709/227569/ztf_20230709227569_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2380.0,9.0,581.0,26.288799285888672,4.819320110982517e-06,0.021195299923419952,0.09555529803037643,8.54937024996616e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460134.7380787,1,2380238070915,20.659900665283203,/ztf/archive/sci/2023/0709/238079/ztf_20230709238079_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2380.0,9.0,581.0,26.385099411010742,7.1561798904440366e-06,0.02566000074148178,-0.10796999931335449,1.2702200365311e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460136.6953125,1,2382195310915,20.685300827026367,/ztf/archive/sci/2023/0711/195312/ztf_20230711195312_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2382.0,9.0,581.0,26.386199951171875,7.852469934732653e-06,0.026887299492955208,-0.1086760014295578,1.3829199815518223e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460136.7944329,2,2382294430915,20.40250015258789,/ztf/archive/sci/2023/0711/294317/ztf_20230711294317_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2382.0,9.0,581.0,26.212900161743164,5.626030088023981e-06,0.022845400497317314,0.10381600260734558,9.910760127240792e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460138.6966898,2,2384196680915,20.344600677490234,/ztf/archive/sci/2023/0713/196678/ztf_20230713196678_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2384.0,9.0,581.0,26.149599075317383,7.017959887889447e-06,0.02574319951236248,0.09317269921302795,1.2410800081852358e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460138.7133102,1,2384213310915,20.306699752807617,/ztf/archive/sci/2023/0713/213299/ztf_20230713213299_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2384.0,9.0,581.0,26.10740089416504,9.338879863207694e-06,0.029559800401329994,-0.08957839757204056,1.6728199625504203e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460140.7082292,1,2386208220915,20.632099151611328,/ztf/archive/sci/2023/0715/208218/ztf_20230715208218_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2386.0,9.0,581.0,26.333200454711914,6.44882993583451e-06,0.024394499137997627,-0.07045239955186844,1.144339967140695e-05,t17_f5_c3,2.38620822091501e+18,f,9.0,1010.52001953125,1744.1800537109375,222.2861999,16.457744,20.193199157714844,0.19110600650310516,1.3225799798965454,20.342599868774414,0.3248000144958496,2.4250400066375732,18.264999389648438,0.0560000017285347,4.440999984741211,0.40700000524520874,-0.2951110005378723,0.14940500259399414,1.1999800205230713,0.722000002861023,1010.52001953125,0.28949999809265137,2.0,0.6850000023841858,0.6349999904632568,0.570842981338501,0.5291759967803955,1.0787400007247925,4.0,0.0,0.8642860054969788,0.9549430012702942,19.977800369262695,0.2937000095844269,222.2869106,16.4576741,5.80395,ZTF18aaqgadq
2460143.7253125,2,2389225310915,20.46579933166504,/ztf/archive/sci/2023/0718/225301/ztf_20230718225301_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2389.0,9.0,581.0,26.243099212646484,5.52891015104251e-06,0.022643400356173515,0.099726602435112,9.759520253282972e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460145.7561921,2,2391256190915,20.38409996032715,/ztf/archive/sci/2023/0720/256134/ztf_20230720256134_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2391.0,9.0,581.0,26.236799240112305,6.008499894960551e-06,0.023489300161600113,0.10144899785518646,1.0594199920888059e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460147.6991204,1,2393199120915,20.23069953918457,/ztf/archive/sci/2023/0722/199109/ztf_20230722199109_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2393.0,9.0,581.0,26.325700759887695,1.0385600035078824e-05,0.03065269999206066,-0.0980847030878067,1.8947199350805022e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460147.7485764,2,2393248570915,20.214099884033203,/ztf/archive/sci/2023/0722/248576/ztf_20230722248576_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2393.0,9.0,581.0,26.20170021057129,5.549100023927167e-06,0.022646300494670868,0.1019200012087822,9.772070370672736e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460149.7371412,2,2395237140915,20.200199127197266,/ztf/archive/sci/2023/0724/237118/ztf_20230724237118_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2395.0,9.0,581.0,26.178699493408203,6.2278800214699e-06,0.024008899927139282,0.10455799847841263,1.106000036088517e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460149.7783102,1,2395278310915,20.01580047607422,/ztf/archive/sci/2023/0724/278299/ztf_20230724278299_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2395.0,9.0,581.0,26.110599517822266,1.0774299880722538e-05,0.031242700293660164,-0.06258189678192139,2.0056799257872626e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460032.8269213,1,2278326920915,20.050600051879883,/ztf/archive/sci/2023/0329/326921/ztf_20230329326921_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2278.0,9.0,581.0,26.3523006439209,1.2569799764605705e-05,0.03328229859471321,-0.10674100369215012,2.474950088071637e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460032.8814931,2,2278381490915,20.61520004272461,/ztf/archive/sci/2023/0329/381482/ztf_20230329381482_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2278.0,9.0,581.0,26.282899856567383,5.483590030053165e-06,0.022609099745750427,0.09315609931945801,9.768639756657649e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460042.8414352,2,2288341430915,18.959800720214844,/ztf/archive/sci/2023/0408/341424/ztf_20230408341424_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2288.0,9.0,581.0,25.971399307250977,1.9061599232372828e-05,0.04117320105433464,0.08549900352954865,3.34526012011338e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460044.7789815,2,2290278980915,20.174299240112305,/ztf/archive/sci/2023/0410/278981/ztf_20230410278981_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2290.0,9.0,581.0,26.28019905090332,5.430470082501415e-06,0.02261660061776638,0.08764279633760452,9.68000040302286e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460044.8284144,1,2290328410915,20.024200439453125,/ztf/archive/sci/2023/0410/328403/ztf_20230410328403_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2290.0,9.0,581.0,26.37529945373535,1.0869899597309995e-05,0.03136549890041351,-0.09140869975090027,2.0144500012975186e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460046.8115278,1,2292311520915,20.846399307250977,/ztf/archive/sci/2023/0412/311516/ztf_20230412311516_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2292.0,9.0,581.0,26.37660026550293,6.387139819707954e-06,0.02419460006058216,-0.08732129633426666,1.1154599633300677e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460046.8536806,2,2292353680915,20.745500564575195,/ztf/archive/sci/2023/0412/353669/ztf_20230412353669_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2292.0,9.0,581.0,26.278799057006836,5.282940037432127e-06,0.022055499255657196,0.099025197327137,9.28427016333444e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460050.8604051,1,2296360400915,20.577899932861328,/ztf/archive/sci/2023/0416/360405/ztf_20230416360405_000581_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2296.0,9.0,581.0,26.36870002746582,8.165189683495555e-06,0.02754330076277256,-0.11894500255584717,1.4441199709835928e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
2460050.8807639,2,2296380760915,20.72260093688965,/ztf/archive/sci/2023/0416/380764/ztf_20230416380764_000581_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2296.0,9.0,581.0,26.2731990814209,6.868020136607811e-06,0.025349199771881104,0.09713879972696304,1.2225899808981922e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqgadq
