jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460056.7192824,1,2302219282715,20.795400619506836,/ztf/archive/sci/2023/0422/219271/ztf_20230422219271_000754_zg_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2302.0,27.0,754.0,26.31570053100586,1.866049933596514e-05,0.02682190015912056,-0.07241210341453552,2.5293300495832227e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqkfst
2460056.8042014,2,2302304202715,20.746000289916992,/ztf/archive/sci/2023/0422/304201/ztf_20230422304201_000754_zr_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2302.0,27.0,754.0,26.325199127197266,2.8757000109180808e-05,0.03307290002703667,0.11582200229167938,3.8960701203905046e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqkfst
2460057.7560995,3,2303256092715,20.074899673461914,/ztf/archive/sci/2023/0423/256088/ztf_20230423256088_000754_zi_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2303.0,27.0,754.0,25.767200469970703,1.5062700185808353e-05,0.03753159940242767,0.17594200372695923,5.0272399676032364e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqkfst
2460058.7577662,2,2304257762715,20.703699111938477,/ztf/archive/sci/2023/0424/257697/ztf_20230424257697_000754_zr_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2304.0,27.0,754.0,26.281600952148438,3.123559872619808e-05,0.03453829884529114,0.11788100004196167,4.243259900249541e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqkfst
2460058.8022106,1,2304302212715,20.846599578857422,/ztf/archive/sci/2023/0424/302211/ztf_20230424302211_000754_zg_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2304.0,27.0,754.0,26.23189926147461,2.6309600798413157e-05,0.03163519874215126,-0.07855380326509476,3.5499499063007534e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqkfst
2460059.7050579,2,2305205053715,20.045700073242188,/ztf/archive/sci/2023/0425/205046/ztf_20230425205046_001753_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2305.0,37.0,1753.0,26.220300674438477,2.0465999114094302e-05,0.028951000422239304,0.13401199877262115,2.8026799554936588e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqkfst
2460059.7064699,2,2305206463715,20.200000762939453,/ztf/archive/sci/2023/0425/206458/ztf_20230425206458_001753_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,3,2305.0,37.0,1753.0,26.222200393676758,1.656600034039002e-05,0.025922300294041634,0.1291469931602478,2.270420009153895e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqkfst
2460060.6769907,2,2306176992715,20.22450065612793,/ztf/archive/sci/2023/0426/176979/ztf_20230426176979_000754_zr_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2306.0,27.0,754.0,26.126100540161133,2.35719999182038e-05,0.029927099123597145,0.11951100081205368,3.177070175297558e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqkfst
2460060.8391667,3,2306339162715,19.92340087890625,/ztf/archive/sci/2023/0426/339167/ztf_20230426339167_000754_zi_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2306.0,27.0,754.0,25.692699432373047,1.098079974326538e-05,0.03205789998173714,0.19969700276851654,3.7916099245194346e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqkfst
2460061.7997338,2,2307299733715,20.472299575805664,/ztf/archive/sci/2023/0427/299734/ztf_20230427299734_001753_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2307.0,37.0,1753.0,26.274599075317383,2.9231699954834767e-05,0.03429599851369858,0.11520300060510635,4.000659828307107e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqkfst
