jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460029.9024653,3,2275402464115,19.736600875854492,/ztf/archive/sci/2023/0326/402454/ztf_20230326402454_000822_zi_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2275.0,41.0,822.0,25.806499481201172,4.120100129512139e-06,0.02464599907398224,0.20342199504375458,1.915279972308781e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqogeh
2460029.9566782,2,2275456674115,20.145299911499023,/ztf/archive/sci/2023/0326/456678/ztf_20230326456678_000822_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2275.0,41.0,822.0,26.394500732421875,2.8504800866357982e-05,0.039192501455545425,0.12404900044202805,4.421050107339397e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqogeh
2460032.6966204,3,2278196624115,18.76799964904785,/ztf/archive/sci/2023/0329/196620/ztf_20230329196620_000822_zi_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2278.0,41.0,822.0,25.27720069885254,9.792829587240703e-06,0.037574898451566696,0.19439899921417236,4.450160122360103e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqogeh
2460032.8200579,1,2278320054115,19.97960090637207,/ztf/archive/sci/2023/0329/320046/ztf_20230329320046_000822_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2278.0,41.0,822.0,26.32080078125,2.0767700334545225e-05,0.036729998886585236,-0.02625500038266182,3.5505701816873625e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqogeh
2460042.8615394,1,2288361534115,19.683000564575195,/ztf/archive/sci/2023/0408/361539/ztf_20230408361539_000822_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2288.0,41.0,822.0,26.28820037841797,2.1193000065977685e-05,0.0356099009513855,-0.019787199795246124,3.898550130543299e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqogeh
2460042.9267708,2,2288426774115,19.729299545288086,/ztf/archive/sci/2023/0408/426748/ztf_20230408426748_000822_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2288.0,41.0,822.0,26.338300704956055,1.6266800230368972e-05,0.03298420086503029,0.1253650039434433,2.4926399419200607e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqogeh
2460043.9006366,3,2289400634115,19.71489906311035,/ztf/archive/sci/2023/0409/400625/ztf_20230409400625_000822_zi_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2289.0,41.0,822.0,25.79400062561035,8.087939932011068e-06,0.03413639962673187,0.19500400125980377,3.7031099054729566e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqogeh
2460044.7837153,2,2290283714115,20.23419952392578,/ztf/archive/sci/2023/0410/283704/ztf_20230410283704_000822_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2290.0,41.0,822.0,26.361900329589844,1.015840007312363e-05,0.02593580074608326,0.11045199632644653,1.5738800357212313e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqogeh
2460044.8198264,1,2290319824115,20.168699264526367,/ztf/archive/sci/2023/0410/319826/ztf_20230410319826_000822_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2290.0,41.0,822.0,26.341800689697266,1.8523100152378902e-05,0.03498179838061333,-0.0370572991669178,2.9758699383819476e-05,t17_f5_c3,2.290319824115015e+18,t,0.0,1565.31005859375,181.0760040283203,216.9783488,63.9133777,20.107799530029297,0.22626499831676483,0.9402729868888855,19.81279945373535,0.2840000092983246,0.41630399227142334,18.788999557495117,0.04399999976158142,3.5360000133514404,0.13300000131130219,0.45857900381088257,-0.2950479984283447,1.2565399408340454,0.7549999952316284,181.0760040283203,0.35585901141166687,2.0,0.8899999856948853,0.7850000262260437,0.7082939743995667,0.6247310042381287,1.1337599754333496,5.0,0.0,0.9371430277824402,0.9758949875831604,19.598400115966797,0.2978000044822693,216.9781937,63.9134728,5.7012,ZTF18aaqogeh
2460046.8652431,2,2292365244115,19.997600555419922,/ztf/archive/sci/2023/0412/365231/ztf_20230412365231_000822_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2292.0,41.0,822.0,26.01759910583496,2.3532100385637023e-05,0.03960699960589409,0.12570500373840332,3.6423400160856545e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aaqogeh
