jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460036.7766204,1,2282276624615,19.618600845336914,/ztf/archive/sci/2023/0402/276609/ztf_20230402276609_000714_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2282.0,46.0,714.0,26.32430076599121,3.5869099519914016e-05,0.03574629873037338,-0.04918869957327843,5.894689820706844e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460036.8223495,1,2282322344615,19.576900482177734,/ztf/archive/sci/2023/0402/322338/ztf_20230402322338_000714_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2282.0,46.0,714.0,26.3351993560791,3.960539834224619e-05,0.03685159981250763,-0.04927570000290871,6.708779983455315e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460036.8228241,1,2282322823515,19.488000869750977,/ztf/archive/sci/2023/0402/322824/ztf_20230402322824_000713_zg_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2282.0,35.0,713.0,26.332700729370117,4.717829870060086e-05,0.038285501301288605,-0.03519190102815628,8.266099757747725e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460036.8342361,1,2282334234615,19.618600845336914,/ztf/archive/sci/2023/0402/333947/ztf_20230402333947_000714_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2282.0,46.0,714.0,26.328500747680664,5.222710024099797e-05,0.042260900139808655,-0.026360800489783287,8.79853978403844e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460036.8636458,3,2282363644615,19.44890022277832,/ztf/archive/sci/2023/0402/363634/ztf_20230402363634_000714_zi_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2282.0,46.0,714.0,25.714399337768555,4.700049885286717e-06,0.022077500820159912,0.18036599457263947,1.3723600204684772e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460036.9112153,2,2282411214615,19.56369972229004,/ztf/archive/sci/2023/0402/411053/ztf_20230402411053_000714_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2282.0,46.0,714.0,26.24519920349121,3.112019840045832e-05,0.035206399857997894,0.14140400290489197,4.110280133318156e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460036.9245486,2,2282424544615,19.586999893188477,/ztf/archive/sci/2023/0402/424537/ztf_20230402424537_000714_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2282.0,46.0,714.0,26.23110008239746,3.114169885520823e-05,0.03559640049934387,0.13033699989318848,4.129630178795196e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460036.9254861,2,2282425483515,19.57509994506836,/ztf/archive/sci/2023/0402/425486/ztf_20230402425486_000713_zr_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2282.0,35.0,713.0,26.274099349975586,4.1216400859411806e-05,0.04020550101995468,0.1259479969739914,5.5168398830574006e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460042.852963,2,2288352961515,19.951799392700195,/ztf/archive/sci/2023/0408/352951/ztf_20230408352951_001753_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2288.0,15.0,1753.0,26.21649932861328,0.00011575499956961721,0.06582649797201157,0.10870599746704102,0.0001515360054327175,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460043.8191088,1,2289319103515,19.58340072631836,/ztf/archive/sci/2023/0409/319109/ztf_20230409319109_000713_zg_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2289.0,35.0,713.0,26.181699752807617,5.116390093462542e-05,0.041099999099969864,-0.03342609852552414,8.278110180981457e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460043.8195833,1,2289319584615,19.757400512695312,/ztf/archive/sci/2023/0409/319583/ztf_20230409319583_000714_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2289.0,46.0,714.0,26.196199417114258,3.995839870185591e-05,0.03841890022158623,-0.05153600126504898,6.197489710757509e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460043.8531829,2,2289353184615,19.959999084472656,/ztf/archive/sci/2023/0409/353183/ztf_20230409353183_000714_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2289.0,46.0,714.0,26.24410057067871,3.6336401535663754e-05,0.038263801485300064,0.1344050019979477,4.808969970326871e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460043.8627431,2,2289362743515,20.0044002532959,/ztf/archive/sci/2023/0409/362697/ztf_20230409362697_000713_zr_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2289.0,35.0,713.0,26.28860092163086,2.649489942996297e-05,0.031877100467681885,0.1295659989118576,3.5692199162440374e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460044.8627662,3,2290362763515,19.743200302124023,/ztf/archive/sci/2023/0410/362639/ztf_20230410362639_000713_zi_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2290.0,35.0,713.0,25.760900497436523,5.164260073797777e-06,0.02293119952082634,0.18831999599933624,1.5215699932014104e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460044.8632407,3,2290363244615,19.87470054626465,/ztf/archive/sci/2023/0410/363241/ztf_20230410363241_000714_zi_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2290.0,46.0,714.0,25.732900619506836,4.062900188728236e-06,0.0204646997153759,0.1813099980354309,1.1795799764513504e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460045.7676505,2,2291267653515,20.721599578857422,/ztf/archive/sci/2023/0411/267627/ztf_20230411267627_000713_zr_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2291.0,35.0,713.0,26.320199966430664,2.9794100555591285e-05,0.0341545008122921,0.12293799966573715,3.9474798541050404e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460045.7799306,2,2291279934615,20.774700164794922,/ztf/archive/sci/2023/0411/279884/ztf_20230411279884_000714_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2291.0,46.0,714.0,26.293399810791016,2.1048599592177197e-05,0.029350999742746353,0.12258899956941605,2.793790008581709e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460045.8281713,1,2291328174615,20.52750015258789,/ztf/archive/sci/2023/0411/328160/ztf_20230411328160_000714_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2291.0,46.0,714.0,26.331899642944336,3.068540172534995e-05,0.035329900681972504,-0.03750339895486832,4.116689888178371e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460045.8286343,1,2291328633515,20.51409912109375,/ztf/archive/sci/2023/0411/328634/ztf_20230411328634_000713_zg_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2291.0,35.0,713.0,26.32550048828125,3.568660031305626e-05,0.03752480074763298,-0.054526399821043015,4.8382400564150885e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460046.7712616,1,2292271261515,20.970300674438477,/ztf/archive/sci/2023/0412/271262/ztf_20230412271262_001753_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2292.0,15.0,1753.0,26.363300323486328,3.433250094531104e-05,0.035576701164245605,-0.08017610013484955,4.4825399527326226e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460049.7176505,2,2295217653515,20.530000686645508,/ztf/archive/sci/2023/0415/217639/ztf_20230415217639_000713_zr_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2295.0,35.0,713.0,26.274099349975586,2.8727199605782516e-05,0.033409301191568375,0.13002200424671173,3.8474201573990285e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460050.6787037,1,2296178704615,20.731599807739258,/ztf/archive/sci/2023/0416/178681/ztf_20230416178681_000714_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2296.0,46.0,714.0,26.306499481201172,2.4572600523242727e-05,0.031644001603126526,-0.05563100054860115,3.2572901545790955e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460050.7350694,2,2296235064615,20.678600311279297,/ztf/archive/sci/2023/0416/235058/ztf_20230416235058_000714_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2296.0,46.0,714.0,26.509700775146484,6.891889643156901e-05,0.0526311993598938,0.1522510051727295,9.18988007470034e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460050.803287,3,2296303283515,20.058900833129883,/ztf/archive/sci/2023/0416/303287/ztf_20230416303287_000713_zi_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2296.0,35.0,713.0,25.7362003326416,6.329480129352305e-06,0.025385400280356407,0.19074200093746185,1.8204900698037818e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
2460050.8114236,3,2296311424615,20.079500198364258,/ztf/archive/sci/2023/0416/311424/ztf_20230416311424_000714_zi_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2296.0,46.0,714.0,25.71150016784668,4.766739948536269e-06,0.022244999185204506,0.18755799531936646,1.3790399862045888e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarlffl
