jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460092.8805787,1,2338380574615,20.81089973449707,/ztf/archive/sci/2023/0528/380486/ztf_20230528380486_000824_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2338.0,46.0,824.0,26.28190040588379,1.2757400327245705e-05,0.029444200918078423,-0.06781180202960968,1.8449600247549824e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarnrsg
2460092.8990394,2,2338399034615,20.629499435424805,/ztf/archive/sci/2023/0528/398796/ztf_20230528398796_000824_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2338.0,46.0,824.0,26.24810028076172,1.1218899999221321e-05,0.027431799098849297,0.1331319957971573,1.6294399756588973e-05,t17_f5_c3,2.33839903461501e+18,f,3.0,1822.81005859375,1106.6300048828125,239.5607059,62.6478876,20.33009910583496,0.2177550047636032,1.0098999738693237,20.529399871826172,0.35580000281333923,0.17080600559711456,18.985000610351562,0.023000000044703484,0.8550000190734863,0.061000000685453415,0.12606899440288544,0.1992740035057068,2.319999933242798,0.9300000071525574,1106.6300048828125,0.1000719964504242,1.088629961013794,0.6330000162124634,0.6079999804496765,0.27284500002861023,0.2620689868927002,1.0411200523376465,4.0,0.0,0.9800000190734863,0.9945690035820007,20.441099166870117,0.41909998655319214,239.5607519,62.6479313,8.34097,ZTF18aarnrsg
2460092.9057292,2,2338405723515,20.776399612426758,/ztf/archive/sci/2023/0528/405718/ztf_20230528405718_000823_zr_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2338.0,35.0,823.0,26.26799964904785,1.249310025741579e-05,0.03006190061569214,0.11779999732971191,1.9454799257800914e-05,t17_f5_c3,2.33840572351501e+18,f,4.0,2936.6201171875,1157.6800537109375,239.5608632,62.6478955,20.138999938964844,0.15020999312400818,1.8845499753952026,20.26289939880371,0.2606000006198883,0.2258249968290329,19.040000915527344,0.02500000037252903,1.2070000171661377,0.05999999865889549,-0.3558889925479889,0.12387099862098694,2.4600000381469727,0.9909999966621399,135.88099670410156,0.5134779810905457,0.9626709818840027,0.6420000195503235,0.5730000138282776,0.26097598671913147,0.23292699456214905,1.120419979095459,8.0,0.0,0.9185709953308105,0.9337890148162842,19.972999572753906,0.2547000050544739,239.5607548,62.647935,9.65331,ZTF18aarnrsg
2460092.9188194,2,2338418814615,20.742300033569336,/ztf/archive/sci/2023/0528/418623/ztf_20230528418623_000824_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2338.0,46.0,824.0,26.23900032043457,1.2137599696870893e-05,0.028610000386834145,0.1204719990491867,1.7607799236429855e-05,t17_f5_c3,2.33841881461501e+18,f,5.0,1817.7900390625,1103.0400390625,239.5606903,62.6479776,20.44099998474121,0.22021299600601196,0.9885389804840088,20.24049949645996,0.26600000262260437,0.18986499309539795,18.985000610351562,0.023000000044703484,0.8550000190734863,0.061000000685453415,0.04750699922442436,-0.2005009949207306,2.3499999046325684,0.8220000267028809,1103.0400390625,0.5018079876899719,0.9940209984779358,0.824999988079071,0.5529999732971191,0.351063996553421,0.23531900346279144,1.491860032081604,5.0,0.0,0.8657140135765076,0.9892140030860901,19.971900939941406,0.2655999958515167,239.5607519,62.6479313,5.86804,ZTF18aarnrsg
2460093.8597338,2,2339359734615,20.387100219726562,/ztf/archive/sci/2023/0529/359734/ztf_20230529359734_000824_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2339.0,46.0,824.0,26.24959945678711,1.530820009065792e-05,0.03198879957199097,0.13662999868392944,2.2152600649860688e-05,t17_f5_c3,2.33935973461501e+18,f,11.0,1818.6099853515625,1111.72998046875,239.5608853,62.6479461,20.164600372314453,0.23793700337409973,1.241819977760315,20.510799407958984,0.45739999413490295,0.22448499500751495,18.985000610351562,0.023000000044703484,0.8550000190734863,0.061000000685453415,0.19015200436115265,0.3461880087852478,1.197350025177002,0.8799999952316284,1111.72998046875,-0.12370400130748749,2.0,0.734000027179718,0.625,0.6130229830741882,0.5219879746437073,1.174399971961975,7.0,0.0,0.9671429991722107,0.919268012046814,20.568599700927734,0.6179999709129333,239.5607519,62.6479313,6.40619,ZTF18aarnrsg
2460093.9074884,2,2339407484615,20.729799270629883,/ztf/archive/sci/2023/0529/407442/ztf_20230529407442_000824_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2339.0,46.0,824.0,26.21540069580078,1.1896499927388504e-05,0.0281980000436306,0.12859299778938293,1.7227099306182936e-05,t17_f5_c3,2.33940748461501e+18,f,12.0,1809.449951171875,1107.530029296875,239.5606584,62.6478941,20.20039939880371,0.1885010004043579,2.090179920196533,20.42959976196289,0.31709998846054077,0.20205999910831451,18.985000610351562,0.023000000044703484,0.8550000190734863,0.061000000685453415,-0.3584290146827698,0.22923700511455536,2.490000009536743,0.9890000224113464,1107.530029296875,0.3002380132675171,0.9489279985427856,0.6259999871253967,0.5550000071525574,0.2514060139656067,0.22289200127124786,1.1279300451278687,7.0,0.0,0.9285709857940674,0.9351620078086853,20.49920082092285,0.4316999912261963,239.5607519,62.6479313,9.55513,ZTF18aarnrsg
2460093.9084838,2,2339408484615,20.805599212646484,/ztf/archive/sci/2023/0529/408449/ztf_20230529408449_000824_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2339.0,46.0,824.0,26.225000381469727,9.957519978343043e-06,0.025837799534201622,0.11834099888801575,1.4432400348596275e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarnrsg
2460093.9291088,1,2339429104615,20.723100662231445,/ztf/archive/sci/2023/0529/428889/ztf_20230529428889_000824_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2339.0,46.0,824.0,26.233699798583984,1.3197200132708531e-05,0.030069900676608086,-0.05139070004224777,1.934790088853333e-05,t17_f5_c3,2.33942910461501e+18,f,10.0,1804.969970703125,1102.9100341796875,239.5607036,62.6479111,20.375699996948242,0.17976100742816925,0.860880970954895,20.296300888061523,0.25049999356269836,0.11365500092506409,19.184999465942383,0.02199999988079071,0.8500000238418579,-0.03400000184774399,0.09000000357627869,-0.07941299676895142,2.950000047683716,0.7749999761581421,1102.9100341796875,0.4267919957637787,0.9031659960746765,0.9079999923706055,0.7229999899864197,0.30779701471328735,0.2450850009918213,1.2558799982070923,4.0,0.0,0.9571430087089539,1.0,20.506099700927734,0.387800008058548,239.5607635,62.6479281,8.52483,ZTF18aarnrsg
2460093.9300463,1,2339430044615,20.7450008392334,/ztf/archive/sci/2023/0529/430035/ztf_20230529430035_000824_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2339.0,46.0,824.0,26.23509979248047,1.2586199773068074e-05,0.029242999851703644,-0.05891469866037369,1.8444699890096672e-05,t17_f5_c3,2.33943004461501e+18,f,13.0,1803.989990234375,1102.8900146484375,239.5607163,62.6479142,20.484100341796875,0.18640899658203125,1.0186899900436401,20.22439956665039,0.23309999704360962,0.08684200048446655,19.184999465942383,0.02199999988079071,0.8500000238418579,-0.03400000184774399,-0.30898600816726685,-0.2596760094165802,1.7200000286102295,0.5830000042915344,1102.8900146484375,0.5205749869346619,1.5282200574874878,0.7670000195503235,0.7149999737739563,0.44593000411987305,0.41569799184799194,1.0727299451828003,3.0,0.0,0.947143018245697,1.0,20.22319984436035,0.2971000075340271,239.5607635,62.6479281,7.83942,ZTF18aarnrsg
2460094.708125,2,2340208124615,20.095300674438477,/ztf/archive/sci/2023/0530/207755/ztf_20230530207755_000824_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2340.0,46.0,824.0,26.2544002532959,1.2869500096712727e-05,0.029267799109220505,0.12610900402069092,1.8607499441714026e-05,t17_f5_c3,2.34020812461501e+18,f,3.0,1809.1199951171875,1097.1600341796875,239.560616,62.6478499,20.185400009155273,0.23268699645996094,1.11968994140625,20.151899337768555,0.41830000281333923,0.36657699942588806,18.985000610351562,0.023000000044703484,0.8550000190734863,0.061000000685453415,-0.1651410013437271,-0.0335410013794899,1.2260099649429321,0.9169999957084656,1097.1600341796875,-0.056605998426675797,2.0,0.8650000095367432,0.7879999876022339,0.7055389881134033,0.6427339911460876,1.0977200269699097,3.0,0.0,0.9571430087089539,1.0,20.04949951171875,0.48829999566078186,239.5607519,62.6479313,6.275,ZTF18aarnrsg
