jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2458197.9228588,2,443422855915,19.82900047302246,/ztf/archive/sci/2018/0320/422836/ztf_20180320422836_000722_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458197.9528125,2,443452815915,19.742799758911133,/ztf/archive/sci/2018/0320/452778/ztf_20180320452778_000722_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458198.8931944,2,444393195915,20.413000106811523,/ztf/archive/sci/2018/0321/393183/ztf_20180321393183_000722_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458198.8990741,2,444399075915,20.416000366210938,/ztf/archive/sci/2018/0321/399074/ztf_20180321399074_000722_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458198.9336806,2,444433685915,20.582000732421875,/ztf/archive/sci/2018/0321/433646/ztf_20180321433646_000722_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458198.9522569,2,444452255915,20.55940055847168,/ztf/archive/sci/2018/0321/452234/ztf_20180321452234_000722_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458198.9684722,2,444468475915,20.624099731445312,/ztf/archive/sci/2018/0321/468449/ztf_20180321468449_000722_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458198.9843287,2,444484325915,20.468599319458008,/ztf/archive/sci/2018/0321/484294/ztf_20180321484294_000722_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458207.9029514,1,453402955915,19.70680046081543,/ztf/archive/sci/2018/0330/402928/ztf_20180330402928_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458207.9094329,1,453409435915,19.73940086364746,/ztf/archive/sci/2018/0330/409421/ztf_20180330409421_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458207.9341667,1,453434165915,19.824600219726562,/ztf/archive/sci/2018/0330/434144/ztf_20180330434144_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458207.9418171,1,453441815915,19.83060073852539,/ztf/archive/sci/2018/0330/441794/ztf_20180330441794_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458207.9777662,1,453477765915,19.845600128173828,/ztf/archive/sci/2018/0330/477720/ztf_20180330477720_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458207.9815741,1,453481575915,19.89229965209961,/ztf/archive/sci/2018/0330/481562/ztf_20180330481562_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458208.0002199,1,453500215915,19.841299057006836,/ztf/archive/sci/2018/0330/500093/ztf_20180330500093_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458208.0011343,1,453501135915,19.837900161743164,/ztf/archive/sci/2018/0330/501123/ztf_20180330501123_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458208.8844444,1,454384445915,18.645200729370117,/ztf/archive/sci/2018/0331/384375/ztf_20180331384375_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458208.9051852,1,454405185915,18.678699493408203,/ztf/archive/sci/2018/0331/405162/ztf_20180331405162_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458208.9223148,1,454422315915,18.593799591064453,/ztf/archive/sci/2018/0331/422292/ztf_20180331422292_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458208.9422685,1,454442265915,18.832500457763672,/ztf/archive/sci/2018/0331/442234/ztf_20180331442234_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458208.9810764,1,454481075915,18.59589958190918,/ztf/archive/sci/2018/0331/481065/ztf_20180331481065_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458209.0022222,1,454502225915,19.13319969177246,/ztf/archive/sci/2018/0331/502222/ztf_20180331502222_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458209.9781366,1,455478135915,19.46339988708496,/ztf/archive/sci/2018/0401/478102/ztf_20180401478102_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458209.9815394,1,455481535915,19.491199493408203,/ztf/archive/sci/2018/0401/481493/ztf_20180401481493_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458210.8467708,1,456346775915,18.799400329589844,/ztf/archive/sci/2018/0402/346759/ztf_20180402346759_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
2458210.8922685,1,456392265915,19.600000381469727,/ztf/archive/sci/2018/0402/392257/ztf_20180402392257_000722_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aarunfu
