jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460184.6660417,2,2430166044515,20.060800552368164,/ztf/archive/sci/2023/0828/166030/ztf_20230828166030_000762_zr_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.43016604451501e+18,f,11.0,2430.0,45.0,762.0,1494.4599609375,2576.56005859375,248.7938173,48.7722739,19.306299209594727,0.13654600083827972,3.2796599864959717,19.10099983215332,0.17260000109672546,0.19256000220775604,17.724000930786133,0.057999998331069946,3.5850000381469727,0.3009999990463257,0.02350899949669838,-0.20534899830818176,2.809999942779541,0.949999988079071,503.9429931640625,0.959775984287262,0.8446609973907471,0.7590000033378601,0.6470000147819519,0.2701070010662079,0.23024900257587433,1.173110008239746,0.0,0.0,0.9285709857940674,1.0,19.354000091552734,0.2775000035762787,248.7938586,48.7723207,12.0767,26.30030059814453,6.899119853187585e-06,0.027483899146318436,0.11071400344371796,1.2023700037389062e-05,t17_f5_c3,ZTF18aaspnuh
2460184.6825694,2,2430182564515,19.89620018005371,/ztf/archive/sci/2023/0828/182558/ztf_20230828182558_000762_zr_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.43018256451501e+18,f,12.0,2430.0,45.0,762.0,1506.550048828125,2572.320068359375,248.7939777,48.7723735,19.119699478149414,0.11808999627828598,1.1580499410629272,18.848499298095703,0.14100000262260437,0.3363870084285736,17.724000930786133,0.057999998331069946,3.5850000381469727,0.3009999990463257,-0.09105300158262253,-0.2711640000343323,3.1600000858306885,0.9549999833106995,508.1789855957031,1.0477299690246582,0.8461400270462036,0.8659999966621399,0.8349999785423279,0.2740510106086731,0.2642410099506378,1.0371299982070923,5.0,0.0,0.9399999976158142,0.9891319870948792,18.934799194335938,0.19470000267028809,248.7938586,48.7723207,11.2421,26.303699493408203,7.636959708179347e-06,0.028835799545049667,0.10960499942302704,1.3283000043884385e-05,t17_f5_c3,ZTF18aaspnuh
2460184.683044,2,2430183043215,19.885299682617188,/ztf/archive/sci/2023/0828/183032/ztf_20230828183032_000761_zr_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.43018304321501e+18,f,2.0,2430.0,32.0,761.0,1480.699951171875,2464.7900390625,248.7939,48.7723166,19.18670082092285,0.14045999944210052,1.7065500020980835,19.34309959411621,0.2362000048160553,0.06022699922323227,17.749000549316406,0.04800000041723251,2.9739999771118164,0.34599998593330383,0.17685699462890625,0.15641899406909943,3.4200000762939453,0.9990000128746033,615.7080078125,0.5422109961509705,0.7406740188598633,0.6809999942779541,0.6470000147819519,0.19912299513816833,0.18918099999427795,1.052549958229065,5.0,0.0,0.9571430087089539,0.9642429947853088,19.506900787353516,0.3506999909877777,248.7938927,48.7723328,10.7332,26.252700805664062,6.162999852676876e-06,0.02639859914779663,0.11458200216293335,1.0899299923039507e-05,t17_f5_c3,ZTF18aaspnuh
2460184.6978819,1,2430197883215,19.80929946899414,/ztf/archive/sci/2023/0828/197870/ztf_20230828197870_000761_zg_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.43019788321501e+18,f,5.0,2430.0,32.0,761.0,1469.8800048828125,2470.159912109375,248.7938695,48.7722651,19.077199935913086,0.1423330008983612,0.9689909815788269,18.98550033569336,0.1762000024318695,0.25105801224708557,18.118999481201172,0.02199999988079071,1.7000000476837158,0.08799999952316284,-0.003599999938160181,-0.0917150005698204,2.8299999237060547,0.9819999933242798,610.343994140625,0.8238000273704529,0.9202839732170105,0.878000020980835,0.6629999876022339,0.310247004032135,0.23427599668502808,1.324280023574829,4.0,0.0,0.9242860078811646,0.9552680253982544,18.789400100708008,0.1882999986410141,248.7938649,48.7723357,12.3195,26.23419952392578,1.5074099792400375e-05,0.039131201803684235,-0.017728300765156746,3.106399890384637e-05,t17_f5_c3,ZTF18aaspnuh
2460184.7008218,1,2430200824515,19.943599700927734,/ztf/archive/sci/2023/0828/200810/ztf_20230828200810_000762_zg_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.43020082451501e+18,f,3.0,2430.0,45.0,762.0,1500.9300537109375,2569.22998046875,248.7937911,48.772286,19.095199584960938,0.1272359937429428,1.4533799886703491,18.83930015563965,0.14329999685287476,0.19689799845218658,18.136999130249023,0.027000000700354576,2.0179998874664307,0.10700000077486038,-0.26759201288223267,-0.25590598583221436,2.0899999141693115,0.9789999723434448,511.27099609375,1.104349970817566,1.1830400228500366,0.8899999856948853,0.7450000047683716,0.4258370101451874,0.35645899176597595,1.1946300268173218,4.0,0.0,0.9657139778137207,1.0,19.02400016784668,0.21739999949932098,248.7938423,48.7723299,11.5029,26.325199127197266,1.2583200259541627e-05,0.036139700561761856,-0.0412089005112648,2.416139977867715e-05,t17_f5_c3,ZTF18aaspnuh
2460184.7177083,1,2430217704515,19.82200050354004,/ztf/archive/sci/2023/0828/217650/ztf_20230828217650_000762_zg_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.43021770451501e+18,f,3.0,2430.0,45.0,762.0,1499.719970703125,2560.2900390625,248.793848,48.7722882,18.99959945678711,0.13596400618553162,1.9313000440597534,19.02739906311035,0.18230000138282776,0.1488579958677292,18.136999130249023,0.027000000700354576,2.0179998874664307,0.10700000077486038,-0.5932509899139404,0.027809999883174896,2.109999895095825,0.9850000143051147,520.2050170898438,0.7946130037307739,1.2227699756622314,0.7680000066757202,0.6959999799728394,0.3639810085296631,0.3298580050468445,1.1034499406814575,4.0,0.0,0.9742860198020935,0.9760599732398987,18.91080093383789,0.20980000495910645,248.7938423,48.7723299,13.1599,26.307600021362305,1.3360599950829055e-05,0.03623500093817711,-0.029655899852514267,2.6906900529866107e-05,t17_f5_c3,ZTF18aaspnuh
2460184.7372338,1,2430237234515,19.692800521850586,/ztf/archive/sci/2023/0828/237153/ztf_20230828237153_000762_zg_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.43023723451501e+18,f,5.0,2430.0,45.0,762.0,1504.739990234375,2554.090087890625,248.793819,48.7723157,19.105499267578125,0.12130799889564514,1.2625700235366821,19.159900665283203,0.22059999406337738,0.055785998702049255,18.136999130249023,0.027000000700354576,2.0179998874664307,0.10700000077486038,0.1941239982843399,0.054391998797655106,2.2799999713897705,0.9789999723434448,526.4110107421875,0.5328819751739502,1.1891800165176392,0.828000009059906,0.8100000023841858,0.3631579875946045,0.35526299476623535,1.0222200155258179,1.0,0.0,0.9642860293388367,1.0,19.200599670410156,0.2935999929904938,248.7938423,48.7723299,11.3756,26.278499603271484,1.784289997885935e-05,0.041262999176979065,-0.02210089936852455,3.749550160137005e-05,t17_f5_c3,ZTF18aaspnuh
2460184.8213079,2,2430321304515,19.44070053100586,/ztf/archive/sci/2023/0828/321308/ztf_20230828321308_000762_zr_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.43032130451501e+18,f,8.0,2430.0,45.0,762.0,1481.68994140625,2506.56005859375,248.7939899,48.7722431,19.419599533081055,0.20777100324630737,1.5769399404525757,19.29829978942871,0.314300000667572,0.4131450057029724,17.724000930786133,0.057999998331069946,3.5850000381469727,0.3009999990463257,-1.293910026550293,-0.12134400010108948,1.363800048828125,0.75,573.9390258789062,0.14236100018024445,2.0,0.902999997138977,0.6899999976158142,0.6621230244636536,0.5059409737586975,1.3086999654769897,6.0,0.0,0.9100000262260437,0.9148780107498169,19.416200637817383,0.44859999418258667,248.7938586,48.7723207,5.67865,26.2096004486084,1.1379000170563813e-05,0.03539690002799034,0.11644399911165237,1.9745999452425167e-05,t17_f5_c3,ZTF18aaspnuh
2460185.6628241,1,2431162824515,19.92140007019043,/ztf/archive/sci/2023/0829/162824/ztf_20230829162824_000762_zg_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.43116282451501e+18,f,4.0,2431.0,45.0,762.0,1526.3499755859375,2573.429931640625,248.7937695,48.7722757,19.307899475097656,0.1909479945898056,1.8274199962615967,19.351499557495117,0.2362000048160553,0.25728800892829895,18.136999130249023,0.027000000700354576,2.0179998874664307,0.10700000077486038,-0.018478000536561012,0.04357900097966194,2.9000000953674316,0.9990000128746033,507.07501220703125,0.5699030160903931,0.8455259799957275,0.6790000200271606,0.5870000123977661,0.23413799703121185,0.20241400599479675,1.156730055809021,5.0,0.0,0.9671429991722107,0.9989439845085144,19.3971004486084,0.3154999911785126,248.7938423,48.7723299,9.18945,26.355899810791016,1.2443099876691122e-05,0.03534799814224243,-0.04704520106315613,2.4369999664486386e-05,t17_f5_c3,ZTF18aaspnuh
2460185.6745602,1,2431174564515,19.93560028076172,/ztf/archive/sci/2023/0829/174560/ztf_20230829174560_000762_zg_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.43117456451501e+18,f,4.0,2431.0,45.0,762.0,1527.5400390625,2566.409912109375,248.793789,48.7722657,19.19569969177246,0.1642570048570633,2.3928399085998535,19.331499099731445,0.2345000058412552,0.26013898849487305,18.136999130249023,0.027000000700354576,2.0179998874664307,0.10700000077486038,0.09507399797439575,0.1357869952917099,2.880000114440918,1.0,514.0919799804688,0.6041489839553833,0.8305730223655701,0.6330000162124634,0.5839999914169312,0.21979199349880219,0.20277799665927887,1.083899974822998,6.0,0.0,0.9557139873504639,0.9637500047683716,19.37579917907715,0.3127000033855438,248.7938423,48.7723299,11.714,26.34469985961914,1.1211300261493307e-05,0.03360750153660774,-0.03967469930648804,2.1777099391329102e-05,t17_f5_c3,ZTF18aaspnuh
