jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460183.8013657,2,2429301365715,20.12700080871582,/ztf/archive/sci/2023/0827/301204/ztf_20230827301204_001833_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.42930136571501e+18,f,1.0,2429.0,57.0,1833.0,2023.68994140625,1182.77001953125,291.9115822,61.9471232,18.832000732421875,0.12805399298667908,6.731470108032227,18.706499099731445,0.12479999661445618,0.6122689843177795,16.4950008392334,0.04800000041723251,2.677000045776367,0.18799999356269836,-0.14072999358177185,-0.12554499506950378,1.2999999523162842,0.996999979019165,1048.81005859375,1.420490026473999,1.7780699729919434,0.6790000200271606,0.5740000009536743,0.5223079919815063,0.441538006067276,1.1829299926757812,8.0,0.0,0.7657139897346497,0.835972011089325,18.765300750732422,0.16439999639987946,291.911484,61.9472888,7.99074,26.211999893188477,1.4643500207967008e-06,0.018512900918722153,0.07603199779987335,3.89753995477804e-06,t17_f5_c3,ZTF18aaupmks
2460183.8718171,2,2429371811715,20.404199600219727,/ztf/archive/sci/2023/0827/371806/ztf_20230827371806_000827_zr_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2429.0,17.0,827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.276199340820312,1.3697299436898902e-06,0.01809529960155487,0.08212800323963165,3.733400035343948e-06,t17_f5_c3,ZTF18aaupmks
2460183.9061921,1,2429406191715,20.314699172973633,/ztf/archive/sci/2023/0827/406181/ztf_20230827406181_000827_zg_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2429.0,17.0,827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.213899612426758,2.30587011174066e-06,0.02370000071823597,-0.055478401482105255,6.266349828365492e-06,t17_f5_c3,ZTF18aaupmks
2460185.6662037,1,2431166201715,19.95989990234375,/ztf/archive/sci/2023/0829/166192/ztf_20230829166192_000827_zg_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2431.0,17.0,827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.301300048828125,3.795689963226323e-06,0.030376199632883072,-0.06545930355787277,1.0305599971616175e-05,t17_f5_c3,ZTF18aaupmks
2460185.7170023,2,2431217001715,20.11520004272461,/ztf/archive/sci/2023/0829/216991/ztf_20230829216991_000827_zr_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2431.0,17.0,827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.302499771118164,1.5553199546047836e-06,0.019379200413823128,0.08057039976119995,4.231369985063793e-06,t17_f5_c3,ZTF18aaupmks
2460186.8199769,1,2432319975715,19.396799087524414,/ztf/archive/sci/2023/0830/319965/ztf_20230830319965_001833_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2432.0,57.0,1833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.295799255371094,5.999930181133095e-06,0.03643310070037842,-0.06314519792795181,1.6347899872926064e-05,t17_f5_c3,ZTF18aaupmks
2460187.6659838,1,2433165981715,19.72640037536621,/ztf/archive/sci/2023/0831/165984/ztf_20230831165984_000827_zg_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2433.0,17.0,827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.268199920654297,4.596100097842282e-06,0.032994598150253296,-0.046400800347328186,1.246699957846431e-05,t17_f5_c3,ZTF18aaupmks
2460187.7203241,2,2433220321715,19.883499145507812,/ztf/archive/sci/2023/0831/220289/ztf_20230831220289_000827_zr_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2433.0,17.0,827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.272899627685547,2.3601498924108455e-06,0.02388649992644787,0.08292389661073685,6.40065991319716e-06,t17_f5_c3,ZTF18aaupmks
2460187.7670486,2,2433267045715,19.6471004486084,/ztf/archive/sci/2023/0831/267049/ztf_20230831267049_001833_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.43326704571501e+18,f,1.0,2433.0,57.0,1833.0,2073.7900390625,1126.780029296875,291.9113391,61.947287,18.78510093688965,0.13996000587940216,3.8872900009155273,18.65169906616211,0.17669999599456787,0.2464430034160614,16.4950008392334,0.04800000041723251,2.677000045776367,0.18799999356269836,-0.7578420042991638,-0.13338099420070648,1.1392300128936768,0.9950000047683716,998.7080078125,0.9953699707984924,2.0,0.6399999856948853,0.5019999742507935,0.5617820024490356,0.44064798951148987,1.274899959564209,7.0,0.0,0.8114290237426758,0.9006189703941345,19.023300170898438,0.3156999945640564,291.911484,61.9472888,6.39586,26.212099075317383,1.9484900803945493e-06,0.021195199340581894,0.0644875019788742,5.1634501687658485e-06,t17_f5_c3,ZTF18aaupmks
2460188.7415972,3,2434241591715,19.595699310302734,/ztf/archive/sci/2023/0901/241574/ztf_20230901241574_000827_zi_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2434.0,17.0,827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.66790008544922,1.1566500006665592e-06,0.02270679920911789,0.198730006814003,1.6908599718590267e-05,t17_f5_c3,ZTF18aaupmks
