jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460118.7841435,3,2364284145915,19.52669906616211,/ztf/archive/sci/2023/0623/284144/ztf_20230623284144_000824_zi_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2364.0,59.0,824.0,25.626300811767578,4.346799869381357e-06,0.025689000263810158,0.19061599671840668,2.138980016752612e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aazjzed
2460118.804537,2,2364304535915,20.199100494384766,/ztf/archive/sci/2023/0623/304502/ztf_20230623304502_000824_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2364.0,59.0,824.0,26.26919937133789,1.1075099791924004e-05,0.027867499738931656,0.10456900298595428,1.7467500583734363e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aazjzed
2460118.8637153,2,2364363715915,20.156200408935547,/ztf/archive/sci/2023/0623/363634/ztf_20230623363634_000824_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2364.0,59.0,824.0,26.26849937438965,7.845909749448765e-06,0.02330940030515194,0.09142260253429413,1.2416399840731174e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aazjzed
2460118.8843056,1,2364384305915,20.11549949645996,/ztf/archive/sci/2023/0623/384259/ztf_20230623384259_000824_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2364.0,59.0,824.0,26.298999786376953,2.187919926655013e-05,0.03762830048799515,-0.04804129898548126,3.908099824911915e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aazjzed
2460118.9028935,1,2364402895915,20.18709945678711,/ztf/archive/sci/2023/0623/402870/ztf_20230623402870_000824_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2364.0,59.0,824.0,26.301599502563477,2.1466699763550423e-05,0.037312101572752,-0.06962870061397552,3.724560156115331e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aazjzed
2460119.7353356,1,2365235335915,20.354999542236328,/ztf/archive/sci/2023/0624/235336/ztf_20230624235336_000824_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2365.0,59.0,824.0,26.32710075378418,1.7564199879416265e-05,0.034671600908041,-0.05079919844865799,2.8963599106646143e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aazjzed
2460119.8315046,2,2365331505915,20.564199447631836,/ztf/archive/sci/2023/0624/331493/ztf_20230624331493_000824_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2365.0,59.0,824.0,26.27739906311035,7.824380190868396e-06,0.023441899567842484,0.09678590297698975,1.2367599993012846e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aazjzed
2460119.8456019,2,2365345605915,20.611099243164062,/ztf/archive/sci/2023/0624/345579/ztf_20230624345579_000824_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2365.0,59.0,824.0,26.287200927734375,7.106380053301109e-06,0.022235199809074402,0.09946739673614502,1.119090029533254e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aazjzed
2460119.9127546,1,2365412755915,20.308799743652344,/ztf/archive/sci/2023/0624/412732/ztf_20230624412732_000824_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2365.0,59.0,824.0,26.31170082092285,1.7724300050758757e-05,0.03486749902367592,-0.05512290075421333,2.914789911301341e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aazjzed
2460120.744838,2,2366244835915,20.17609977722168,/ztf/archive/sci/2023/0625/244792/ztf_20230625244792_000824_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2366.0,59.0,824.0,26.29360008239746,8.080850420810748e-06,0.02381639927625656,0.10001999884843826,1.2756399883073755e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aazjzed
2460120.8120718,1,2366312075915,20.618999481201172,/ztf/archive/sci/2023/0625/312060/ztf_20230625312060_000824_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2366.0,59.0,824.0,26.364700317382812,1.3770900295639876e-05,0.030806200578808784,-0.06627500057220459,2.1913900127401575e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18aazjzed
