jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460030.874537,2,2276374531115,20.60260009765625,/ztf/archive/sci/2023/0327/374479/ztf_20230327374479_000713_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.276374531115015e+18,t,12.0,2276.0,11.0,713.0,749.2769775390625,1802.780029296875,166.0938626,37.1941741,18.97130012512207,0.07751400023698807,2.418560028076172,19.312299728393555,0.1492999941110611,0.27144500613212585,17.16699981689453,0.05299999937415123,4.288000106811523,0.4189999997615814,0.11357299983501434,0.34097999334335327,1.1800800561904907,0.9860000014305115,749.2769775390625,1.2903000116348267,2.0,0.6539999842643738,0.6420000195503235,0.5542010068893433,0.5440319776535034,1.0186899900436401,6.0,0.0,0.9442859888076782,0.9888070225715637,19.49209976196289,0.2150000035762787,166.0937774,37.1941392,7.48704,26.264299392700195,2.257390042359475e-05,0.0290949996560812,0.10850799828767776,3.231409937143326e-05,t17_f5_c3,ZTF18aaznrih
2460036.8228241,1,2282322821115,19.37220001220703,/ztf/archive/sci/2023/0402/322824/ztf_20230402322824_000713_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2282.0,11.0,713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.40679931640625,5.843870167154819e-05,0.041469600051641464,-0.0995640978217125,0.00011403999815229326,t17_f5_c3,ZTF18aaznrih
2460036.9254861,2,2282425481115,19.444299697875977,/ztf/archive/sci/2023/0402/425486/ztf_20230402425486_000713_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2282.0,11.0,713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.23150062561035,3.8592599594267085e-05,0.0377735011279583,0.0961667001247406,5.460029933601618e-05,t17_f5_c3,ZTF18aaznrih
2460043.8191088,1,2289319101115,19.665199279785156,/ztf/archive/sci/2023/0409/319109/ztf_20230409319109_000713_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2289.0,11.0,713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.25589942932129,4.327300121076405e-05,0.03773120045661926,-0.11196599900722504,7.441939669661224e-05,t17_f5_c3,ZTF18aaznrih
2460043.8627431,2,2289362741115,20.019500732421875,/ztf/archive/sci/2023/0409/362697/ztf_20230409362697_000713_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2289.0,11.0,713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.237300872802734,2.016100006585475e-05,0.027394499629735947,0.09280660003423691,2.8557000405271538e-05,t17_f5_c3,ZTF18aaznrih
2460045.7676505,2,2291267651115,20.782899856567383,/ztf/archive/sci/2023/0411/267627/ztf_20230411267627_000713_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2291.0,11.0,713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2731990814209,2.0660500013036653e-05,0.02752389945089817,0.0981564000248909,2.9148199246264994e-05,t17_f5_c3,ZTF18aaznrih
2460045.8286343,1,2291328631115,20.441200256347656,/ztf/archive/sci/2023/0411/328634/ztf_20230411328634_000713_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.291328631115015e+18,t,8.0,2291.0,11.0,713.0,780.3980102539062,1762.469970703125,166.0938725,37.19421,19.4822998046875,0.14711500704288483,2.408900022506714,19.482500076293945,0.15610000491142273,0.400644987821579,17.871000289916992,0.03799999877810478,3.4040000438690186,0.15299999713897705,0.09655100107192993,0.00018400000408291817,1.404860019683838,0.8790000081062317,780.3980102539062,0.9587330222129822,2.0,0.7820000052452087,0.6729999780654907,0.5566409826278687,0.47905299067497253,1.1619600057601929,1.0,0.0,0.9571430087089539,1.0,19.742599487304688,0.24779999256134033,166.0937953,37.1941156,9.84493,26.415300369262695,3.29233989759814e-05,0.034490399062633514,-0.1507209986448288,4.682860162574798e-05,t17_f5_c3,ZTF18aaznrih
2460049.7176505,2,2295217651115,20.595199584960938,/ztf/archive/sci/2023/0415/217639/ztf_20230415217639_000713_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.295217651115015e+18,t,34.0,2295.0,11.0,713.0,757.4569702148438,1802.4599609375,166.0938561,37.1941611,19.21769905090332,0.12219399958848953,3.3337299823760986,19.425100326538086,0.16189999878406525,0.2360219955444336,17.16699981689453,0.05299999937415123,4.288000106811523,0.4189999997615814,0.0020000000949949026,0.2073650062084198,1.2349900007247925,0.953000009059906,757.4569702148438,1.170050024986267,2.0,0.6570000052452087,0.6129999756813049,0.5319859981536865,0.4963589906692505,1.0717799663543701,2.0,0.0,0.9657139778137207,1.0,19.29599952697754,0.17520000040531158,166.0937774,37.1941392,12.8503,26.22570037841797,1.5148300008149818e-05,0.023768600076436996,0.10069700330495834,2.1679699784726836e-05,t17_f5_c3,ZTF18aaznrih
2460051.7203704,1,2297220371115,20.969900131225586,/ztf/archive/sci/2023/0417/220359/ztf_20230417220359_000713_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.297220371115015e+18,t,25.0,2297.0,11.0,713.0,764.7769775390625,1785.02001953125,166.0938277,37.1942629,19.6023006439209,0.12884600460529327,2.0991599559783936,19.409099578857422,0.10490000247955322,0.5316699743270874,17.871000289916992,0.03799999877810478,3.4040000438690186,0.15299999713897705,0.1601029932498932,-0.19318099319934845,1.3154699802398682,0.8320000171661377,764.7769775390625,1.5608099699020386,2.0,0.8479999899864197,0.7009999752044678,0.6446359753608704,0.5328890085220337,1.2096999883651733,3.0,0.0,0.8871430158615112,1.0,19.440799713134766,0.13199999928474426,166.0937953,37.1941156,6.83274,26.481300354003906,1.865860031102784e-05,0.02614869922399521,-0.12256799638271332,2.6508199880481698e-05,t17_f5_c3,ZTF18aaznrih
2460051.7876389,2,2297287631115,20.750099182128906,/ztf/archive/sci/2023/0417/287500/ztf_20230417287500_000713_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.297287631115015e+18,t,35.0,2297.0,11.0,713.0,770.2780151367188,1780.219970703125,166.0937852,37.1942287,19.197500228881836,0.10910999774932861,2.9127700328826904,19.192800521850586,0.12200000137090683,0.3188669979572296,17.16699981689453,0.05299999937415123,4.288000106811523,0.4189999997615814,0.08012299984693527,-0.004726999904960394,1.186750054359436,0.8899999856948853,770.2780151367188,1.557289958000183,2.0,0.7720000147819519,0.6140000224113464,0.6505169868469238,0.5173799991607666,1.2573299407958984,2.0,0.0,0.8899999856948853,1.0,19.321699142456055,0.1656000018119812,166.0937774,37.1941392,6.11423,26.26449966430664,1.5132700355025008e-05,0.02367679961025715,0.10126099735498428,2.1349000235204585e-05,t17_f5_c3,ZTF18aaznrih
