jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460161.8523727,2,2407352373715,20.148300170898438,/ztf/archive/sci/2023/0805/352373/ztf_20230805352373_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2407.0,37.0,636.0,26.280399322509766,1.4359200122271432e-06,0.016267700120806694,0.0837118998169899,4.0188101593230385e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2460161.8835648,1,2407383563715,19.680299758911133,/ztf/archive/sci/2023/0805/383565/ztf_20230805383565_000636_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2407.0,37.0,636.0,26.16349983215332,5.220039838604862e-06,0.03135259822010994,-0.022889800369739532,1.4559799637936521e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459497.6815856,2,1743181583715,19.691299438476562,/ztf/archive/sci/2021/1010/181458/ztf_20211010181458_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1743.0,37.0,636.0,26.25040054321289,3.0105500172794564e-06,0.02357270009815693,0.09140630066394806,8.47176033857977e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459502.6611343,2,1748161133715,19.59980010986328,/ztf/archive/sci/2021/1015/161123/ztf_20211015161123_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1748.0,37.0,636.0,26.26110076904297,2.968190074170707e-06,0.023547200486063957,0.08789820224046707,8.311039891850669e-06,t17_f5_c3,1.74816113371501e+18,f,2.0,3043.530029296875,310.66900634765625,270.9212278,27.9009943,19.72909927368164,0.261352002620697,0.8479369878768921,19.627899169921875,0.319599986076355,0.24188700318336487,18.663000106811523,0.024000000208616257,1.0199999809265137,0.06300000101327896,-0.07411299645900726,-0.10117000341415405,1.5603400468826294,0.9599999785423279,28.971399307250977,-0.028138000518083572,2.0,1.1349999904632568,1.027999997138977,0.7274069786071777,0.6588320136070251,1.1040899753570557,4.0,0.0,0.8271430134773254,0.9968410134315491,19.701099395751953,0.43880000710487366,270.9211613,27.900959,6.1016,ZTF18abdmglm
2459504.6238657,2,1750123863715,19.968700408935547,/ztf/archive/sci/2021/1017/123866/ztf_20211017123866_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1750.0,37.0,636.0,26.285600662231445,1.505649947830534e-06,0.016834799200296402,0.08689620345830917,4.218500180286355e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459504.6826852,1,1750182683715,19.43239974975586,/ztf/archive/sci/2021/1017/182674/ztf_20211017182674_000636_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1750.0,37.0,636.0,26.155399322509766,6.061340172891505e-06,0.03392050042748451,-0.02937130071222782,1.6829100786708295e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459510.6540394,2,1756154033715,18.634199142456055,/ztf/archive/sci/2021/1023/154039/ztf_20211023154039_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1756.0,37.0,636.0,25.597200393676758,7.966349585331045e-06,0.03794259950518608,0.09094859659671783,2.1710800865548663e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459510.6981829,1,1756198183715,19.106599807739258,/ztf/archive/sci/2021/1023/198171/ztf_20211023198171_000636_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1756.0,37.0,636.0,26.03890037536621,9.185019735014066e-06,0.039893798530101776,-0.022825099527835846,2.5925799491233192e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459512.619213,2,1758119213715,20.497100830078125,/ztf/archive/sci/2021/1025/119201/ztf_20211025119201_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1758.0,37.0,636.0,26.295000076293945,2.075199972750852e-06,0.01979609951376915,0.08583579957485199,5.825490006827749e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459512.7037384,1,1758203733715,19.31369972229004,/ztf/archive/sci/2021/1025/203738/ztf_20211025203738_000636_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1758.0,37.0,636.0,26.04840087890625,7.018330052233068e-06,0.03628610074520111,-0.01663370057940483,1.975029954337515e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459521.6175231,1,1767117523715,20.345500946044922,/ztf/archive/sci/2021/1103/117523/ztf_20211103117523_000636_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1767.0,37.0,636.0,26.2322998046875,2.3900699943624204e-06,0.02115909941494465,-0.04858750104904175,6.694379862892674e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459521.6428588,2,1767142853715,20.107099533081055,/ztf/archive/sci/2021/1103/142847/ztf_20211103142847_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1767.0,37.0,636.0,26.26569938659668,1.3800899978377856e-06,0.015984799712896347,0.08664900064468384,3.86751980840927e-06,t17_f5_c3,1.76714285371501e+18,f,5.0,3039.699951171875,288.0419921875,270.9211025,27.9009658,19.687700271606445,0.161190003156662,1.304229974746704,19.831300735473633,0.3021000027656555,0.1864040046930313,18.663000106811523,0.024000000208616257,1.0199999809265137,0.06300000101327896,-0.5698369741439819,0.1436309963464737,1.75,0.9739999771118164,32.798500061035156,0.27581799030303955,1.431730031967163,0.703000009059906,0.6899999976158142,0.4017139971256256,0.39428600668907166,1.018839955329895,6.0,0.0,0.9285709857940674,0.8640519976615906,19.6825008392334,0.3375999927520752,270.9211613,27.900959,9.02692,ZTF18abdmglm
2459523.5918171,2,1769091813715,20.447900772094727,/ztf/archive/sci/2021/1105/091817/ztf_20211105091817_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1769.0,37.0,636.0,26.29640007019043,2.114959897880908e-06,0.019777599722146988,0.08202020078897476,5.916000191064086e-06,t17_f5_c3,1.76909181371501e+18,f,5.0,3061.68994140625,300.2460021972656,270.9211332,27.9009702,19.891399383544922,0.17532099783420563,1.9107400178909302,20.09760093688965,0.31709998846054077,0.09340800344944,18.663000106811523,0.024000000208616257,1.0199999809265137,0.06300000101327896,-0.9364740252494812,0.20624500513076782,2.509999990463257,0.8220000267028809,10.808300018310547,0.3502799868583679,0.8921599984169006,0.597000002861023,0.546999990940094,0.23784899711608887,0.21792800724506378,1.0914100408554077,8.0,0.0,0.8485710024833679,0.843675971031189,20.36400032043457,0.5182999968528748,270.9211613,27.900959,7.59671,ZTF18abdmglm
2459523.6607755,1,1769160773715,19.95829963684082,/ztf/archive/sci/2021/1105/160764/ztf_20211105160764_000636_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1769.0,37.0,636.0,26.100500106811523,3.3021999570337357e-06,0.025188399478793144,-0.027329500764608383,9.17214038054226e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459525.6140509,1,1771114053715,20.465900421142578,/ztf/archive/sci/2021/1107/114051/ztf_20211107114051_000636_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1771.0,37.0,636.0,26.212400436401367,2.1637699774146313e-06,0.020108800381422043,-0.04540859907865524,6.062919965188485e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459491.6653588,2,1737165353715,20.500699996948242,/ztf/archive/sci/2021/1004/165359/ztf_20211004165359_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1737.0,37.0,636.0,26.263700485229492,1.825419985834742e-06,0.01835479959845543,0.08356489986181259,5.120839887240436e-06,t17_f5_c3,1.73716535371501e+18,f,4.0,3039.449951171875,295.65399169921875,270.9211033,27.9009495,19.521699905395508,0.12346500158309937,2.8776800632476807,19.845699310302734,0.2395000010728836,0.1834689974784851,18.663000106811523,0.024000000208616257,1.0199999809265137,0.06300000101327896,-0.5863630175590515,0.32404598593711853,2.059999942779541,1.0,33.05120086669922,0.6550329923629761,1.0856800079345703,0.5910000205039978,0.5720000267028809,0.28689301013946533,0.2776699960231781,1.0332200527191162,2.0,0.0,0.8657140135765076,1.0,19.991899490356445,0.35089999437332153,270.9211613,27.900959,12.848,ZTF18abdmglm
2459462.7580556,1,1708258053715,20.318700790405273,/ztf/archive/sci/2021/0905/258056/ztf_20210905258056_000636_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1708.0,37.0,636.0,26.223400115966797,2.9650400392711163e-06,0.023761799558997154,-0.0374751016497612,8.246929610322695e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459464.8083449,2,1710308343715,20.10689926147461,/ztf/archive/sci/2021/0907/308345/ztf_20210907308345_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1710.0,37.0,636.0,26.18199920654297,1.4846200429019518e-06,0.01667819917201996,0.08570820093154907,4.162120148976101e-06,t17_f5_c3,1.71030834371502e+18,f,2.0,3033.929931640625,240.4219970703125,270.9211035,27.9009614,19.7189998626709,0.14229600131511688,1.2426799535751343,19.732799530029297,0.28679999709129333,0.18407799303531647,18.663000106811523,0.024000000208616257,1.0199999809265137,0.06300000101327896,-1.021399974822998,0.013803999871015549,2.2699999809265137,0.9539999961853027,38.56880187988281,0.3741050064563751,1.0618799924850464,0.6779999732971191,0.6570000052452087,0.2986780107021332,0.2894270122051239,1.0319600105285645,8.0,0.0,0.9242860078811646,0.8390629887580872,19.918500900268555,0.4361000061035156,270.9211613,27.900959,9.2296,ZTF18abdmglm
2459466.6796644,2,1712179663715,20.595500946044922,/ztf/archive/sci/2021/0909/179630/ztf_20210909179630_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1712.0,37.0,636.0,26.264799118041992,1.6688900359440595e-06,0.017404399812221527,0.0838519036769867,4.693719802162377e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459466.8252894,1,1712325283715,19.635299682617188,/ztf/archive/sci/2021/0909/325289/ztf_20210909325289_000636_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1712.0,37.0,636.0,25.90690040588379,6.034039870428387e-06,0.034077100455760956,-0.01841210015118122,1.6750300346757285e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459470.6520949,2,1716152093715,20.516700744628906,/ztf/archive/sci/2021/0913/152083/ztf_20210913152083_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1716.0,37.0,636.0,26.304800033569336,1.6511199874003069e-06,0.017508799210190773,0.08051680028438568,4.62119987787446e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459470.7161806,1,1716216183715,20.40489959716797,/ztf/archive/sci/2021/0913/216181/ztf_20210913216181_000636_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1716.0,37.0,636.0,26.247400283813477,2.298520030308282e-06,0.020714599639177322,-0.05241389945149422,6.4645300881238654e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459473.6666088,2,1719166603715,20.288299560546875,/ztf/archive/sci/2021/0916/166586/ztf_20210916166586_000636_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1719.0,37.0,636.0,26.306499481201172,2.110250079567777e-06,0.019770000129938126,0.08332700282335281,5.887769930268405e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
2459473.6950694,1,1719195063715,20.08919906616211,/ztf/archive/sci/2021/0916/195035/ztf_20210916195035_000636_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1719.0,37.0,636.0,26.25790023803711,2.818529992509866e-06,0.022981999441981316,-0.04891040176153183,7.873039976402652e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abdmglm
