jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460042.9739815,2,2288473983115,20.06130027770996,/ztf/archive/sci/2023/0408/473982/ztf_20230408473982_000766_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2288.0,31.0,766.0,26.17009925842285,2.321479996680864e-06,0.018783599138259888,0.08560299873352051,7.86103009886574e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abgjenq
2460042.9883333,1,2288488333115,19.74530029296875,/ztf/archive/sci/2023/0408/488333/ztf_20230408488333_000766_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2288.0,31.0,766.0,26.269100189208984,2.543479922678671e-06,0.019671199843287468,-0.08856280148029327,8.625010195828509e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abgjenq
2460044.93125,2,2290431253115,20.44700050354004,/ztf/archive/sci/2023/0410/431238/ztf_20230410431238_000766_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2290.0,31.0,766.0,26.28380012512207,1.6136899603225174e-06,0.01585940085351467,0.07590640336275101,5.460030024551088e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abgjenq
2460044.9473611,3,2290447363115,20.093399047851562,/ztf/archive/sci/2023/0410/447350/ztf_20230410447350_000766_zi_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2290.0,31.0,766.0,25.71780014038086,1.9167300706612878e-06,0.02070230059325695,0.20454199612140656,4.325039844843559e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abgjenq
2460046.9738542,1,2292473853115,19.1924991607666,/ztf/archive/sci/2023/0412/473854/ztf_20230412473854_000766_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2292.0,31.0,766.0,25.312700271606445,3.870859927701531e-06,0.02461720071732998,-0.053553398698568344,1.3056899661023635e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abgjenq
2460046.9907523,2,2292490753115,20.02910041809082,/ztf/archive/sci/2023/0412/490694/ztf_20230412490694_000766_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2292.0,31.0,766.0,25.973100662231445,1.9829099073831458e-06,0.017631100490689278,0.08225130289793015,6.700970061501721e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abgjenq
2460050.9245718,3,2296424573115,20.070499420166016,/ztf/archive/sci/2023/0416/424514/ztf_20230416424514_000766_zi_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2296.0,31.0,766.0,25.68560028076172,1.3830899661115836e-06,0.017542099580168724,0.2017589956521988,3.122569978586398e-05,t17_f5_c3,2.296424573115015e+18,t,1.0,1956.02001953125,409.7969970703125,289.1353789,46.6398601,18.825599670410156,0.1196260005235672,10.84749984741211,18.777799606323242,0.13930000364780426,2.997390031814575,17.368000030517578,0.028999999165534973,1.1080000400543213,-0.03700000047683716,-0.03276300057768822,-0.04784400016069412,1.8799999952316284,0.9810000061988831,409.7969970703125,1.2926599979400635,1.1971100568771362,0.5590000152587891,0.48899999260902405,0.2973400056362152,0.26010599732398987,1.143149971961975,10.0,0.0,0.5157139897346497,0.6733559966087341,17.141599655151367,0.0406000018119812,289.1363811,46.6393751,14.4343,ZTF18abgjenq
2460051.9499537,2,2297449953115,21.007400512695312,/ztf/archive/sci/2023/0417/449942/ztf_20230417449942_000766_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2297.0,31.0,766.0,26.302600860595703,1.2944899481226457e-06,0.014195499941706657,0.0803695023059845,4.3769700823759194e-06,t17_f5_c3,2.297449953115015e+18,t,4.0,1967.8699951171875,420.83599853515625,289.135304,46.6398268,18.590599060058594,0.09926600009202957,16.233800888061523,17.990299224853516,0.030500000342726707,3.010129928588867,17.58300018310547,0.026000000536441803,1.809999942779541,-0.06499999761581421,0.7549499869346619,-0.6003159880638123,4.340000152587891,0.9980000257492065,420.83599853515625,3.01705002784729,0.5767300128936768,1.3220000267028809,1.1779999732971191,0.30460798740386963,0.27142900228500366,1.1222399473190308,2.0,0.0,0.2485709935426712,0.955715000629425,16.999399185180664,0.017400000244379044,289.1363499,46.6393812,16.0892,ZTF18abgjenq
2460051.9844213,1,2297484423115,20.80940055847168,/ztf/archive/sci/2023/0417/484421/ztf_20230417484421_000766_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2297.0,31.0,766.0,26.306499481201172,1.6006199530238518e-06,0.015633899718523026,-0.0754254013299942,5.4240999816101976e-06,t17_f5_c3,2.297484423115015e+18,t,3.0,1973.6400146484375,430.7170104980469,289.1353836,46.639842,18.278499603271484,0.06362000107765198,11.859199523925781,18.153600692749023,0.035599999129772186,2.918030023574829,18.256999969482422,0.010999999940395355,0.23399999737739563,0.0020000000949949026,0.20596499741077423,-0.12492399662733078,2.809999942779541,0.9919999837875366,430.7170104980469,2.655790090560913,0.9990959763526917,0.953000009059906,0.8700000047683716,0.3391459882259369,0.30960899591445923,1.0953999757766724,0.0,0.0,0.8399999737739563,1.0,17.759199142456055,0.03350000083446503,289.1363712,46.6393796,34.3146,ZTF18abgjenq
2460054.9555903,1,2300455593115,20.55069923400879,/ztf/archive/sci/2023/0420/455590/ztf_20230420455590_000766_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2300.0,31.0,766.0,26.284099578857422,2.1339699287636904e-06,0.017975399270653725,-0.08184409886598587,7.243950221891282e-06,t17_f5_c3,2.300455593115015e+18,t,3.0,1956.43994140625,437.84600830078125,289.1353755,46.6398357,18.561100006103516,0.08138799667358398,6.99452018737793,18.285499572753906,0.04809999838471413,2.9122300148010254,18.256999969482422,0.010999999940395355,0.23399999737739563,0.0020000000949949026,0.4043020009994507,-0.2755909860134125,2.7100000381469727,1.0,437.84600830078125,2.2652199268341064,1.0267900228500366,0.9679999947547913,0.8849999904632568,0.35719600319862366,0.32656800746917725,1.093790054321289,0.0,0.0,0.7214289903640747,1.0,17.618600845336914,0.03539999946951866,289.1363712,46.6393796,25.9782,ZTF18abgjenq
