jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460173.8721644,2,2419372164415,20.2903995513916,/ztf/archive/sci/2023/0817/372153/ztf_20230817372153_000294_zr_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2419.0,44.0,294.0,26.30229949951172,1.1386199730623048e-05,0.025362500920891762,0.11517799645662308,1.7421500160708092e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abshezu
2460173.8770602,1,2419377064415,20.315500259399414,/ztf/archive/sci/2023/0817/377037/ztf_20230817377037_000294_zg_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2419.0,44.0,294.0,26.272199630737305,2.3104999854695052e-05,0.03607559949159622,-0.04170849919319153,3.689849836518988e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abshezu
2460173.9114352,3,2419411434415,19.915700912475586,/ztf/archive/sci/2023/0817/411435/ztf_20230817411435_000294_zi_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2419.0,44.0,294.0,25.74519920349121,2.624080025270814e-06,0.01824280060827732,0.190994992852211,1.0911399840551894e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abshezu
2460182.8754051,3,2428375404415,19.690900802612305,/ztf/archive/sci/2023/0826/375394/ztf_20230826375394_000294_zi_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2428.0,44.0,294.0,25.779199600219727,5.872000201634364e-06,0.02704489976167679,0.18931199610233307,2.513899926270824e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abshezu
2460182.8778241,1,2428377824415,20.30430030822754,/ztf/archive/sci/2023/0826/377812/ztf_20230826377812_000294_zg_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2428.0,44.0,294.0,26.318099975585938,1.86179004231235e-05,0.03253379836678505,-0.044339798390865326,2.9469900255207904e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abshezu
2460182.9459606,2,2428445964415,20.122100830078125,/ztf/archive/sci/2023/0826/445961/ztf_20230826445961_000294_zr_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2428.0,44.0,294.0,26.327999114990234,1.7230500816367567e-05,0.03133760020136833,0.13335399329662323,2.6190200514975004e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abshezu
2460184.8921528,2,2430392154415,19.85610008239746,/ztf/archive/sci/2023/0828/392153/ztf_20230828392153_000294_zr_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2430.0,44.0,294.0,26.33930015563965,1.5143100426939782e-05,0.029273299500346184,0.11257900297641754,2.3182999939308502e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abshezu
2460184.9166898,1,2430416684415,20.0044002532959,/ztf/archive/sci/2023/0828/416690/ztf_20230828416690_000294_zg_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2430.0,44.0,294.0,26.288000106811523,2.5285700758104213e-05,0.03735680133104324,-0.020813999697566032,4.232120045344345e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abshezu
2460185.9000347,3,2431400034415,19.51689910888672,/ztf/archive/sci/2023/0829/400035/ztf_20230829400035_000294_zi_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2431.0,44.0,294.0,25.778600692749023,3.937610017601401e-06,0.02225090004503727,0.19159799814224243,1.6460100596304983e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abshezu
2460186.8349769,2,2432334974415,19.04640007019043,/ztf/archive/sci/2023/0830/334780/ztf_20230830334780_000294_zr_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2432.0,44.0,294.0,26.30470085144043,3.450089934631251e-05,0.042945001274347305,0.13491499423980713,5.2876599511364475e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abshezu
