jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460185.85875,2,2431358742015,19.766399383544922,/ztf/archive/sci/2023/0829/358738/ztf_20230829358738_000400_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.43135874201501e+18,f,2.0,2431.0,20.0,400.0,2380.909912109375,1564.5899658203125,30.9898961,-3.175311,19.002300262451172,0.10240700095891953,2.2053799629211426,19.084299087524414,0.2214999943971634,0.1818930059671402,17.461999893188477,0.03500000014901161,2.049999952316284,0.17599999904632568,-0.04600000008940697,0.0820000022649765,1.1827499866485596,0.9779999852180481,691.593017578125,0.6820909976959229,2.0,0.7149999737739563,0.6850000023841858,0.6045230031013489,0.5791580080986023,1.0437999963760376,9.0,0.0,0.9057139754295349,0.9394919872283936,18.95870018005371,0.25220000743865967,30.9899031,-3.1752603,8.3001,26.305299758911133,1.687680014583748e-05,0.02843940071761608,0.1106330007314682,2.4881599529180676e-05,t17_f5_c3,ZTF18abtrffa
2460185.9145833,3,2431414582015,19.672300338745117,/ztf/archive/sci/2023/0829/414583/ztf_20230829414583_000400_zi_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2431.0,20.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.750999450683594,3.964500137954019e-06,0.021276600658893585,0.193013995885849,1.6328800484188832e-05,t17_f5_c3,ZTF18abtrffa
2460185.9825926,2,2431482592015,21.466400146484375,/ztf/archive/sci/2023/0829/482581/ztf_20230829482581_000400_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kasliwal,3,2.43148259201501e+18,f,11.0,2431.0,20.0,400.0,2394.6201171875,1591.8299560546875,30.9898793,-3.1754175,20.157800674438477,0.09749600291252136,4.205150127410889,20.06760025024414,0.09849999845027924,0.5022299885749817,17.573999404907227,0.04600000008940697,2.177000045776367,0.30399999022483826,0.6490129828453064,-0.09019599854946136,1.4205000400543213,0.9950000047683716,677.8779907226562,1.3988100290298462,2.0,0.8050000071525574,0.7149999737739563,0.5667009949684143,0.5033429861068726,1.1258699893951416,2.0,0.0,0.6985710263252258,0.98717200756073,20.11639976501465,0.13030000030994415,30.9898959,-3.1752753,8.49952,28.867799758911133,1.9425999198574573e-05,0.029842400923371315,0.11481600254774094,2.8185999326524325e-05,t17_f5_c3,ZTF18abtrffa
2460186.8869097,2,2432386905215,19.26449966430664,/ztf/archive/sci/2023/0830/386910/ztf_20230830386910_001393_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2432.0,52.0,1393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.187999725341797,2.519160079827998e-05,0.03609820082783699,0.10335499793291092,3.5865399695467204e-05,t17_f5_c3,ZTF18abtrffa
2460186.8873843,2,2432387385215,19.226299285888672,/ztf/archive/sci/2023/0830/387373/ztf_20230830387373_001393_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,,,,2432.0,52.0,1393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.20330047607422,2.0105599105590954e-05,0.032238900661468506,0.08614759892225266,2.8583499442902394e-05,t17_f5_c3,ZTF18abtrffa
2460187.8611343,2,2433361135215,19.0487003326416,/ztf/archive/sci/2023/0831/361134/ztf_20230831361134_001393_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2433.0,52.0,1393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.166900634765625,2.581939952506218e-05,0.0361706018447876,0.10631100088357925,3.656830085674301e-05,t17_f5_c3,ZTF18abtrffa
2460187.8616088,2,2433361605215,19.107200622558594,/ztf/archive/sci/2023/0831/361609/ztf_20230831361609_001393_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,,,,2433.0,52.0,1393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.159000396728516,2.2643900592811406e-05,0.033881500363349915,0.11389999836683273,3.2187599572353065e-05,t17_f5_c3,ZTF18abtrffa
2460187.918206,2,2433418202015,19.2716007232666,/ztf/archive/sci/2023/0831/418194/ztf_20230831418194_000400_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2433.0,20.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.296899795532227,3.243820174247958e-05,0.038930799812078476,0.1131649985909462,4.7772398829692975e-05,t17_f5_c3,ZTF18abtrffa
2460187.9916898,1,2433491682015,19.101900100708008,/ztf/archive/sci/2023/0831/491690/ztf_20230831491690_000400_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2433.0,20.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.270200729370117,5.421250170911662e-05,0.042858000844717026,-0.05995969846844673,0.00010366200149292126,t17_f5_c3,ZTF18abtrffa
2460192.881169,1,2438381162015,19.88050079345703,/ztf/archive/sci/2023/0905/381157/ztf_20230905381157_000400_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2438.0,20.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.273399353027344,2.460309951857198e-05,0.033124200999736786,-0.04233049973845482,3.894620022037998e-05,t17_f5_c3,ZTF18abtrffa
