jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460183.8796528,2,2429379654415,20.580299377441406,/ztf/archive/sci/2023/0827/379653/ztf_20230827379653_000547_zr_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.429379654415015e+18,t,15.0,2429.0,44.0,547.0,1689.0,1336.56005859375,338.4100667,13.212117,18.562700271606445,0.07279100269079208,4.565219879150391,18.549800872802734,0.07580000162124634,0.03127500042319298,16.797000885009766,0.04600000008940697,2.821000099182129,0.21299999952316284,0.14617499709129333,-0.012946000322699547,1.185420036315918,0.9950000047683716,1336.56005859375,2.0305299758911133,2.0,0.7170000076293945,0.7059999704360962,0.6048499941825867,0.595570981502533,1.0155800580978394,0.0,0.0,0.8328570127487183,1.0,18.6028995513916,0.09700000286102295,338.4100646,13.2121256,6.56948,26.371700286865234,3.02883995573211e-06,0.02001339942216873,0.10436899960041046,4.949809863319388e-06,t17_f5_c3,ZTF18abueqkq
2460183.9362731,1,2429436274415,20.47330093383789,/ztf/archive/sci/2023/0827/436250/ztf_20230827436250_000547_zg_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.429436274415015e+18,t,8.0,2429.0,44.0,547.0,1674.8699951171875,1325.72998046875,338.4101252,13.212117,18.491899490356445,0.07938800007104874,2.700079917907715,18.44610023498535,0.06350000202655792,0.21177899837493896,17.371000289916992,0.03099999949336052,2.1730000972747803,0.15800000727176666,0.0816510021686554,-0.04575100168585777,3.5199999809265137,0.9890000224113464,1325.72998046875,2.027250051498413,0.7662839889526367,0.8859999775886536,0.8050000071525574,0.25170499086380005,0.22869299352169037,1.1006200313568115,1.0,0.0,0.947143018245697,1.0,18.468700408935547,0.07999999821186066,338.4100723,13.212147,10.8653,26.36989974975586,6.042960194463376e-06,0.02834169939160347,-0.05789029970765114,9.967840014724061e-06,t17_f5_c3,ZTF18abueqkq
2460184.8003009,3,2430300304415,19.56719970703125,/ztf/archive/sci/2023/0828/300289/ztf_20230828300289_000547_zi_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2.430300304415015e+18,t,4.0,2430.0,44.0,547.0,1725.1700439453125,1299.3800048828125,338.4101567,13.2121316,18.306499481201172,0.09033100306987762,2.9500999450683594,18.401100158691406,0.14059999585151672,0.3476400077342987,16.444000244140625,0.054999999701976776,3.25,0.3490000069141388,0.9425250291824341,0.09458500146865845,1.2851200103759766,0.9269999861717224,1299.3800048828125,1.166100025177002,2.0,0.7429999709129333,0.7160000205039978,0.5781580209732056,0.5571479797363281,1.0377099514007568,3.0,0.0,0.9100000262260437,1.0,18.670799255371094,0.22519999742507935,338.4100618,13.2121636,13.0878,25.79050064086914,1.6610299553576624e-06,0.02217560075223446,0.191771999001503,8.97350037121214e-06,t17_f5_c3,ZTF18abueqkq
2460185.8475926,2,2431347594415,19.849000930786133,/ztf/archive/sci/2023/0829/347546/ztf_20230829347546_000547_zr_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.431347594415015e+18,t,5.0,2431.0,44.0,547.0,1710.3399658203125,1286.510009765625,338.4100955,13.2121362,18.42340087890625,0.08088000118732452,5.388609886169434,18.393400192260742,0.10920000076293945,0.11357799917459488,16.797000885009766,0.04600000008940697,2.821000099182129,0.21299999952316284,-0.3516640067100525,-0.029954999685287476,2.200000047683716,0.9959999918937683,1286.510009765625,1.4555599689483643,1.1168999671936035,0.7609999775886536,0.6970000267028809,0.3459089994430542,0.3168179988861084,1.0918200016021729,4.0,0.0,0.9399999976158142,0.9893810153007507,18.37579917907715,0.1356000006198883,338.4100646,13.2121256,17.0379,26.385400772094727,5.885599875909975e-06,0.027874000370502472,0.11563599854707718,9.601460078556556e-06,t17_f5_c3,ZTF18abueqkq
2460187.7954167,2,2433295414415,19.27359962463379,/ztf/archive/sci/2023/0831/295394/ztf_20230831295394_000547_zr_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.433295414415015e+18,t,3.0,2433.0,44.0,547.0,1705.300048828125,1291.1300048828125,338.4100955,13.2121585,18.400400161743164,0.12029000371694565,3.6726698875427246,18.231399536132812,0.1678999960422516,0.15856799483299255,16.797000885009766,0.04600000008940697,2.821000099182129,0.21299999952316284,-2.913909912109375,-0.16904699802398682,1.122480034828186,0.9869999885559082,1291.1300048828125,1.0421600341796875,2.0,0.6669999957084656,0.6169999837875366,0.5942209959030151,0.5496770143508911,1.0810400247573853,4.0,0.0,0.8685709834098816,1.0,18.102800369262695,0.19059999287128448,338.4100646,13.2121256,7.97528,26.33639907836914,9.477609637542628e-06,0.035108499228954315,0.11580800265073776,1.5468000128748827e-05,t17_f5_c3,ZTF18abueqkq
2460187.9733565,1,2433473354415,18.534400939941406,/ztf/archive/sci/2023/0831/473345/ztf_20230831473345_000547_zg_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.433473354415015e+18,t,2.0,2433.0,44.0,547.0,1667.1300048828125,1269.300048828125,338.4101137,13.2121743,18.341899871826172,0.15280799567699432,0.9057120084762573,18.708999633789062,0.4593999981880188,0.18019799888134003,17.371000289916992,0.03099999949336052,2.1730000972747803,0.15800000727176666,-1.641160011291504,0.3670499920845032,2.3399999141693115,0.9959999918937683,1269.300048828125,-0.1745939999818802,1.0588200092315674,0.7020000219345093,0.6169999837875366,0.30000001192092896,0.2636750042438507,1.137760043144226,6.0,0.0,0.8500000238418579,0.8748540282249451,18.22960090637207,0.37940001487731934,338.4100723,13.212147,7.05092,26.18000030517578,3.4652701287996024e-05,0.042478300631046295,-0.032563500106334686,8.87554997461848e-05,t17_f5_c3,ZTF18abueqkq
2460192.8561111,1,2438356114415,20.269800186157227,/ztf/archive/sci/2023/0905/356007/ztf_20230905356007_000547_zg_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.438356114415015e+18,t,2.0,2438.0,44.0,547.0,1681.1700439453125,1328.72998046875,338.4100846,13.21214,18.375,0.06072700023651123,3.6027400493621826,18.360000610351562,0.0714000016450882,0.04861399903893471,17.371000289916992,0.03099999949336052,2.1730000972747803,0.15800000727176666,0.18978799879550934,-0.015018000267446041,2.609999895095825,0.9800000190734863,1328.72998046875,1.9097900390625,0.9772019982337952,0.7289999723434448,0.6899999976158142,0.2793099880218506,0.2643679976463318,1.0565199851989746,4.0,0.0,0.9485710263252258,0.9980350136756897,18.391199111938477,0.09189999848604202,338.4100723,13.212147,14.3245,26.375999450683594,7.055679816403426e-06,0.030416099354624748,-0.05396319925785065,1.1862100109283347e-05,t17_f5_c3,ZTF18abueqkq
2460192.9008218,3,2438400824415,19.915000915527344,/ztf/archive/sci/2023/0905/400810/ztf_20230905400810_000547_zi_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2438.0,44.0,547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.784799575805664,1.2459800018405076e-06,0.019346699118614197,0.18826299905776978,6.585739811271196e-06,t17_f5_c3,ZTF18abueqkq
2460194.8328241,2,2440332824415,20.53510093688965,/ztf/archive/sci/2023/0907/332824/ztf_20230907332824_000547_zr_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.440332824415025e+18,t,5.0,2440.0,44.0,547.0,1690.8199462890625,1317.0699462890625,338.4101002,13.2121364,18.329500198364258,0.08902899920940399,4.823009967803955,18.30030059814453,0.06239999830722809,0.1291390061378479,16.797000885009766,0.04600000008940697,2.821000099182129,0.21299999952316284,-0.08646500110626221,-0.029190000146627426,1.1880799531936646,0.9959999918937683,1317.0699462890625,2.234800100326538,2.0,0.621999979019165,0.5600000023841858,0.5235339999198914,0.47134900093078613,1.1107100248336792,4.0,0.0,0.8542860150337219,0.9902120232582092,18.264699935913086,0.07370000332593918,338.4100646,13.2121256,5.97831,26.364500045776367,4.448600066098152e-06,0.024008499458432198,0.11852200329303741,7.206840109574841e-06,t17_f5_c3,ZTF18abueqkq
2460194.956875,1,2440456874415,20.041200637817383,/ztf/archive/sci/2023/0907/456863/ztf_20230907456863_000547_zg_c12_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.440456874415015e+18,t,3.0,2440.0,44.0,547.0,1670.239990234375,1303.5400390625,338.4100817,13.2121332,18.378700256347656,0.08031799644231796,3.9205501079559326,18.40519905090332,0.08030000329017639,0.058873001486063004,17.371000289916992,0.03099999949336052,2.1730000972747803,0.15800000727176666,-0.20849700272083282,0.026477999985218048,2.5999999046325684,0.9829999804496765,1303.5400390625,1.6359800100326538,1.1155400276184082,0.9559999704360962,0.8730000257492065,0.3676919937133789,0.33576899766921997,1.0950700044631958,0.0,0.0,0.9599999785423279,1.0,18.369400024414062,0.09730000048875809,338.4100723,13.212147,20.724,26.28070068359375,1.0129499969480094e-05,0.0352368988096714,-0.02315939962863922,1.8479600839782506e-05,t17_f5_c3,ZTF18abueqkq
