jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460184.9808796,2,2430480872215,20.376300811767578,/ztf/archive/sci/2023/0828/480868/ztf_20230828480868_000353_zr_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2430.0,22.0,353.0,26.31399917602539,1.2863600204582326e-05,0.030152099207043648,0.10693900287151337,1.9486400560708717e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460186.9191204,2,2432419122215,19.242599487304688,/ztf/archive/sci/2023/0830/419109/ztf_20230830419109_000353_zr_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2432.0,22.0,353.0,26.24650001525879,1.788950066838879e-05,0.03564649820327759,0.10179299861192703,2.7062300432589836e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460186.9828819,1,2432482882215,19.363800048828125,/ztf/archive/sci/2023/0830/482870/ztf_20230830482870_000353_zg_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2432.0,22.0,353.0,26.272300720214844,2.8221000320627354e-05,0.03904930129647255,-0.0723126009106636,5.602309829555452e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460187.9166898,2,2433416685515,19.0314998626709,/ztf/archive/sci/2023/0831/416678/ztf_20230831416678_001345_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2433.0,55.0,1345.0,26.060199737548828,1.9258099200669676e-05,0.03656350076198578,0.11978700011968613,2.7441599740996026e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460187.9229282,2,2433422925515,19.035600662231445,/ztf/archive/sci/2023/0831/422859/ztf_20230831422859_001345_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,2433.0,55.0,1345.0,26.085100173950195,2.7029700504499488e-05,0.04363130033016205,0.11311399936676025,3.86259016522672e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460191.9219792,1,2437421972215,19.215700149536133,/ztf/archive/sci/2023/0904/421968/ztf_20230904421968_000353_zg_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2437.0,22.0,353.0,26.259899139404297,2.3843300368753262e-05,0.03384840115904808,-0.10107599943876266,5.095449887448922e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460191.9794329,2,2437479432215,19.746299743652344,/ztf/archive/sci/2023/0904/479433/ztf_20230904479433_000353_zr_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2437.0,22.0,353.0,26.343000411987305,9.658569979364984e-06,0.02604839950799942,0.10997900366783142,1.470460028940579e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460192.9751273,3,2438475122215,19.67009925842285,/ztf/archive/sci/2023/0905/475116/ztf_20230905475116_000353_zi_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2438.0,22.0,353.0,25.793399810791016,2.870860043913126e-06,0.02174459956586361,0.1967570036649704,1.2923200301884208e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460194.9412847,1,2440441282215,20.048099517822266,/ztf/archive/sci/2023/0907/441285/ztf_20230907441285_000353_zg_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2440.0,22.0,353.0,26.27790069580078,2.066289926005993e-05,0.03751109912991524,-0.06425710022449493,3.2881700462894514e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460194.9731366,2,2440473132215,20.343900680541992,/ztf/archive/sci/2023/0907/473137/ztf_20230907473137_000353_zr_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2440.0,22.0,353.0,26.34440040588379,8.798249837127514e-06,0.02473199926316738,0.10770899802446365,1.3314899661054369e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460195.9274537,3,2441427452215,19.469600677490234,/ztf/archive/sci/2023/0908/427454/ztf_20230908427454_000353_zi_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2441.0,22.0,353.0,25.699600219726562,3.191430096194381e-06,0.02291250042617321,0.19622400403022766,1.4323400137072895e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460195.9774421,2,2441477445515,20.113300323486328,/ztf/archive/sci/2023/0908/477442/ztf_20230908477442_001345_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2441.0,55.0,1345.0,26.152299880981445,8.813989552436396e-06,0.025053400546312332,0.11478199809789658,1.2604899893631227e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460195.9779167,2,2441477915515,20.15220069885254,/ztf/archive/sci/2023/0908/477905/ztf_20230908477905_001345_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,2441.0,55.0,1345.0,26.15130043029785,9.312780093750916e-06,0.025783399119973183,0.11165499687194824,1.3295600183482748e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460196.9399537,2,2442439952215,20.181400299072266,/ztf/archive/sci/2023/0909/439942/ztf_20230909439942_000353_zr_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2442.0,22.0,353.0,26.233699798583984,9.220870197168551e-06,0.025555899366736412,0.10766299813985825,1.4063300113775767e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460196.9678125,1,2442467812215,20.206300735473633,/ztf/archive/sci/2023/0909/467801/ztf_20230909467801_000353_zg_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2442.0,22.0,353.0,26.21769905090332,2.2267400709097274e-05,0.03931720182299614,-0.09810119867324829,3.442379966145381e-05,t17_f5_c3,2.44246781221501e+18,f,20.0,973.1580200195312,2214.6298828125,62.3064344,-11.4172705,18.7106990814209,0.11992499977350235,5.0620598793029785,18.69339942932129,0.10679999738931656,0.20454399287700653,15.717000007629395,0.014999999664723873,0.5590000152587891,0.04100000113248825,0.3098770081996918,-0.017284000292420387,1.3333499431610107,0.8859999775886536,865.8690185546875,1.5128899812698364,2.0,0.8059999942779541,0.6629999876022339,0.6044909954071045,0.4972420036792755,1.215690016746521,4.0,0.0,0.8357139825820923,0.9601860046386719,18.7322998046875,0.13410000503063202,62.3063759,-11.4172654,5.73273,ZTF18abuypyj
2460199.9507986,3,2445450792215,19.892900466918945,/ztf/archive/sci/2023/0912/450799/ztf_20230912450799_000353_zi_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2445.0,22.0,353.0,25.749099731445312,3.382840077392757e-06,0.02368680015206337,0.1972530037164688,1.529260043753311e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
2460199.9616667,1,2445461662215,20.54450035095215,/ztf/archive/sci/2023/0912/461655/ztf_20230912461655_000353_zg_c06_o_q3_scimrefdiffimg.fits.fz,Prince,3,2445.0,22.0,353.0,26.303300857543945,2.4469900381518528e-05,0.04126020148396492,-0.11728499829769135,3.752100019482896e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abuypyj
