jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460185.8699884,2,2431369983915,19.86240005493164,/ztf/archive/sci/2023/0829/369977/ztf_20230829369977_000699_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.43136998391501e+18,f,4.0,2431.0,39.0,699.0,447.697998046875,541.7319946289062,48.258159,41.3336892,19.28849983215332,0.15727899968624115,1.9796500205993652,19.352100372314453,0.2558000087738037,0.06808599829673767,17.301000595092773,0.05299999937415123,3.1989998817443848,0.32199999690055847,-0.45019298791885376,0.06364099681377411,2.7799999713897705,0.8539999723434448,447.697998046875,0.5103009939193726,0.8727089762687683,0.7789999842643738,0.5740000009536743,0.2802160084247589,0.20647500455379486,1.3571399450302124,8.0,0.0,0.8542860150337219,0.9328719973564148,19.199800491333008,0.28349998593330383,48.2581616,41.3337054,9.25412,26.326499938964844,1.1987699508608785e-06,0.01682390086352825,0.08758129924535751,3.3639898902038112e-06,t17_f5_c3,ZTF18abvfmif
2460185.933044,1,2431433043915,19.84749984741211,/ztf/archive/sci/2023/0829/433021/ztf_20230829433021_000699_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2431.0,39.0,699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.339099884033203,2.5423998977203155e-06,0.025021400302648544,-0.042670998722314835,7.060370080580469e-06,t17_f5_c3,ZTF18abvfmif
2460187.9428935,2,2433442893915,19.750900268554688,/ztf/archive/sci/2023/0831/442789/ztf_20230831442789_000699_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.43344289391501e+18,f,4.0,2433.0,39.0,699.0,473.3710021972656,575.5770263671875,48.2581528,41.333634,19.446699142456055,0.2018750011920929,2.760010004043579,19.546199798583984,0.3698999881744385,0.2679319977760315,17.301000595092773,0.05299999937415123,3.1989998817443848,0.32199999690055847,-0.4209049940109253,0.09945700317621231,1.1026099920272827,0.9769999980926514,473.3710021972656,0.20466600358486176,2.0,0.6330000162124634,0.460999995470047,0.5740929841995239,0.41809898614883423,1.3731000423431396,11.0,0.0,0.6728569865226746,0.47481799125671387,19.41710090637207,0.41990000009536743,48.2581616,41.3337054,7.15879,26.31170082092285,1.55880002239428e-06,0.019218800589442253,0.08279039710760117,4.3723198359657545e-06,t17_f5_c3,ZTF18abvfmif
2460187.985625,1,2433485623915,19.569499969482422,/ztf/archive/sci/2023/0831/485579/ztf_20230831485579_000699_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2433.0,39.0,699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.29050064086914,3.867080067720963e-06,0.03078549914062023,-0.038580700755119324,1.0659699910320342e-05,t17_f5_c3,ZTF18abvfmif
2460192.865,1,2438364993915,19.925500869750977,/ztf/archive/sci/2023/0905/365000/ztf_20230905365000_000699_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2438.0,39.0,699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.283300399780273,2.457529944877024e-06,0.024513499811291695,-0.04416630044579506,6.83645021126722e-06,t17_f5_c3,ZTF18abvfmif
2460192.9321528,2,2438432153915,20.247800827026367,/ztf/archive/sci/2023/0905/432106/ztf_20230905432106_000699_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2438.0,39.0,699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.350200653076172,1.3840100336892647e-06,0.018113499507308006,0.0882750004529953,3.906070105585968e-06,t17_f5_c3,ZTF18abvfmif
2460195.9027778,1,2441402773915,20.267200469970703,/ztf/archive/sci/2023/0908/402708/ztf_20230908402708_000699_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2441.0,39.0,699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.22570037841797,1.910540049721021e-06,0.02160250023007393,-0.03437130153179169,5.327070084604202e-06,t17_f5_c3,ZTF18abvfmif
2460195.9652662,2,2441465263915,20.410900115966797,/ztf/archive/sci/2023/0908/465255/ztf_20230908465255_000699_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.44146526391501e+18,f,5.0,2441.0,39.0,699.0,417.5870056152344,599.9310302734375,48.2582151,41.3336638,19.36680030822754,0.16103999316692352,4.09276008605957,19.48040008544922,0.1964000016450882,0.20649899542331696,17.301000595092773,0.05299999937415123,3.1989998817443848,0.32199999690055847,-0.814848005771637,0.11362200230360031,1.840000033378601,0.9409999847412109,417.5870056152344,0.9304519891738892,1.2139500379562378,0.6079999804496765,0.3869999945163727,0.33043500781059265,0.21032600104808807,1.5710599422454834,9.0,0.0,0.7028570175170898,0.742950975894928,19.338499069213867,0.2175000011920929,48.2581616,41.3337054,8.2839,26.302799224853516,1.2062399719070527e-06,0.016789600253105164,0.08777719736099243,3.421909923417843e-06,t17_f5_c3,ZTF18abvfmif
2460198.8610995,1,2444361093915,20.498300552368164,/ztf/archive/sci/2023/0911/361076/ztf_20230911361076_000699_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2444.0,39.0,699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.26650047302246,2.237190074083628e-06,0.023525899276137352,-0.03983660042285919,6.191470220073825e-06,t17_f5_c3,ZTF18abvfmif
2460198.9268056,2,2444426803915,20.716699600219727,/ztf/archive/sci/2023/0911/426713/ztf_20230911426713_000699_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.44442680391501e+18,f,4.0,2444.0,39.0,699.0,444.9179992675781,600.7739868164062,48.2581894,41.3336979,19.182199478149414,0.09155400097370148,2.810379981994629,19.131200790405273,0.11320000141859055,0.08299300074577332,17.301000595092773,0.05299999937415123,3.1989998817443848,0.32199999690055847,-0.9942870140075684,-0.05101099982857704,2.309999942779541,0.968999981880188,444.9179992675781,1.585479974746704,0.9558789730072021,0.6439999938011169,0.5899999737739563,0.2787880003452301,0.2554109990596771,1.0915199518203735,5.0,0.0,0.9200000166893005,0.9494460225105286,19.083999633789062,0.13539999723434448,48.2581616,41.3337054,8.17686,26.333200454711914,1.2606000154846697e-06,0.017231199890375137,0.08935189992189407,3.552529960870743e-06,t17_f5_c3,ZTF18abvfmif
