jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460220.9451736,1,2466445175815,19.202600479125977,/ztf/archive/sci/2023/1003/445174/ztf_20231003445174_000616_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2466,58,616,26.215499877929688,2.1933299649390392e-05,0.0499797984957695,-0.021016400307416916,5.0064300012309104e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abvgiyf
2460221.0073148,2,2466507315815,19.84269905090332,/ztf/archive/sci/2023/1003/507303/ztf_20231003507303_000616_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2466,58,616,26.255800247192383,3.853259840980172e-06,0.025511600077152252,0.10836700350046158,6.418540124286665e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abvgiyf
2460222.9481019,1,2468448105815,19.28019905090332,/ztf/archive/sci/2023/1005/448090/ztf_20231005448090_000616_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2468,58,616,26.292299270629883,1.5393199646496214e-05,0.040554799139499664,-0.02138029970228672,3.559920151019469e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abvgiyf
2460223.0085069,2,2468508505815,19.743099212646484,/ztf/archive/sci/2023/1005/508472/ztf_20231005508472_000616_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2468,58,616,26.286800384521484,4.288850050215842e-06,0.026893099769949913,0.10476300120353699,7.11149004928302e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abvgiyf
2460228.9232986,1,2474423295815,20.301599502563477,/ztf/archive/sci/2023/1011/423287/ztf_20231011423287_000616_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2474,58,616,26.288999557495117,6.20792980043916e-06,0.03211769834160805,-0.05471140146255493,1.0883300092245918e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abvgiyf
2460232.9507523,1,2478450755815,20.569599151611328,/ztf/archive/sci/2023/1015/450752/ztf_20231015450752_000616_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2478,58,616,26.34079933166504,4.54458995591267e-06,0.02773679979145527,-0.05468650162220001,7.685530363232829e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abvgiyf
2460232.9974769,2,2478497475815,20.448400497436523,/ztf/archive/sci/2023/1015/497465/ztf_20231015497465_000616_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2478,58,616,26.29949951171875,2.568199988672859e-06,0.02079479955136776,0.09399349987506866,4.267869826435344e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abvgiyf
2460234.9491319,1,2480449135815,20.54439926147461,/ztf/archive/sci/2023/1017/449109/ztf_20231017449109_000616_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2480,58,616,26.3262996673584,7.505770099669462e-06,0.03548960015177727,-0.0411067008972168,1.277150022360729e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abvgiyf
2460236.9327431,1,2482432745815,20.4158992767334,/ztf/archive/sci/2023/1019/432743/ztf_20231019432743_000616_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2482,58,616,26.338199615478516,4.876009825238725e-06,0.02845820039510727,-0.05809839814901352,8.212399734475184e-06,t17_f5_c3,2.48243274581501e+18,f,1.0,1653.47998046875,400.9440002441406,119.6347874,28.9020866,20.390199661254883,0.2119240015745163,1.0697599649429321,20.491600036621094,0.40299999713897705,0.4356450140476227,18.850000381469727,0.02800000086426735,1.621000051498413,0.11100000143051147,-0.43908700346946716,0.10142099857330322,1.3094600439071655,0.9129999876022339,400.9440002441406,-0.07568900287151337,2.0,0.7519999742507935,0.6869999766349792,0.574284017086029,0.5246449708938599,1.0946099758148193,5.0,0.0,0.9771429896354675,0.9073730111122131,20.387399673461914,0.4683000147342682,119.6348878,28.902172,6.80042,ZTF18abvgiyf
2460237.0014352,2,2482501435815,20.44300079345703,/ztf/archive/sci/2023/1019/501424/ztf_20231019501424_000616_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2482,58,616,26.304000854492188,2.4377500267291907e-06,0.020096100866794586,0.09423939883708954,4.059890216012718e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abvgiyf
