jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459628.669213,1,1874169214815,19.70159912109375,/ztf/archive/sci/2022/0218/169201/ztf_20220218169201_000564_zg_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1874.0,48.0,564.0,26.219100952148438,4.242339855409227e-06,0.03501579910516739,-0.0420898012816906,1.36421003844589e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abxvolr
2459628.8002199,2,1874300214815,19.55590057373047,/ztf/archive/sci/2022/0218/300208/ztf_20220218300208_000564_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1874.0,48.0,564.0,26.1343994140625,2.4231799216067884e-06,0.02622620016336441,0.0678223967552185,7.892170287959743e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abxvolr
2459249.7172685,1,1495217264815,19.065399169921875,/ztf/archive/sci/2021/0204/217257/ztf_20210204217257_000564_zg_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1495.0,48.0,564.0,25.302600860595703,1.2926399904245045e-05,0.04838180169463158,-0.016834400594234467,4.735630136565305e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abxvolr
2459249.8111343,2,1495311134815,19.724899291992188,/ztf/archive/sci/2021/0204/311123/ztf_20210204311123_000564_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1495.0,48.0,564.0,26.034000396728516,2.760659981504432e-06,0.02811169996857643,0.07546990364789963,8.955210432759486e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abxvolr
2459251.7148495,2,1497214844815,20.40060043334961,/ztf/archive/sci/2021/0206/214850/ztf_20210206214850_000564_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1497.0,48.0,564.0,26.099700927734375,1.9264500679128105e-06,0.02338230051100254,0.07980020344257355,6.275849955272861e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abxvolr
2459251.7568287,1,1497256824815,20.621299743652344,/ztf/archive/sci/2021/0206/256829/ztf_20210206256829_000564_zg_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1497.0,48.0,564.0,26.200599670410156,3.45059993378527e-06,0.03171660006046295,-0.05887490138411522,1.1109399565611966e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abxvolr
2459253.7000694,1,1499200064815,20.45599937438965,/ztf/archive/sci/2021/0208/200069/ztf_20210208200069_000564_zg_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1499.0,48.0,564.0,26.116500854492188,3.4997299280803418e-06,0.031927600502967834,-0.06037349998950958,1.1268600246694405e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abxvolr
2459253.7804977,2,1499280494815,20.37809944152832,/ztf/archive/sci/2021/0208/280486/ztf_20210208280486_000564_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1499.0,48.0,564.0,26.091400146484375,1.8465699440639582e-06,0.022899700328707695,0.08031710237264633,6.0217698774067685e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abxvolr
2459255.7117245,1,1501211724815,20.064899444580078,/ztf/archive/sci/2021/0210/211701/ztf_20210210211701_000564_zg_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1501.0,48.0,564.0,25.730199813842773,9.212059921992477e-06,0.051706600934267044,-0.05723189935088158,2.955210038635414e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abxvolr
2459255.7745486,2,1501274544815,20.456899642944336,/ztf/archive/sci/2021/0210/274549/ztf_20210210274549_000564_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1501.0,48.0,564.0,26.090700149536133,2.2184999579621945e-06,0.025018800050020218,0.08096720278263092,7.243289928737795e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18abxvolr
