jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459496.8608681,1,1742360860815,20.29159927368164,/ztf/archive/sci/2021/1009/360856/ztf_20211009360856_000450_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1742.0,8.0,450.0,26.375999450683594,2.1031399228377268e-05,0.031700000166893005,-0.09243050217628479,2.9355300284805708e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459498.8210301,2,1744321030815,20.614900588989258,/ztf/archive/sci/2021/1011/321019/ztf_20211011321019_000450_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1744.0,8.0,450.0,26.26490020751953,1.289610008825548e-05,0.02518329955637455,0.11222100257873535,1.774620068317745e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459502.8726389,2,1748372630815,20.174400329589844,/ztf/archive/sci/2021/1015/372639/ztf_20211015372639_000450_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1748.0,8.0,450.0,26.27079963684082,1.6231499103014357e-05,0.028172599151730537,0.11349999904632568,2.2271100533544086e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459504.8177894,2,1750317780815,19.48270034790039,/ztf/archive/sci/2021/1017/317778/ztf_20211017317778_000450_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1750.0,8.0,450.0,26.218700408935547,1.922430055856239e-05,0.03072029910981655,0.11801700294017792,2.656600008776877e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459504.9041435,1,1750404140815,19.425600051879883,/ztf/archive/sci/2021/1017/404132/ztf_20211017404132_000450_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1750.0,8.0,450.0,26.28730010986328,4.101229933439754e-05,0.042625099420547485,-0.06694810092449188,6.5601896494627e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459517.719919,1,1763219910815,20.75510025024414,/ztf/archive/sci/2021/1030/219907/ztf_20211030219907_000450_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1763.0,8.0,450.0,26.383699417114258,1.4194300092640333e-05,0.026420600712299347,-0.06878200173377991,1.951100057340227e-05,t17_f5_c3,1.76321991081501e+18,f,9.0,378.5379943847656,1285.719970703125,26.1440139,2.1881083,20.691699981689453,0.2512510120868683,2.227109909057617,20.435100555419922,0.31189998984336853,0.1022540032863617,18.402000427246094,0.020999999716877937,0.7450000047683716,0.03799999877810478,-0.17887499928474426,-0.2565869987010956,1.2012900114059448,0.8930000066757202,378.5379943847656,0.32001200318336487,2.0,0.6359999775886536,0.40700000524520874,0.529429018497467,0.33880099654197693,1.5626499652862549,6.0,0.0,0.8157140016555786,0.9096360206604004,20.19879913330078,0.3183000087738037,26.1440423,2.1881037,5.3096,ZTF18acalmpg
2459517.791412,2,1763291410815,20.747299194335938,/ztf/archive/sci/2021/1030/291412/ztf_20211030291412_000450_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1763.0,8.0,450.0,26.347299575805664,1.8113700207322836e-05,0.029846400022506714,0.0992904007434845,2.487259916961193e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459193.7062153,1,1439206210815,20.337900161743164,/ztf/archive/sci/2020/1210/206204/ztf_20201210206204_000450_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1439.0,8.0,450.0,26.242900848388672,2.5877799998852424e-05,0.03596960008144379,-0.09906350076198578,3.575440132408403e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459193.7171875,2,1439217180815,20.011600494384766,/ztf/archive/sci/2020/1210/217188/ztf_20201210217188_000450_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1439.0,8.0,450.0,26.035900115966797,3.637540066847578e-05,0.0420864000916481,0.09737270325422287,4.974920011591166e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459195.6949421,2,1441194940815,20.521299362182617,/ztf/archive/sci/2020/1212/194931/ztf_20201212194931_000450_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1441.0,8.0,450.0,26.31570053100586,1.2008100384264253e-05,0.024490300565958023,0.10075400024652481,1.6553800378460437e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459195.7431944,1,1441243190815,20.39539909362793,/ztf/archive/sci/2020/1212/243194/ztf_20201212243194_000450_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1441.0,8.0,450.0,26.38920021057129,1.9384300685487688e-05,0.03080880083143711,-0.07944080233573914,2.7193000278202817e-05,t17_f5_c3,1.44124319081501e+18,f,12.0,339.35101318359375,1314.9200439453125,26.1437661,2.1879573,20.78019905090332,0.3246830105781555,0.9033740162849426,20.959400177001953,0.5374000072479248,1.1112099885940552,18.402000427246094,0.020999999716877937,0.7450000047683716,0.03799999877810478,0.09502600133419037,0.17916099727153778,1.5603400468826294,0.6740000247955322,339.35101318359375,-0.5639600157737732,2.0,0.6880000233650208,0.5389999747276306,0.44093000888824463,0.34543800354003906,1.2764400243759155,8.0,0.0,0.7799999713897705,0.8279669880867004,20.402000427246094,0.40939998626708984,26.1440423,2.1881037,5.02946,ZTF18acalmpg
2459197.7283449,2,1443228340815,19.03820037841797,/ztf/archive/sci/2020/1214/228345/ztf_20201214228345_000450_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1443.0,8.0,450.0,25.495800018310547,3.958740126108751e-05,0.04375839978456497,0.11714400351047516,5.457660154206678e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459199.6433912,2,1445143390815,19.70050048828125,/ztf/archive/sci/2020/1216/143380/ztf_20201216143380_000450_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1445.0,8.0,450.0,26.282400131225586,2.572250014054589e-05,0.03516450151801109,0.11998099833726883,3.527000080794096e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459199.7072454,1,1445207240815,20.222400665283203,/ztf/archive/sci/2020/1216/207245/ztf_20201216207245_000450_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1445.0,8.0,450.0,26.402700424194336,2.122710066032596e-05,0.031201500445604324,-0.07260970026254654,3.127899981336668e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459202.7132986,1,1448213290815,20.111400604248047,/ztf/archive/sci/2020/1219/213287/ztf_20201219213287_000450_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1448.0,8.0,450.0,26.38640022277832,2.6098799935425632e-05,0.03511210158467293,-0.062224701046943665,3.89654996979516e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459202.7695139,2,1448269510815,19.72330093383789,/ztf/archive/sci/2020/1219/269514/ztf_20201219269514_000450_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1448.0,8.0,450.0,26.261899948120117,2.4650700652273372e-05,0.034846000373363495,0.11058499664068222,3.387789911357686e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459204.7060185,2,1450206010815,19.872900009155273,/ztf/archive/sci/2020/1221/206007/ztf_20201221206007_000450_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1450.0,8.0,450.0,26.28420066833496,2.0077199224033393e-05,0.03143509849905968,0.11488399654626846,2.75981001323089e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459204.7267708,1,1450226770815,20.100099563598633,/ztf/archive/sci/2020/1221/226759/ztf_20201221226759_000450_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1450.0,8.0,450.0,26.355899810791016,2.3193300876300782e-05,0.033585499972105026,-0.06082740053534508,3.339179966133088e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459210.6519676,2,1456151960815,18.467199325561523,/ztf/archive/sci/2020/1227/151968/ztf_20201227151968_000450_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1456.0,8.0,450.0,25.841100692749023,7.190700125647709e-05,0.054331500083208084,0.11916500329971313,0.00010112299787579104,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459210.6922106,1,1456192210815,19.541400909423828,/ztf/archive/sci/2020/1227/192199/ztf_20201227192199_000450_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1456.0,8.0,450.0,26.39389991760254,3.543919956427999e-05,0.03949790075421333,-0.06422489881515503,5.8705598348751664e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
2459216.683287,1,1462183280815,19.413799285888672,/ztf/archive/sci/2021/0102/183264/ztf_20210102183264_000450_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1462.0,8.0,450.0,26.034400939941406,3.723059853655286e-05,0.04017090052366257,-0.07489559799432755,6.239779759198427e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acalmpg
