jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460184.8748611,2,2430374861415,19.75279998779297,/ztf/archive/sci/2023/0828/374850/ztf_20230828374850_001442_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2430.0,14.0,1442.0,26.04759979248047,3.351669874973595e-05,0.03595630079507828,0.1322299987077713,4.6560398914152756e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acejdhr
2460184.8753356,2,2430375331415,19.768999099731445,/ztf/archive/sci/2023/0828/375324/ztf_20230828375324_001442_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,3,2430.0,14.0,1442.0,26.059900283813477,2.8885999199701473e-05,0.03312639892101288,0.12459900230169296,4.010659904452041e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acejdhr
2460184.8912153,2,2430391213815,20.029300689697266,/ztf/archive/sci/2023/0828/391204/ztf_20230828391204_000397_zr_c10_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2430.0,38.0,397.0,26.320999145507812,2.0437699276953936e-05,0.02890009991824627,0.12360899895429611,2.8307900720392354e-05,t17_f5_c3,2.430391213815015e+18,t,10.0,2430.4599609375,1869.5899658203125,9.0251709,-2.2082196,19.347999572753906,0.1465120017528534,2.3143301010131836,19.571699142456055,0.26030001044273376,0.2107190042734146,17.82200050354004,0.028999999165534973,1.6399999856948853,0.11699999868869781,0.07581499963998795,0.2236820012331009,1.2477099895477295,0.9800000190734863,642.0440063476562,0.4576449990272522,2.0,0.621999979019165,0.5789999961853027,0.49851199984550476,0.46404901146888733,1.0742700099945068,4.0,0.0,0.9442859888076782,0.9407879710197449,19.711700439453125,0.3772999942302704,9.0251482,-2.2082743,7.89711,,,,ZTF18acejdhr
2460184.9200463,1,2430420043815,20.191299438476562,/ztf/archive/sci/2023/0828/420046/ztf_20230828420046_000397_zg_c10_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2430.0,38.0,397.0,26.295700073242188,3.3035499654943123e-05,0.036537300795316696,-0.05993559956550598,4.966089909430593e-05,t17_f5_c3,2.430420043815015e+18,t,16.0,2429.830078125,1869.8499755859375,9.0251097,-2.2083164,19.27869987487793,0.14115099608898163,1.46396005153656,19.18239974975586,0.1412999927997589,0.19499899446964264,18.136999130249023,0.019999999552965164,0.7580000162124634,0.05400000140070915,-0.09916900098323822,-0.09630399942398071,2.509999990463257,0.984000027179718,642.6669921875,1.0088800191879272,1.1140199899673462,0.8029999732971191,0.7369999885559082,0.31992000341415405,0.29362499713897705,1.0895500183105469,2.0,0.0,0.9785709977149963,1.0,19.11009979248047,0.1679999977350235,9.0251259,-2.208264,11.2349,,,,ZTF18acejdhr
2460186.8766898,2,2432376683815,19.41309928894043,/ztf/archive/sci/2023/0830/376620/ztf_20230830376620_000397_zr_c10_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2432.0,38.0,397.0,26.29759979248047,2.1508099962375127e-05,0.029756000265479088,0.1320900022983551,2.9703000109293498e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acejdhr
2460186.8797917,2,2432379791415,19.324800491333008,/ztf/archive/sci/2023/0830/379792/ztf_20230830379792_001442_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2432.0,14.0,1442.0,26.05190086364746,3.910650048055686e-05,0.038613900542259216,0.11309300363063812,5.439349843072705e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acejdhr
2460186.8802662,2,2432380261415,19.435199737548828,/ztf/archive/sci/2023/0830/380255/ztf_20230830380255_001442_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,3,2432.0,14.0,1442.0,26.072999954223633,5.3798499720869586e-05,0.04528399929404259,0.12580199539661407,7.401080074487254e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acejdhr
2460186.893044,2,2432393040315,19.30780029296875,/ztf/archive/sci/2023/0830/393044/ztf_20230830393044_001441_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2432.0,3.0,1441.0,26.03700065612793,2.8957099857507274e-05,0.03567260131239891,0.10536699742078781,4.2951600335072726e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acejdhr
2460186.8935185,2,2432393510315,19.340299606323242,/ztf/archive/sci/2023/0830/393507/ztf_20230830393507_001441_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,2432.0,3.0,1441.0,26.047199249267578,3.3733900636434555e-05,0.0378945991396904,0.09837950021028519,4.9406498874304816e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acejdhr
2460186.9614583,1,2432461453815,19.145700454711914,/ztf/archive/sci/2023/0830/461435/ztf_20230830461435_000397_zg_c10_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2432.0,38.0,397.0,26.275100708007812,4.842460111831315e-05,0.0361052006483078,-0.00710362009704113,0.0001059260030160658,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acejdhr
