jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460216.9671065,1,2462467100615,18.966400146484375,/ztf/archive/sci/2023/0929/467095/ztf_20230929467095_000514_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2462.0,6.0,514.0,26.322200775146484,7.2345201260759495e-06,0.03662090003490448,-0.06486529856920242,2.9579399779322557e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acgsdvk
2460217.0037616,2,2462503760615,19.715999603271484,/ztf/archive/sci/2023/0929/503750/ztf_20230929503750_000514_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2462.0,6.0,514.0,26.294200897216797,2.491429995643557e-06,0.021610800176858902,0.06437020003795624,1.0208999810856767e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acgsdvk
2460221.9322917,1,2467432290615,18.937299728393555,/ztf/archive/sci/2023/1004/432280/ztf_20231004432280_000514_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2467.0,6.0,514.0,26.23270034790039,2.467339982104022e-05,0.06232469901442528,-0.045196399092674255,0.00010355900303693488,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acgsdvk
2460221.9748495,3,2467474840615,19.086000442504883,/ztf/archive/sci/2023/1004/474838/ztf_20231004474838_000514_zi_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2467.0,6.0,514.0,25.590299606323242,3.845920218736865e-06,0.031193599104881287,0.19543400406837463,0.000108022999484092,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acgsdvk
2460222.0041782,2,2467504170615,19.490999221801758,/ztf/archive/sci/2023/1004/504155/ztf_20231004504155_000514_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2467.0,6.0,514.0,26.281600952148438,1.152099957835162e-05,0.04633289948105812,0.05739390105009079,4.7182398702716455e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acgsdvk
2460225.9338079,1,2471433800615,20.1289005279541,/ztf/archive/sci/2023/1008/433715/ztf_20231008433715_000514_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2471.0,6.0,514.0,26.23859977722168,2.064220097963698e-06,0.019487300887703896,-0.043299198150634766,8.474479727738071e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acgsdvk
2460226.0361574,2,2471536150615,20.01799964904785,/ztf/archive/sci/2023/1008/535914/ztf_20231008535914_000514_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2471.0,6.0,514.0,26.261899948120117,1.3893100003770087e-06,0.016001300886273384,0.06525839865207672,5.691390015272191e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acgsdvk
2460231.9491898,1,2477449180615,20.34079933166504,/ztf/archive/sci/2023/1014/449167/ztf_20231014449167_000514_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2477.0,6.0,514.0,26.320199966430664,1.935090040205978e-06,0.01893169991672039,-0.07279899716377258,7.950559847813565e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acgsdvk
2460231.9673032,2,2477467300615,20.38909912109375,/ztf/archive/sci/2023/1014/467292/ztf_20231014467292_000514_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2477.0,6.0,514.0,26.273500442504883,1.1836500561912544e-06,0.014842200092971325,0.072018101811409,4.860889930569101e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acgsdvk
2460232.0023727,3,2477502370615,19.552400588989258,/ztf/archive/sci/2023/1014/502188/ztf_20231014502188_000514_zi_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2477.0,6.0,514.0,25.60070037841797,1.4729099575561122e-06,0.019327400252223015,0.17267000675201416,4.143259866395965e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acgsdvk
2460233.987037,2,2479487030615,20.52429962158203,/ztf/archive/sci/2023/1016/487025/ztf_20231016487025_000514_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2479.0,6.0,514.0,26.280399322509766,1.2304000165386242e-06,0.014925999566912651,0.07137250155210495,5.064699962531449e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acgsdvk
2460234.0056829,1,2479505680615,20.417200088500977,/ztf/archive/sci/2023/1016/505683/ztf_20231016505683_000514_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2479.0,6.0,514.0,26.377199172973633,1.9680001059896313e-06,0.01894260011613369,-0.0784756988286972,8.10924029792659e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acgsdvk
