jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,rbversion,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458423.9652083,1,669465204315,19.40760040283203,/ztf/archive/sci/2018/1101/465185/ztf_20181101465185_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458423.9661227,1,669466124315,19.43160057067871,/ztf/archive/sci/2018/1101/466123/ztf_20181101466123_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458424.0339815,2,669533984315,19.95549964904785,/ztf/archive/sci/2018/1101/533970/ztf_20181101533970_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458424.0395718,2,669539574315,19.940399169921875,/ztf/archive/sci/2018/1101/539560/ztf_20181101539560_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458425.9764931,2,671476494315,19.915300369262695,/ztf/archive/sci/2018/1103/476493/ztf_20181103476493_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458426.0275,1,671527494315,20.31170082092285,/ztf/archive/sci/2018/1103/527500/ztf_20181103527500_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458426.9626968,1,672462694315,20.24650001525879,/ztf/archive/sci/2018/1104/462627/ztf_20181104462627_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458426.9692824,1,672469284315,20.40049934387207,/ztf/archive/sci/2018/1104/469282/ztf_20181104469282_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458427.0300116,2,672530014315,20.424299240112305,/ztf/archive/sci/2018/1104/530000/ztf_20181104530000_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458427.0346759,2,672534674315,20.44099998474121,/ztf/archive/sci/2018/1104/534664/ztf_20181104534664_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458427.9759144,2,673475914315,19.80030059814453,/ztf/archive/sci/2018/1105/475903/ztf_20181105475903_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458428.0304282,1,673530424315,20.469999313354492,/ztf/archive/sci/2018/1105/530428/ztf_20181105530428_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458429.9903819,1,675490384315,20.87849998474121,/ztf/archive/sci/2018/1107/490382/ztf_20181107490382_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458429.9936458,1,675493644315,20.885400772094727,/ztf/archive/sci/2018/1107/493634/ztf_20181107493634_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458430.0276852,2,675527684315,20.774599075317383,/ztf/archive/sci/2018/1107/527685/ztf_20181107527685_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458430.0286343,2,675528634315,20.85890007019043,/ztf/archive/sci/2018/1107/528611/ztf_20181107528611_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458430.9853935,2,676485394315,20.42490005493164,/ztf/archive/sci/2018/1108/485394/ztf_20181108485394_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458431.0340394,1,676534034315,20.88610076904297,/ztf/archive/sci/2018/1108/534028/ztf_20181108534028_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458431.9872569,1,677487254315,19.882999420166016,/ztf/archive/sci/2018/1109/487257/ztf_20181109487257_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458432.0376273,2,677537624315,19.881799697875977,/ztf/archive/sci/2018/1109/537616/ztf_20181109537616_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458432.9703009,1,678470304315,20.38330078125,/ztf/archive/sci/2018/1110/470278/ztf_20181110470278_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458432.9712384,1,678471234315,20.36199951171875,/ztf/archive/sci/2018/1110/471227/ztf_20181110471227_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458433.0275579,2,678527554315,20.414100646972656,/ztf/archive/sci/2018/1110/527546/ztf_20181110527546_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458433.0446065,2,678544604315,20.336299896240234,/ztf/archive/sci/2018/1110/544595/ztf_20181110544595_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458833.9478704,2,1079447874315,19.461999893188477,/ztf/archive/sci/2019/1216/447870/ztf_20191216447870_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1079.0,43.0,754.0,26.34670066833496,2.687880078156013e-05,0.03259560093283653,0.12559400498867035,3.7340800190577284e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458834.0593981,1,1079559391015,19.085500717163086,/ztf/archive/sci/2019/1216/559398/ztf_20191216559398_001791_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1079.0,10.0,1791.0,26.314899444580078,0.00013371900422498584,0.0459120012819767,-0.056958600878715515,0.0002700700133573264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458834.0603125,1,1079560314315,19.072399139404297,/ztf/archive/sci/2019/1216/560312/ztf_20191216560312_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1079.0,43.0,754.0,26.382999420166016,0.00012223700468894094,0.041954100131988525,-0.05003029853105545,0.00027925800532102585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458837.0084144,2,1082508414315,20.36079978942871,/ztf/archive/sci/2019/1219/508391/ztf_20191219508391_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1082.0,43.0,754.0,26.367599487304688,1.7831700461101718e-05,0.02655559964478016,0.12041299790143967,2.472300002409611e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458837.0567361,1,1082556734315,20.420799255371094,/ztf/archive/sci/2019/1219/556736/ztf_20191219556736_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1082.0,43.0,754.0,26.375900268554688,2.778690031846054e-05,0.03310089930891991,-0.07223910093307495,3.888490027748048e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458837.0732176,1,1082573211015,19.857099533081055,/ztf/archive/sci/2019/1219/573218/ztf_20191219573218_001791_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1082.0,10.0,1791.0,26.402099609375,4.9390200729249045e-05,0.04216809943318367,-0.12648099660873413,7.28325976524502e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458837.0741204,1,1082574124315,19.892499923706055,/ztf/archive/sci/2019/1219/574120/ztf_20191219574120_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1082.0,43.0,754.0,26.37019920349121,3.365390148246661e-05,0.035050299018621445,-0.07301259785890579,5.3452600695891306e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458838.0086111,1,1083508614315,19.921499252319336,/ztf/archive/sci/2019/1220/508600/ztf_20191220508600_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1083.0,43.0,754.0,26.344900131225586,5.0622300477698445e-05,0.03948500007390976,-0.04063890129327774,9.103259799303487e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458838.0346412,3,1083534644315,20.212299346923828,/ztf/archive/sci/2019/1220/534549/ztf_20191220534549_000754_zi_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1083.0,43.0,754.0,27.040199279785156,3.7272000099619618e-06,0.01841139979660511,0.1879269927740097,1.3372499779507052e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458839.0348843,3,1084534884315,18.602500915527344,/ztf/archive/sci/2019/1221/534792/ztf_20191221534792_000754_zi_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1084.0,43.0,754.0,25.733200073242188,1.0877400200115517e-05,0.029997000470757484,0.1881289929151535,3.714050035341643e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458846.9661574,2,1092466154315,20.76289939880371,/ztf/archive/sci/2019/1229/466157/ztf_20191229466157_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1092.0,43.0,754.0,26.411500930786133,1.6829100786708295e-05,0.025805499404668808,0.11123000085353851,2.3292899641091935e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458847.0312153,3,1092531214315,20.586999893188477,/ztf/archive/sci/2019/1229/531100/ztf_20191229531100_000754_zi_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1092.0,43.0,754.0,27.064199447631836,3.6158799048280343e-06,0.018354199826717377,0.1868710070848465,1.2877500012109522e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458849.9494097,2,1095449404315,20.574399948120117,/ztf/archive/sci/2020/0101/449375/ztf_20200101449375_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1095.0,43.0,754.0,26.406600952148438,1.4992700016591698e-05,0.024086499586701393,0.11417199671268463,2.0685200070147403e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458850.0110648,1,1095511064315,20.90730094909668,/ztf/archive/sci/2020/0101/511030/ztf_20200101511030_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1095.0,43.0,754.0,26.403200149536133,3.4200700611108914e-05,0.03661369904875755,-0.11944399774074554,4.703969898400828e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458852.0382639,1,1097538261015,20.055500030517578,/ztf/archive/sci/2020/0103/538264/ztf_20200103538264_001791_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1097.0,10.0,1791.0,26.055500030517578,4.783249823958613e-05,0.042493101209402084,-0.07499569654464722,6.420240242732689e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458852.0387153,1,1097538714315,20.042699813842773,/ztf/archive/sci/2020/0103/538715/ztf_20200103538715_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1097.0,43.0,754.0,26.054500579833984,4.9808000767370686e-05,0.042098499834537506,-0.07485239952802658,8.022470137802884e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458853.0393403,1,1098539344315,20.94580078125,/ztf/archive/sci/2020/0104/539340/ztf_20200104539340_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1098.0,43.0,754.0,26.40399932861328,4.095939948456362e-05,0.039629001170396805,-0.11265899986028671,5.620389856630936e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458853.0520833,2,1098552084315,20.704700469970703,/ztf/archive/sci/2020/0104/552072/ztf_20200104552072_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1098.0,43.0,754.0,26.39859962463379,1.766360037436243e-05,0.026270799338817596,0.11803100258111954,2.4460399799863808e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458854.9576273,2,1100457624315,19.910200119018555,/ztf/archive/sci/2020/0106/457627/ztf_20200106457627_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1100.0,43.0,754.0,26.37019920349121,3.6635501601267606e-05,0.03773140162229538,0.12245000153779984,5.061690171714872e-05,1.100457624315015e+18,t,7.0,2663.39990234375,1240.4200439453125,174.9112162,48.3458408,19.792200088500977,0.25951600074768066,1.4394999742507935,19.65399932861328,0.21660000085830688,0.4360550045967102,17.107999801635742,0.05900000035762787,5.248000144958496,0.35199999809265137,0.851826012134552,-0.13822099566459656,1.9883500337600708,0.3799999952316284,409.0989990234375,0.25617098808288574,2.0,1.0920000076293945,0.9259999990463257,0.5491979718208313,0.4657120108604431,1.1792700290679932,3.0,0.0,0.7742859721183777,1.0,19.712200164794922,0.28299999237060547,174.9110407,48.3458028,6.28938,ZTF18acibujg
2458855.0275694,1,1100527561015,19.80590057373047,/ztf/archive/sci/2020/0106/527558/ztf_20200106527558_001791_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1100.0,10.0,1791.0,26.346399307250977,5.768270057160407e-05,0.04007460176944733,-0.05918649956583977,0.00011164700117660686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458855.0280093,1,1100528004315,19.713600158691406,/ztf/archive/sci/2020/0106/528009/ztf_20200106528009_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1100.0,43.0,754.0,26.334800720214844,7.773870311211795e-05,0.03961930051445961,-0.04306989908218384,0.00016273600340355188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458855.8723495,2,1101372344315,19.873899459838867,/ztf/archive/sci/2020/0107/372315/ztf_20200107372315_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1101.0,43.0,754.0,26.351699829101562,2.1236599422991276e-05,0.028701400384306908,0.1333409994840622,2.9683100365218706e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458855.8795833,3,1101379584315,19.74530029296875,/ztf/archive/sci/2020/0107/379583/ztf_20200107379583_000754_zi_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1101.0,43.0,754.0,25.82069969177246,4.8950801101455e-06,0.021334299817681313,0.18553799390792847,1.7413800378562883e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
