jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460031.7270023,1,2277227000015,20.255800247192383,/ztf/archive/sci/2023/0328/227002/ztf_20230328227002_000519_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2277.0,0.0,519.0,26.20800018310547,1.506910030002473e-05,0.03341300040483475,-0.06716900318861008,2.3964399588294327e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acicwxr
2460031.7621065,2,2277262100015,20.0674991607666,/ztf/archive/sci/2023/0328/262106/ztf_20230328262106_000519_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2277.0,0.0,519.0,26.15019989013672,8.149570021487307e-06,0.02487199939787388,0.08705080300569534,1.2148099813202862e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acicwxr
2460042.6682176,2,2288168210015,20.34830093383789,/ztf/archive/sci/2023/0408/168218/ztf_20230408168218_000519_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2288.0,0.0,519.0,26.138900756835938,1.0186099643760826e-05,0.027916399762034416,0.09941919893026352,1.5202599570329767e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acicwxr
2460042.7703009,1,2288270300015,17.72450065612793,/ztf/archive/sci/2023/0408/270289/ztf_20230408270289_000519_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2288.0,0.0,519.0,24.914899826049805,0.0002271959965582937,0.05700499936938286,-0.06908170133829117,0.0006121490150690079,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acicwxr
2460044.6734491,2,2290173440015,20.34320068359375,/ztf/archive/sci/2023/0410/173449/ztf_20230410173449_000519_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2290.0,0.0,519.0,26.180500030517578,6.845270036137663e-06,0.022775499150156975,0.09808990359306335,1.0153199582418893e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acicwxr
2460046.6573727,2,2292157370015,20.398300170898438,/ztf/archive/sci/2023/0412/157361/ztf_20230412157361_000519_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2292.0,0.0,519.0,26.078699111938477,8.329529919137713e-06,0.024796299636363983,0.0989753007888794,1.2311300451983698e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acicwxr
2460046.6936574,1,2292193650015,20.665000915527344,/ztf/archive/sci/2023/0412/193657/ztf_20230412193657_000519_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2292.0,0.0,519.0,26.224700927734375,1.1201400411664508e-05,0.0290009006857872,-0.08120489865541458,1.6759899153839797e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acicwxr
2460050.7076273,2,2296207620015,20.577499389648438,/ztf/archive/sci/2023/0416/207616/ztf_20230416207616_000519_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2296.0,0.0,519.0,26.132600784301758,1.1581700164242648e-05,0.029731500893831253,0.09628909826278687,1.723400055197999e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acicwxr
2460052.725162,1,2298225160015,20.67300033569336,/ztf/archive/sci/2023/0418/225162/ztf_20230418225162_000519_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2298.0,0.0,519.0,26.243900299072266,1.1281599654466845e-05,0.029030000790953636,-0.09108229726552963,1.6744899767218158e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acicwxr
2460052.7918056,2,2298291800015,20.003999710083008,/ztf/archive/sci/2023/0418/291806/ztf_20230418291806_000519_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2298.0,0.0,519.0,26.052000045776367,7.656610250705853e-06,0.024084100499749184,0.10197500139474869,1.1372600056347437e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acicwxr
