jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460031.7260648,1,2277226064115,20.20240020751953,/ztf/archive/sci/2023/0328/226053/ztf_20230328226053_000417_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2277,41,417,26.32740020751953,1.2201599929539952e-05,0.030816100537776947,-0.026060599833726883,2.0449899238883518e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460031.7559722,2,2277255974115,20.18630027770996,/ztf/archive/sci/2023/0328/255972/ztf_20230328255972_000417_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2277,41,417,26.34709930419922,6.671929895674111e-06,0.023342899978160858,0.10667599737644196,1.0427999768580776e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460042.7989699,2,2288298964115,18.979299545288086,/ztf/archive/sci/2023/0408/298958/ztf_20230408298958_000417_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2288,41,417,25.98080062866211,2.4599199605290778e-05,0.042364899069070816,0.12777699530124664,3.8073001633165404e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460044.7066319,2,2290206634115,20.16189956665039,/ztf/archive/sci/2023/0410/206620/ztf_20230410206620_000417_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2290,41,417,26.3789005279541,7.568689852632815e-06,0.024323999881744385,0.10939600318670273,1.1732599887182005e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460046.6583102,2,2292158314115,20.476900100708008,/ztf/archive/sci/2023/0412/158310/ztf_20230412158310_000417_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2292,41,417,26.35140037536621,9.865520041785203e-06,0.028009800240397453,0.10403099656105042,1.5485400581383146e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460046.6898958,1,2292189894115,20.61240005493164,/ztf/archive/sci/2023/0412/189815/ztf_20230412189815_000417_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2292,41,417,26.3169002532959,1.0411000403109938e-05,0.028649700805544853,-0.047539401799440384,1.6322199371643364e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460051.6906597,1,2297190654115,20.7322998046875,/ztf/archive/sci/2023/0417/190637/ztf_20230417190637_000417_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2297,41,417,26.349899291992188,1.0434700016048737e-05,0.02875009924173355,-0.06960079818964005,1.6241299817920662e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460051.7348727,2,2297234874115,20.502700805664062,/ztf/archive/sci/2023/0417/234861/ztf_20230417234861_000417_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2297,41,417,26.36709976196289,7.771979653625749e-06,0.025063300505280495,0.11069200187921524,1.2168499779363628e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460053.6871528,1,2299187154115,20.01219940185547,/ztf/archive/sci/2023/0419/187141/ztf_20230419187141_000417_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2299,41,417,26.16860008239746,1.857819916040171e-05,0.03705869987607002,-0.035864099860191345,3.230070069548674e-05,t17_f5_c3,2.29918715411501e+18,f,4.0,2643.5,2897.179931640625,148.0793592,-1.6122346,17.906600952148438,0.1437159925699234,4.680679798126221,17.555500030517578,0.04749999940395355,0.9554489850997925,14.831000328063965,0.017000000923871994,1.0850000381469727,0.05700000002980232,-0.3008899986743927,-0.3511140048503876,1.5141199827194214,0.9789999723434448,183.32000732421875,2.4567201137542725,2.0,0.9760000109672546,0.7829999923706055,0.644599974155426,0.5171329975128174,1.2464900016784668,0.0,0.0,0.5814290046691895,1.0,17.48979949951172,0.05180000141263008,148.0795787,-1.6120795,5.19426,ZTF18acpdwoa
2460053.7351042,2,2299235104115,19.639400482177734,/ztf/archive/sci/2023/0419/235093/ztf_20230419235093_000417_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2299,41,417,26.235599517822266,1.4076399565965403e-05,0.03376640006899834,0.11308000236749649,2.205929922638461e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460055.7107523,2,2301210754115,20.151199340820312,/ztf/archive/sci/2023/0421/210752/ztf_20230421210752_000417_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2301,41,417,26.364700317382812,7.995789928827435e-06,0.025452300906181335,0.11567000299692154,1.2559000424516853e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460055.7746875,1,2301274684115,19.820600509643555,/ztf/archive/sci/2023/0421/274676/ztf_20230421274676_000417_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2301,41,417,26.258499145507812,2.282599962200038e-05,0.039890699088573456,-0.018284199759364128,4.22135999542661e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460057.6709722,2,2303170974115,20.275699615478516,/ztf/archive/sci/2023/0423/170961/ztf_20230423170961_000417_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2303,41,417,26.360000610351562,7.6046599133405834e-06,0.024594899266958237,0.11309099942445755,1.188769965665415e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460057.6921181,1,2303192114115,20.30579948425293,/ztf/archive/sci/2023/0423/192118/ztf_20230423192118_000417_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2303,41,417,26.32200050354004,1.3730599675909616e-05,0.03270290046930313,-0.03848699852824211,2.2149999495013617e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acpdwoa
2460059.6711111,1,2305171114115,19.89739990234375,/ztf/archive/sci/2023/0425/171100/ztf_20230425171100_000417_zg_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2305,41,417,26.250499725341797,1.883930053736549e-05,0.036260999739170074,-0.017335200682282448,3.38967984134797e-05,t17_f5_c3,2.30517111411501e+18,f,5.0,2646.949951171875,2874.68994140625,148.0794083,-1.6121064,17.710500717163086,0.13199299573898315,4.352139949798584,17.38360023498535,0.04039999842643738,0.6131100058555603,14.831000328063965,0.017000000923871994,1.0850000381469727,0.05700000002980232,0.26415500044822693,-0.3269360065460205,1.6373599767684937,0.9800000190734863,205.8070068359375,2.5138099193573,2.0,0.9350000023841858,0.8270000219345093,0.5710399746894836,0.505079984664917,1.1305899620056152,0.0,0.0,0.7685710191726685,1.0,17.358999252319336,0.04610000178217888,148.0795787,-1.6120795,9.17504,ZTF18acpdwoa
