jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458423.0279167,2,668527911615,19.943599700927734,/ztf/archive/sci/2018/1031/527905/ztf_20181031527905_000785_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,668,16,785,26.201400756835938,1.985830022022128e-05,0.027639999985694885,0.09541159868240356,2.697489981073886e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acqsfxh
2458423.0303356,2,668530331615,20.175600051879883,/ztf/archive/sci/2018/1031/530324/ztf_20181031530324_000785_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,668,16,785,26.18709945678711,1.897629954328295e-05,0.02667419984936714,0.11016800254583359,2.5603900212445296e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acqsfxh
2458423.0451968,2,668545191615,19.974300384521484,/ztf/archive/sci/2018/1031/544930/ztf_20181031544930_000785_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,668,16,785,26.18829917907715,2.0528799723251723e-05,0.027998199686408043,0.11511699855327606,2.7777699870057404e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acqsfxh
2458424.0256713,2,669525671615,20.069000244140625,/ztf/archive/sci/2018/1101/525613/ztf_20181101525613_000785_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,669,16,785,26.142099380493164,2.2047799575375393e-05,0.02895219996571541,0.11692599952220917,2.9267899662954733e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acqsfxh
2458425.0341319,2,670534131615,20.0851993560791,/ztf/archive/sci/2018/1102/534132/ztf_20181102534132_000785_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,670,16,785,26.18899917602539,2.546860014263075e-05,0.031182700768113136,0.1324079930782318,3.372459832462482e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acqsfxh
2458425.9703588,2,671470351615,20.04680061340332,/ztf/archive/sci/2018/1103/470336/ztf_20181103470336_000785_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,671,16,785,26.175399780273438,3.195940007572062e-05,0.03460169956088066,0.12540000677108765,4.1980201785918325e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acqsfxh
2458425.9713194,2,671471311615,20.097299575805664,/ztf/archive/sci/2018/1103/471285/ztf_20181103471285_000785_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,671,16,785,26.19300079345703,3.067460056627169e-05,0.03419879823923111,0.12616999447345734,4.038880069856532e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acqsfxh
2458426.0346181,1,671534611615,20.362499237060547,/ztf/archive/sci/2018/1103/534560/ztf_20181103534560_000785_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,671,16,785,26.21769905090332,3.957530134357512e-05,0.038628000766038895,-0.025508299469947815,5.493039861903526e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acqsfxh
2458426.0355208,1,671535521615,20.37579917907715,/ztf/archive/sci/2018/1103/535521/ztf_20181103535521_000785_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,671,16,785,26.217500686645508,2.8034899514750578e-05,0.03267280012369156,-0.02567869983613491,3.8697198760928586e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acqsfxh
2458426.9284606,2,672428461615,20.121400833129883,/ztf/archive/sci/2018/1104/428356/ztf_20181104428356_000785_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,672,16,785,26.132099151611328,3.383110015420243e-05,0.035622600466012955,0.1394679993391037,4.4440999772632495e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acqsfxh
