jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458427.8352894,1,673335280315,20.125,/ztf/archive/sci/2018/1105/335278/ztf_20181105335278_000559_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,673,3,559,26.006500244140625,4.633910066331737e-05,0.04254379868507385,-0.041126299649477005,5.31840996700339e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458428.8165046,1,674316500315,20.366100311279297,/ztf/archive/sci/2018/1106/316470/ztf_20181106316470_000559_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,674,3,559,26.0802001953125,6.073609984014183e-05,0.04936559870839119,-0.03201749920845032,6.87337014824152e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458430.8059606,1,676305960315,20.787599563598633,/ztf/archive/sci/2018/1108/305949/ztf_20181108305949_000559_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,676,3,559,26.08930015563965,1.9459399482002482e-05,0.03139660134911537,-0.06549400091171265,2.0823199520236813e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458431.919919,1,677419910315,20.202299118041992,/ztf/archive/sci/2018/1109/419919/ztf_20181109419919_000559_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,677,3,559,26.057899475097656,4.494980021263473e-05,0.04234850034117699,-0.07110939919948578,5.109600169816986e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458434.9126505,1,680412650315,20.160499572753906,/ztf/archive/sci/2018/1112/412639/ztf_20181112412639_000559_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,680,3,559,26.10919952392578,5.683150084223598e-05,0.04623590037226677,-0.06592109799385071,6.559710163855925e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458435.8147801,2,681314780315,19.565799713134766,/ztf/archive/sci/2018/1113/314769/ztf_20181113314769_000559_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,681,3,559,26.021900177001953,2.9458000426529907e-05,0.03859949856996536,0.0782167986035347,3.117669984931126e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458435.8301273,2,681330125715,19.265100479125977,/ztf/archive/sci/2018/1113/330127/ztf_20181113330127_000509_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,681,57,509,26.175899505615234,6.399540143320337e-05,0.045826900750398636,0.07882419973611832,6.410229980247095e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458436.7441898,1,682244180315,19.70680046081543,/ztf/archive/sci/2018/1114/244190/ztf_20181114244190_000559_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,682,3,559,26.02389907836914,0.00010861599730560556,0.05069649964570999,-0.03382990136742592,0.00012983899796381593,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458436.8071875,2,682307185715,19.600299835205078,/ztf/archive/sci/2018/1114/307188/ztf_20181114307188_000509_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,682,57,509,26.05109977722168,2.248619966849219e-05,0.03351049870252609,0.07235930114984512,2.1993300833855756e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458437.8249537,2,683324955715,20.155399322509766,/ztf/archive/sci/2018/1115/324942/ztf_20181115324942_000509_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,683,57,509,26.19099998474121,8.247059668065049e-06,0.020205799490213394,0.07643000036478043,8.07210017228499e-06,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458437.8495139,2,683349510315,20.177900314331055,/ztf/archive/sci/2018/1115/349502/ztf_20181115349502_000559_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,683,3,559,26.035999298095703,9.59328008320881e-06,0.022213900461792946,0.07681819796562195,1.0194099559157621e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458437.8570486,2,683357045715,20.254199981689453,/ztf/archive/sci/2018/1115/357037/ztf_20181115357037_000509_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,683,57,509,26.187299728393555,7.320919849007623e-06,0.019002899527549744,0.07964179664850235,7.133539838832803e-06,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458437.9139815,1,683413980315,20.256099700927734,/ztf/archive/sci/2018/1115/413970/ztf_20181115413970_000559_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,683,3,559,26.095800399780273,3.8104299164842814e-05,0.039949700236320496,-0.032099299132823944,4.27308987127617e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458438.8900579,1,684390050315,19.713499069213867,/ztf/archive/sci/2018/1116/390058/ztf_20181116390058_000559_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,684,3,559,25.27519989013672,6.501399911940098e-05,0.04666399955749512,-0.0494036003947258,7.629240280948579e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458439.7867477,2,685286745715,19.9685001373291,/ztf/archive/sci/2018/1117/286748/ztf_20181117286748_000509_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,685,57,509,26.010400772094727,3.681410089484416e-05,0.04274019971489906,0.07594099640846252,3.603820005082525e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458440.9021991,1,686402190315,18.565500259399414,/ztf/archive/sci/2018/1118/402188/ztf_20181118402188_000559_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,686,3,559,24.087499618530273,0.00019181300012860447,0.05031080171465874,-0.04355420172214508,0.00023167900508269668,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458441.8114352,2,687311435715,19.493600845336914,/ztf/archive/sci/2018/1119/311435/ztf_20181119311435_000509_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,687,57,509,25.96430015563965,1.5313700714614242e-05,0.027493499219417572,0.0730907991528511,1.4951499906601384e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
2458443.8147106,1,689314710315,19.61210060119629,/ztf/archive/sci/2018/1121/314699/ztf_20181121314699_000559_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,689,3,559,26.08049964904785,6.481759919552132e-05,0.04398680105805397,-0.03242950141429901,7.696000102441758e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acsjdxo
