jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460182.9181829,1,2428418185315,19.992599487304688,/ztf/archive/sci/2023/0826/418056/ztf_20230826418056_000300_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.42841818531501e+18,f,1.0,2428,53,300,2243.75,1136.0899658203125,44.4594386,-13.6221097,18.0802001953125,0.09031900018453598,2.2106199264526367,18.04199981689453,0.05559999868273735,0.12426599860191345,16.746000289916992,0.020999999716877937,1.0520000457763672,0.07400000095367432,-0.7429630160331726,-0.03815000131726265,3.990000009536743,0.9649999737739563,828.7509765625,1.9505499601364136,0.790198028087616,1.0440000295639038,0.9589999914169312,0.26165398955345154,0.24035100638866425,1.088629961013794,0.0,0.0,0.9342859983444214,1.0,17.982799530029297,0.065700002014637,44.4594263,-13.6220768,12.3356,26.208099365234375,3.052609827136621e-05,0.038376398384571075,-0.05781979858875275,4.780309973284602e-05,t17_f5_c3,ZTF18acvbigh
2460182.9588889,2,2428458885315,20.107099533081055,/ztf/archive/sci/2023/0826/458796/ztf_20230826458796_000300_zr_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.42845888531501e+18,f,4.0,2428,53,300,2251.5,1142.510009765625,44.4594917,-13.6220997,17.936199188232422,0.07283200323581696,9.98488998413086,17.953800201416016,0.05700000002980232,0.18244600296020508,16.288999557495117,0.023000000044703484,1.906999945640564,0.0820000022649765,0.327580988407135,0.017607999965548515,1.3202600479125977,0.9940000176429749,821.0020141601562,2.153280019760132,2.0,0.675000011920929,0.6620000004768372,0.511260986328125,0.5014150142669678,1.0196399688720703,0.0,0.0,0.9128569960594177,1.0,17.96780014038086,0.07119999825954437,44.4594398,-13.6220966,18.3796,26.212200164794922,1.1573099982342683e-05,0.0242794007062912,0.09227339923381805,1.6832700566737913e-05,t17_f5_c3,ZTF18acvbigh
2460184.9030093,1,2430403005315,19.57859992980957,/ztf/archive/sci/2023/0828/402998/ztf_20230828402998_000300_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.43040300531501e+18,f,3.0,2430,53,300,2257.110107421875,1151.31005859375,44.459386,-13.6220889,18.124000549316406,0.0997529998421669,1.9608299732208252,18.122900009155273,0.09300000220537186,0.13662800192832947,16.746000289916992,0.020999999716877937,1.0520000457763672,0.07400000095367432,0.5181419849395752,-0.0010659999679774046,1.8799999952316284,0.9330000281333923,815.3880004882812,1.4556599855422974,1.5016800165176392,0.9129999876022339,0.765999972820282,0.48563799262046814,0.4074470102787018,1.1919100284576416,2.0,0.0,0.942857027053833,1.0,18.11370086669922,0.11699999868869781,44.4594263,-13.6220768,10.4241,26.13800048828125,3.7203401006991044e-05,0.04126790165901184,-0.017005600035190582,6.627960101468489e-05,t17_f5_c3,ZTF18acvbigh
2460186.9181481,2,2432418145315,19.223100662231445,/ztf/archive/sci/2023/0830/418090/ztf_20230830418090_000300_zr_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.43241814531501e+18,f,2.0,2432,53,300,2254.449951171875,1136.5400390625,44.4594904,-13.6220923,17.918100357055664,0.08790700137615204,3.8789899349212646,17.890600204467773,0.1071000024676323,0.17536799609661102,16.288999557495117,0.023000000044703484,1.906999945640564,0.0820000022649765,1.1358599662780762,-0.027463000267744064,1.360319972038269,0.9919999837875366,818.052978515625,1.3324999809265137,2.0,0.7649999856948853,0.7279999852180481,0.5623689889907837,0.5351690053939819,1.050819993019104,0.0,0.0,0.9314290285110474,1.0,17.831199645996094,0.1290999948978424,44.4594398,-13.6220966,16.2351,26.16010093688965,2.3047499780659564e-05,0.03406849876046181,0.0884300023317337,3.3473599614808336e-05,t17_f5_c3,ZTF18acvbigh
2460186.9800231,1,2432480025315,19.388099670410156,/ztf/archive/sci/2023/0830/479780/ztf_20230830479780_000300_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.43248002531501e+18,f,1.0,2432,53,300,2255.929931640625,1149.52001953125,44.4594537,-13.6220872,18.067800521850586,0.06970799714326859,3.1597299575805664,18.0762996673584,0.12039999663829803,0.10176199674606323,16.746000289916992,0.020999999716877937,1.0520000457763672,0.07400000095367432,0.5272639989852905,0.00848000030964613,1.2221399545669556,0.7229999899864197,816.5670166015625,1.3117799758911133,2.0,0.7200000286102295,0.671999990940094,0.5891289710998535,0.5498539805412292,1.071429967880249,4.0,0.0,0.8957139849662781,1.0,18.124099731445312,0.16060000658035278,44.4594263,-13.6220768,8.95439,26.208799362182617,3.1319799745688215e-05,0.03727709874510765,-0.014946299605071545,5.5293101468123496e-05,t17_f5_c3,ZTF18acvbigh
2460191.9210185,1,2437421015315,19.365999221801758,/ztf/archive/sci/2023/0904/421018/ztf_20230904421018_000300_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.43742101531501e+18,f,3.0,2437,53,300,2236.409912109375,1188.8199462890625,44.4594588,-13.6221124,18.006200790405273,0.07830899953842163,2.7040998935699463,18.08169937133789,0.10840000212192535,0.16919299960136414,16.746000289916992,0.020999999716877937,1.0520000457763672,0.07400000095367432,0.7898650169372559,0.075484998524189,3.380000114440918,0.9779999852180481,836.0889892578125,1.284250020980835,0.8266069889068604,0.8569999933242798,0.8040000200271606,0.2535499930381775,0.237869992852211,1.0659199953079224,4.0,0.0,0.9371430277824402,0.9838269948959351,18.12299919128418,0.1437000036239624,44.4594263,-13.6220768,18.0508,26.219200134277344,3.3161999454023317e-05,0.03732139989733696,-0.021796900779008865,5.921499905525707e-05,t17_f5_c3,ZTF18acvbigh
2460194.9315046,1,2440431505315,20.14150047302246,/ztf/archive/sci/2023/0907/431447/ztf_20230907431447_000300_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.44043150531501e+18,f,2.0,2440,53,300,2256.949951171875,1181.0,44.4594421,-13.6221108,17.936399459838867,0.05930899828672409,2.510430097579956,17.92490005493164,0.05350000038743019,0.13249200582504272,16.746000289916992,0.020999999716877937,1.0520000457763672,0.07400000095367432,0.4803909957408905,-0.011502999812364578,2.7300000190734863,0.9800000190734863,815.552001953125,2.216629981994629,0.92330002784729,0.7950000166893005,0.7590000033378601,0.29120901226997375,0.27802199125289917,1.0474300384521484,0.0,0.0,0.9300000071525574,1.0,17.925800323486328,0.06719999760389328,44.4594263,-13.6220768,9.2686,26.26740074157715,1.8929200450656936e-05,0.030866900458931923,-0.05313130095601082,2.8331500288913958e-05,t17_f5_c3,ZTF18acvbigh
2460194.9740972,2,2440474095315,20.16710090637207,/ztf/archive/sci/2023/0907/474086/ztf_20230907474086_000300_zr_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.44047409531501e+18,f,6.0,2440,53,300,2262.2099609375,1190.0899658203125,44.4594849,-13.6221419,17.909400939941406,0.0927089974284172,5.518179893493652,17.808900833129883,0.04969999939203262,0.22394199669361115,16.288999557495117,0.023000000044703484,1.906999945640564,0.0820000022649765,0.10986600071191788,-0.10046699643135071,1.2540199756622314,0.996999979019165,810.2899780273438,2.3582499027252197,2.0,0.8830000162124634,0.8050000071525574,0.7041329741477966,0.641933023929596,1.0968899726867676,2.0,0.0,0.86142897605896,1.0,17.80739974975586,0.06120000034570694,44.4594398,-13.6220966,8.50579,26.216400146484375,1.1311500202282332e-05,0.023791499435901642,0.10448800027370453,1.610899926163256e-05,t17_f5_c3,ZTF18acvbigh
2460196.9575926,2,2442457595315,20.17840003967285,/ztf/archive/sci/2023/0909/457546/ztf_20230909457546_000300_zr_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.44245759531501e+18,f,3.0,2442,53,300,2261.64990234375,1174.969970703125,44.4594647,-13.6221285,17.8075008392334,0.08243200182914734,11.70680046081543,17.66629981994629,0.04439999908208847,0.1422799974679947,16.288999557495117,0.023000000044703484,1.906999945640564,0.0820000022649765,-0.23406699299812317,-0.14121200144290924,1.2260099649429321,0.7710000276565552,810.8519897460938,2.51213002204895,2.0,0.7689999938011169,0.6930000185966492,0.6272370219230652,0.5652469992637634,1.1096700429916382,3.0,0.0,0.8785709738731384,1.0,17.664400100708008,0.05460000038146973,44.4594398,-13.6220966,9.31854,26.14550018310547,1.4954300240788143e-05,0.02737320028245449,0.09916049987077713,2.1520600057556294e-05,t17_f5_c3,ZTF18acvbigh
2460196.9735764,1,2442473575315,20.23240089416504,/ztf/archive/sci/2023/0909/473576/ztf_20230909473576_000300_zg_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.44247357531501e+18,f,1.0,2442,53,300,2256.610107421875,1177.8599853515625,44.4594354,-13.6221309,17.845300674438477,0.05965099856257439,9.614819526672363,17.83169937133789,0.045499999076128006,0.19496400654315948,16.746000289916992,0.020999999716877937,1.0520000457763672,0.07400000095367432,-0.09960000216960907,-0.013550999574363232,2.450000047683716,0.9919999837875366,815.8870239257812,2.4007298946380615,1.0430400371551514,0.7879999876022339,0.734000027179718,0.3216330111026764,0.299591988325119,1.0735700130462646,1.0,0.0,0.947143018245697,1.0,17.790000915527344,0.05460000038146973,44.4594263,-13.6220768,24.9576,26.183300018310547,2.6438099666847847e-05,0.03669470176100731,-0.06230989843606949,3.9583799662068486e-05,t17_f5_c3,ZTF18acvbigh
