jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460092.7478704,1,2338247872315,19.888900756835938,/ztf/archive/sci/2023/0528/247870/ztf_20230528247870_000712_zg_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2338,23,712,26.285499572753906,3.554049908416346e-05,0.04036809876561165,-0.06041340157389641,5.1454098866088316e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460092.7696644,2,2338269662315,19.925199508666992,/ztf/archive/sci/2023/0528/269653/ztf_20230528269653_000712_zr_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2338,23,712,26.280899047851562,2.2242700651986524e-05,0.03243660181760788,0.11253900080919266,2.9779699616483413e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460092.7937963,1,2338293796215,19.39349937438965,/ztf/archive/sci/2023/0528/293715/ztf_20230528293715_001711_zg_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2338,62,1711,25.999300003051758,4.704100138042122e-05,0.03539400175213814,-0.004909549839794636,7.684659794904292e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460092.7960995,2,2338296096215,19.54990005493164,/ztf/archive/sci/2023/0528/295532/ztf_20230528295532_001711_zr_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2338,62,1711,25.99570083618164,5.047280137659982e-05,0.042027998715639114,0.12637700140476227,6.324100104393438e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460097.696331,2,2343196332315,19.773799896240234,/ztf/archive/sci/2023/0602/196331/ztf_20230602196331_000712_zr_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2343,23,712,26.31839942932129,1.5460800568689592e-05,0.027149900794029236,0.11515499651432037,2.0330600818851963e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460099.7225347,1,2345222532315,19.086700439453125,/ztf/archive/sci/2023/0604/222535/ztf_20230604222535_000712_zg_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2345,23,712,26.26420021057129,5.229769885772839e-05,0.041167598217725754,-0.05465399846434593,0.00010079299681819975,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460099.7431019,2,2345243102315,19.44029998779297,/ztf/archive/sci/2023/0604/243102/ztf_20230604243102_000712_zr_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2345,23,712,26.254600524902344,1.9297700418974273e-05,0.03016429953277111,0.10538700222969055,2.5648900191299617e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460101.7008681,1,2347200862315,20.220300674438477,/ztf/archive/sci/2023/0606/200856/ztf_20230606200856_000712_zg_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2347,23,712,26.247699737548828,6.536649743793532e-05,0.05500229820609093,-0.10481800138950348,9.724700066726655e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460105.6874769,3,2351187472315,19.96489906311035,/ztf/archive/sci/2023/0610/187465/ztf_20230610187465_000712_zi_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2351,23,712,25.80620002746582,5.937360128882574e-06,0.02555450052022934,0.18443499505519867,2.030709947575815e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460111.7423032,1,2357242302315,20.078399658203125,/ztf/archive/sci/2023/0616/242303/ztf_20230616242303_000712_zg_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2357,23,712,26.156700134277344,4.516139961197041e-05,0.04533400014042854,-0.0972938984632492,6.475680129369721e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460113.7427083,2,2359242702315,20.068899154663086,/ztf/archive/sci/2023/0618/242697/ztf_20230618242697_000712_zr_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2359,23,712,26.256799697875977,1.3638100426760502e-05,0.025427399203181267,0.11734999716281891,1.816139956645202e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460113.7642477,1,2359264242315,19.756399154663086,/ztf/archive/sci/2023/0618/264236/ztf_20230618264236_000712_zg_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2359,23,712,26.0664005279541,4.8676200094632804e-05,0.04734380170702934,-0.04862400144338608,7.568689761683345e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460114.6977662,3,2360197762315,19.99519920349121,/ztf/archive/sci/2023/0619/197766/ztf_20230619197766_000712_zi_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2360,23,712,25.808700561523438,4.993230049876729e-06,0.02381419949233532,0.19388900697231293,1.7037600628100336e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460115.7261227,2,2361226122315,19.96179962158203,/ztf/archive/sci/2023/0620/226111/ztf_20230620226111_000712_zr_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2361,23,712,26.264400482177734,1.5683999663451687e-05,0.02727399952709675,0.11851900070905685,2.0797799152205698e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2460115.7370486,1,2361237042315,19.795299530029297,/ztf/archive/sci/2023/0620/237049/ztf_20230620237049_000712_zg_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2361,23,712,26.205400466918945,3.7760499253636226e-05,0.04065069928765297,-0.050349701195955276,5.9559599321801215e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
2458434.993044,2,680493042315,19.576200485229492,/ztf/archive/sci/2018/1112/492975/ztf_20181112492975_000712_zr_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,680,23,712,26.25429916381836,3.291430039098486e-05,0.039376698434352875,0.11714400351047516,4.3853800889337435e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acvgoej
