jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460031.6555093,2,2277155502415,20.343900680541992,/ztf/archive/sci/2023/0328/155509/ztf_20230328155509_000463_zr_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.27715550241501e+18,f,34.0,2277,24,463,205.0780029296875,2572.330078125,116.9070242,3.7656895,19.64889907836914,0.14578600227832794,1.8063600063323975,19.614200592041016,0.210099995136261,0.5172550082206726,18.562999725341797,0.054999999701976776,4.228000164031982,0.10499999672174454,-0.03223799914121628,-0.034706000238657,2.0999999046325684,0.9769999980926514,205.0780029296875,0.7297279834747314,1.1478400230407715,0.5910000205039978,0.5559999942779541,0.2814289927482605,0.2647620141506195,1.0629500150680542,9.0,0.0,0.8828570246696472,0.8640900254249573,19.49679946899414,0.24410000443458557,116.9071566,3.7656281,11.9574,26.346900939941406,1.019030037241464e-06,0.01754239946603775,0.09022430330514908,2.9120899398549227e-06,t17_f5_c3,ZTF18acwvude
2460031.6935995,1,2277193592415,20.12849998474121,/ztf/archive/sci/2023/0328/193588/ztf_20230328193588_000463_zg_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.27719359241501e+18,f,45.0,2277,24,463,211.7779998779297,2567.969970703125,116.9070294,3.7656959,19.306800842285156,0.11791999638080597,1.2621899843215942,19.656099319458008,0.2370000034570694,0.22371900081634521,18.73900032043457,0.026000000536441803,1.5729999542236328,0.03400000184774399,0.3439190089702606,0.34928300976753235,2.809999942779541,0.9829999804496765,211.7779998779297,0.47235000133514404,0.957397997379303,0.7900000214576721,0.7310000061988831,0.28113898634910583,0.2601419985294342,1.0807100534439087,1.0,0.0,0.9142860174179077,1.0,19.479799270629883,0.2596000134944916,116.907092,3.7656886,16.1112,26.313800811767578,2.0218899408064317e-06,0.024910099804401398,-0.06389670073986053,5.726320068788482e-06,t17_f5_c3,ZTF18acwvude
2460036.7895602,1,2282289562415,18.803499221801758,/ztf/archive/sci/2023/0402/289560/ztf_20230402289560_000463_zg_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2282,24,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.083200454711914,1.06841998785967e-05,0.04171939939260483,-0.04375619813799858,3.720110180438496e-05,t17_f5_c3,ZTF18acwvude
2460043.7907755,1,2289290772415,18.34119987487793,/ztf/archive/sci/2023/0409/290775/ztf_20230409290775_000463_zg_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2289,24,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.483200073242188,2.1100000594742596e-05,0.04913900047540665,-0.026953300461173058,7.70049009588547e-05,t17_f5_c3,ZTF18acwvude
2460045.6570602,1,2291157062415,20.563899993896484,/ztf/archive/sci/2023/0411/157049/ztf_20230411157049_000463_zg_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.29115706241501e+18,f,64.0,2291,24,463,223.0659942626953,2548.969970703125,116.9070421,3.7656952,19.35610008239746,0.08166299760341644,1.1557600498199463,19.354799270629883,0.12919999659061432,0.17503699660301208,18.73900032043457,0.026000000536441803,1.5729999542236328,0.03400000184774399,0.08918199688196182,-0.0013500000350177288,2.059999942779541,0.9789999723434448,223.0659942626953,1.2090500593185425,1.2344900369644165,0.7239999771118164,0.6940000057220459,0.3514559864997864,0.3368929922580719,1.0432300567626953,2.0,0.0,0.9399999976158142,1.0,19.464799880981445,0.18520000576972961,116.907092,3.7656886,19.7918,26.289199829101562,1.403720034431899e-06,0.020647700875997543,-0.05824679881334305,4.013909801869886e-06,t17_f5_c3,ZTF18acwvude
2460045.7371875,2,2291237182415,20.46660041809082,/ztf/archive/sci/2023/0411/237188/ztf_20230411237188_000463_zr_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.29123718241501e+18,f,24.0,2291,24,463,182.2969970703125,2525.77001953125,116.907055,3.765665,19.543699264526367,0.1149199977517128,2.3619799613952637,19.5231990814209,0.17669999599456787,0.3795050084590912,18.562999725341797,0.054999999701976776,4.228000164031982,0.10499999672174454,-0.21506400406360626,-0.020479999482631683,2.1600000858306885,0.9860000014305115,182.2969970703125,0.9433820247650146,1.1013000011444092,0.6690000295639038,0.6639999747276306,0.30972200632095337,0.3074069917201996,1.0075299739837646,3.0,0.0,0.942857027053833,1.0,19.46339988708496,0.21649999916553497,116.9071566,3.7656281,13.7079,26.270700454711914,1.1871800325025106e-06,0.018915599212050438,0.0893051028251648,3.399640036150231e-06,t17_f5_c3,ZTF18acwvude
2460049.6922917,2,2295192292415,20.199899673461914,/ztf/archive/sci/2023/0415/192292/ztf_20230415192292_000463_zr_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.29519229241501e+18,f,23.0,2295,24,463,206.52099609375,2561.010009765625,116.9070078,3.7656709,19.536100387573242,0.12921999394893646,1.8324999809265137,19.8887996673584,0.2799000144004822,0.5395830273628235,18.562999725341797,0.054999999701976776,4.228000164031982,0.10499999672174454,0.6504179835319519,0.35269299149513245,2.4000000953674316,0.9800000190734863,206.52099609375,0.31110599637031555,1.1111299991607666,0.8140000104904175,0.7229999899864197,0.3391669988632202,0.30125001072883606,1.1258599758148193,2.0,0.0,0.9285709857940674,1.0,19.898500442504883,0.3646000027656555,116.9071566,3.7656281,12.2451,26.250099182128906,1.0241100198982167e-06,0.01754390075802803,0.09142079949378967,2.923319925685064e-06,t17_f5_c3,ZTF18acwvude
2460051.6718056,2,2297171802415,20.663999557495117,/ztf/archive/sci/2023/0417/171806/ztf_20230417171806_000463_zr_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2297,24,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.320999145507812,1.1007299463017262e-06,0.01814259961247444,0.08730380237102509,3.15354009217117e-06,t17_f5_c3,ZTF18acwvude
2460051.6935069,1,2297193502415,20.523799896240234,/ztf/archive/sci/2023/0417/193495/ztf_20230417193495_000463_zg_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.29719350241501e+18,f,45.0,2297,24,463,207.9550018310547,2543.1201171875,116.907045,3.765695,19.407800674438477,0.08947499841451645,1.0654699802398682,19.253299713134766,0.1177000030875206,0.16884000599384308,18.73900032043457,0.026000000536441803,1.5729999542236328,0.03400000184774399,-0.1836470067501068,-0.15453700721263885,2.3399999141693115,0.9800000190734863,207.9550018310547,1.270490050315857,1.1325099468231201,0.7900000214576721,0.7419999837875366,0.3376069962978363,0.31709399819374084,1.0646899938583374,4.0,0.0,0.9314290285110474,0.9815530180931091,19.201400756835938,0.14509999752044678,116.907092,3.7656886,17.5995,26.262800216674805,1.5322400486184051e-06,0.02144090086221695,-0.07894489914178848,4.382509814604418e-06,t17_f5_c3,ZTF18acwvude
2460053.7115509,2,2299211552415,19.72439956665039,/ztf/archive/sci/2023/0419/211539/ztf_20230419211539_000463_zr_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.29921155241501e+18,f,25.0,2299,24,463,173.19900512695312,2542.0,116.9071487,3.7656092,19.650699615478516,0.22665399312973022,1.451390027999878,20.328500747680664,0.5472999811172485,0.06774800270795822,18.562999725341797,0.054999999701976776,4.228000164031982,0.10499999672174454,0.9269440174102783,0.6778389811515808,2.059999942779541,0.921999990940094,173.19900512695312,-0.6041160225868225,1.51882004737854,0.7409999966621399,0.6690000295639038,0.3597089946269989,0.32475700974464417,1.1076200008392334,6.0,0.0,0.745714008808136,0.9815449714660645,19.752700805664062,0.4147999882698059,116.9071566,3.7656281,8.42692,26.22570037841797,2.0433399186003953e-06,0.024851800873875618,0.09099429845809937,5.8503501350060105e-06,t17_f5_c3,ZTF18acwvude
