jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458440.7112384,1,686211236215,17.773500442504883,/ztf/archive/sci/2018/1118/211088/ztf_20181118211088_000599_zg_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,686,62,599,24.879100799560547,8.358310151379555e-05,0.04133560135960579,-0.07281039655208588,0.00020345499797258526,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxgoki
2458440.7126042,1,686212605115,17.793399810791016,/ztf/archive/sci/2018/1118/212604/ztf_20181118212604_000598_zg_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,686,51,598,24.7273006439209,0.0003510369861032814,0.07087980210781097,-0.07393530011177063,0.0008157709962688386,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxgoki
2458447.8202778,2,693320276215,18.811500549316406,/ztf/archive/sci/2018/1125/320266/ztf_20181125320266_000599_zr_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,693,62,599,25.985599517822266,3.0012399292900227e-05,0.04920300096273422,0.11696799844503403,4.7201399866025895e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxgoki
2458456.66125,2,702161245115,19.976900100708008,/ztf/archive/sci/2018/1204/161250/ztf_20181204161250_000598_zr_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,702,51,598,26.143999099731445,7.120109785319073e-06,0.026555100455880165,0.09489519894123077,1.0055499842565041e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxgoki
2458456.6808681,2,702180866215,20.12619972229004,/ztf/archive/sci/2018/1204/180787/ztf_20181204180787_000599_zr_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,702,62,599,26.101600646972656,4.571149929688545e-06,0.021968500688672066,0.09115049988031387,6.691149792459328e-06,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxgoki
2458457.6425347,1,703142535115,20.06209945678711,/ztf/archive/sci/2018/1205/142535/ztf_20181205142535_000598_zg_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,703,51,598,26.25149917602539,1.6248299289145507e-05,0.03671329841017723,-0.05579590052366257,2.76593000307912e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxgoki
2458465.5904977,1,711090496215,20.017799377441406,/ztf/archive/sci/2018/1213/090174/ztf_20181213090174_000599_zg_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,711,62,599,26.240800857543945,1.425440041202819e-05,0.03610080108046532,-0.08301450312137604,2.4262799342977814e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxgoki
2458468.763588,2,714263586215,19.3981990814209,/ztf/archive/sci/2018/1216/263576/ztf_20181216263576_000599_zr_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,714,62,599,26.010000228881836,1.181980042019859e-05,0.035450998693704605,0.1079929992556572,1.7144799130619504e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxgoki
2458440.7121528,1,686212156215,17.803499221801758,/ztf/archive/sci/2018/1118/212141/ztf_20181118212141_000599_zg_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,3,686,62,599,24.910900115966797,0.0001032759973895736,0.046213798224925995,-0.04983440041542053,0.0002544210001360625,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxgoki
2458441.7394329,1,687239436215,19.221200942993164,/ztf/archive/sci/2018/1119/239433/ztf_20181119239433_000599_zg_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,3,687,62,599,26.18090057373047,2.0659799702116288e-05,0.03821650147438049,-0.100211001932621,4.0188500861404464e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxgoki
