jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460184.7559606,3,2430255964915,19.6742000579834,/ztf/archive/sci/2023/0828/255949/ztf_20230828255949_000766_zi_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2430,49,766,25.500600814819336,1.7212699958690791e-06,0.01794240064918995,0.1908160001039505,3.745560024981387e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460184.8586921,2,2430358692915,19.902700424194336,/ztf/archive/sci/2023/0828/358634/ztf_20230828358634_001803_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2430,29,1803,26.322900772094727,2.562300096542458e-06,0.017388800159096718,0.07438019663095474,8.375889592571184e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460184.8591551,2,2430359152915,19.95240020751953,/ztf/archive/sci/2023/0828/359155/ztf_20230828359155_001803_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,3,2430,29,1803,26.31559944152832,3.1177999062492745e-06,0.019092600792646408,0.07115200161933899,1.0198899872193579e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460185.7250694,2,2431225064915,20.236900329589844,/ztf/archive/sci/2023/0829/225058/ztf_20230829225058_000766_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2431,49,766,26.23740005493164,1.9573999452404678e-06,0.015845999121665955,0.06899149715900421,6.700609901599819e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460185.768206,1,2431268204915,19.77739906311035,/ztf/archive/sci/2023/0829/268206/ztf_20230829268206_000766_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2431,49,766,26.313800811767578,2.671549964361475e-06,0.01854489929974079,-0.05035429820418358,9.151710401056334e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460186.8190278,1,2432319022915,19.556299209594727,/ztf/archive/sci/2023/0830/319016/ztf_20230830319016_001803_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2432,29,1803,26.332000732421875,3.792360075749457e-06,0.02104480005800724,-0.07482220232486725,1.243130009243032e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460186.8195023,1,2432319502915,19.52199935913086,/ztf/archive/sci/2023/0830/319502/ztf_20230830319502_001803_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,3,2432,29,1803,26.3439998626709,3.981790086982073e-06,0.021476799622178078,-0.08380880206823349,1.3020199730817694e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460187.6621065,1,2433162104915,19.67959976196289,/ztf/archive/sci/2023/0831/162095/ztf_20230831162095_000766_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2433,49,766,26.274700164794922,3.865639882860705e-06,0.02205839939415455,-0.03402559831738472,1.3215600120020099e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460187.7391435,2,2433239144915,19.884899139404297,/ztf/archive/sci/2023/0831/239132/ztf_20230831239132_000766_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2433,49,766,26.20509910583496,5.14822022523731e-06,0.025528399273753166,0.08184900134801865,1.763440013746731e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460187.7661111,2,2433266112915,19.815099716186523,/ztf/archive/sci/2023/0831/266100/ztf_20230831266100_001803_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2433,29,1803,26.337900161743164,2.2465699203166878e-06,0.016146300360560417,0.07162170112133026,7.346110123762628e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460187.7665856,2,2433266582915,19.863300323486328,/ztf/archive/sci/2023/0831/266574/ztf_20230831266574_001803_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,3,2433,29,1803,26.330299377441406,3.371110096850316e-06,0.019847199320793152,0.06865119934082031,1.1023699698853306e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460187.7689583,2,2433268951615,19.841800689697266,/ztf/archive/sci/2023/0831/268947/ztf_20230831268947_001802_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2433,16,1802,26.28860092163086,2.1857199499208946e-06,0.01661130040884018,0.07766620069742203,7.322019882849418e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460187.7694329,2,2433269431615,19.850400924682617,/ztf/archive/sci/2023/0831/269433/ztf_20230831269433_001802_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,2433,16,1802,26.280399322509766,2.4580299395893235e-06,0.01766829937696457,0.076596699655056,8.238460395659786e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460188.744456,3,2434244454915,19.553199768066406,/ztf/archive/sci/2023/0901/244421/ztf_20230901244421_000766_zi_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2434,49,766,25.472000122070312,1.8944100474982406e-06,0.01860719919204712,0.18932099640369415,4.1319301089970395e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460192.8466898,1,2438346684915,20.0851993560791,/ztf/archive/sci/2023/0905/346539/ztf_20230905346539_000766_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2438,49,766,26.228500366210938,2.4515600216545863e-06,0.017823800444602966,-0.03496599942445755,8.428670298599172e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460192.9033565,3,2438403354915,19.46649932861328,/ztf/archive/sci/2023/0905/403241/ztf_20230905403241_000766_zi_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2438,49,766,25.457000732421875,2.093940111080883e-06,0.019472800195217133,0.17733900249004364,4.6191398723749444e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460194.6591319,1,2440159134915,20.465200424194336,/ztf/archive/sci/2023/0907/159016/ztf_20230907159016_000766_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2440,49,766,26.2947998046875,2.8255099095986225e-06,0.019250700250267982,-0.041624199599027634,9.645270438340958e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460194.6915509,2,2440191554915,20.52280044555664,/ztf/archive/sci/2023/0907/191354/ztf_20230907191354_000766_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2440,49,766,26.226999282836914,1.8632399587659165e-06,0.015551299788057804,0.07724639773368835,6.358479822665686e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460195.8116667,3,2441311664915,19.513900756835938,/ztf/archive/sci/2023/0908/311493/ztf_20230908311493_000766_zi_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2441,49,766,25.42930030822754,1.6591700386925368e-06,0.017633799463510513,0.1924699991941452,3.604619996622205e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460196.7231134,2,2442223114915,20.51420021057129,/ztf/archive/sci/2023/0909/222963/ztf_20230909222963_000766_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2442,49,766,26.153499603271484,4.366830125945853e-06,0.023747999221086502,0.07624369859695435,1.499980044172844e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460200.6542824,3,2446154284915,19.836000442504883,/ztf/archive/sci/2023/0913/154259/ztf_20230913154259_000766_zi_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2446,49,766,25.520999908447266,2.6577599783195183e-06,0.02222909964621067,0.21022099256515503,5.773020166088827e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460200.6989236,2,2446198924915,20.691200256347656,/ztf/archive/sci/2023/0913/198900/ztf_20230913198900_000766_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2446,49,766,26.236400604248047,3.4585500543471426e-06,0.021083200350403786,0.08390410244464874,1.185729979624739e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460200.7682523,1,2446268254915,20.525299072265625,/ztf/archive/sci/2023/0913/268229/ztf_20230913268229_000766_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2446,49,766,26.274799346923828,2.9663299301319057e-06,0.019526299089193344,-0.04189480096101761,1.018920011119917e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acxhkka
2460202.6975,1,2448197504915,20.654699325561523,/ztf/archive/sci/2023/0915/197373/ztf_20230915197373_000766_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2448,49,766,26.248300552368164,3.0208200314518763e-06,0.019816100597381592,-0.042342398315668106,1.0337899766454939e-05,t17_f5_c3,2.448197504915015e+18,t,41.0,2145.469970703125,2148.760009765625,296.2247742,50.8429879,17.020299911499023,0.0395670011639595,66.16840362548828,17.012699127197266,0.01600000075995922,6.389190196990967,20.235000610351562,0.032999999821186066,0.515999972820282,-0.014999999664723873,0.08823399990797043,-0.007639000192284584,2.299999952316284,0.9850000143051147,927.030029296875,3.6419899463653564,1.1121400594711304,0.7960000038146973,0.7310000061988831,0.3460870087146759,0.3178260028362274,1.088919997215271,1.0,0.0,0.8985710144042969,1.0,16.980899810791016,0.018699999898672104,296.224699,50.8411918,93.2051,ZTF18acxhkka
