jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458456.0193634,2,701519364015,19.469600677490234,/ztf/archive/sci/2018/1203/519306/ztf_20181203519306_000569_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,701,40,569,25.698299407958984,4.088980131200515e-05,0.05320879817008972,0.09274879842996597,5.842280006618239e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458461.9534375,1,707453434015,20.176300048828125,/ztf/archive/sci/2018/1209/453414/ztf_20181209453414_000569_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,707,40,569,25.874799728393555,1.8944600014947355e-05,0.03584609925746918,-0.10299500077962875,2.7966400011791848e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458462.002963,2,707502964015,20.281299591064453,/ztf/archive/sci/2018/1209/502963/ztf_20181209502963_000569_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,707,40,569,26.132400512695312,8.270420039480086e-06,0.023819299414753914,0.10252200067043304,1.187109955935739e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458464.9662269,1,710466224015,20.593399047851562,/ztf/archive/sci/2018/1212/466215/ztf_20181212466215_000569_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,710,40,569,26.17060089111328,1.1458500011940487e-05,0.028185300529003143,-0.07476480305194855,1.6509999113623053e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458465.0238194,2,710523814015,20.665300369262695,/ztf/archive/sci/2018/1212/523819/ztf_20181212523819_000569_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,710,40,569,26.34819984436035,7.361330062849447e-06,0.0224699005484581,0.10877899825572968,1.0563399882812519e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458467.9540278,1,713454024015,17.788799285888672,/ztf/archive/sci/2018/1215/454028/ztf_20181215454028_000569_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,713,40,569,23.48740005493164,0.00013209600001573563,0.0452268011868,0.00520423986017704,0.0003558369935490191,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458468.020706,2,713520704015,18.301799774169922,/ztf/archive/sci/2018/1215/520706/ztf_20181215520706_000569_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,713,40,569,24.41469955444336,5.437570143840276e-05,0.05104589834809303,0.11172900348901749,8.487640297971666e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458472.0264583,2,717526454015,20.405899047851562,/ztf/archive/sci/2018/1219/526447/ztf_20181219526447_000569_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,717,40,569,26.356000900268555,8.489299943903461e-06,0.02414640039205551,0.10952699929475784,1.2208000043756329e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458472.9106481,2,718410644015,20.168699264526367,/ztf/archive/sci/2018/1220/410602/ztf_20181220410602_000569_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,718,40,569,26.36680030822754,9.134239917329978e-06,0.025420600548386574,0.10629600286483765,1.3178299923310988e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458480.9412153,2,726441214015,19.986099243164062,/ztf/archive/sci/2018/1228/441215/ztf_20181228441215_000569_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,726,40,569,26.33209991455078,9.375659828947391e-06,0.025301100686192513,0.11674000322818756,1.335340039076982e-05,t12_f5_c3,7.26441214015015e+17,1,13.0,1828.77001953125,1368.6700439453125,137.3853354,20.406948,19.406099319458008,0.15179400146007538,1.335319995880127,19.331600189208984,0.19089999794960022,3.170300006866455,18.48900032043457,0.09200000017881393,7.071000099182129,0.42899999022483826,-0.1715960055589676,-0.07447099685668945,4.059999942779541,0.9739999771118164,1243.72998046875,0.6544709801673889,0.7323930263519287,1.034999966621399,0.9639999866485596,0.25492599606513977,0.23743799328804016,1.0736500024795532,3.0,0.0,0.6600000262260437,1.0,19.363000869750977,0.25209999084472656,137.3861408,20.4074229,11.2553,ZTF18adazblo
2458456.0415625,2,701541560015,17.04990005493164,/ztf/archive/sci/2018/1203/541562/ztf_20181203541562_001614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,701,0,1614,23.384599685668945,0.0013790000230073929,0.1622380018234253,0.11657299846410751,0.0028218799270689487,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458472.9092361,2,718409230015,20.022899627685547,/ztf/archive/sci/2018/1220/409225/ztf_20181220409225_001614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,718,0,1614,26.10740089416504,7.942019692563917e-06,0.024167800322175026,0.09652210026979446,1.1453100341896061e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458472.9115625,2,718411561315,20.060100555419922,/ztf/archive/sci/2018/1220/411551/ztf_20181220411551_001615_zr_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,718,13,1615,26.15399932861328,1.0027800271927845e-05,0.02702219970524311,0.09598600119352341,1.4291100342234131e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458473.8666782,2,719366670015,16.191600799560547,/ztf/archive/sci/2018/1221/366678/ztf_20181221366678_001614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,719,0,1614,24.000999450683594,0.00093817402375862,0.04633399844169617,0.1728529930114746,0.0022793998941779137,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458473.8717593,2,719371751315,15.717000007629395,/ztf/archive/sci/2018/1221/371759/ztf_20181221371759_001615_zr_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,719,13,1615,24.091100692749023,0.01256909966468811,0.029438599944114685,-0.3165090084075928,0.04376770183444023,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18adazblo
2458480.9412153,2,726441214015,19.986099243164062,/ztf/archive/sci/2018/1228/441215/ztf_20181228441215_000569_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,726,40,569,26.33209991455078,9.375659828947391e-06,0.025301100686192513,0.11674000322818756,1.335340039076982e-05,t12_f5_c3,7.26441214015015e+17,t,13.0,1828.77001953125,1368.6700439453125,137.3853354,20.406948,19.406099319458008,0.15179400146007538,1.335319995880127,19.331600189208984,0.19089999794960022,3.170300006866455,18.48900032043457,0.09200000017881393,7.071000099182129,0.42899999022483826,-0.1715960055589676,-0.07447099685668945,4.059999942779541,0.9739999771118164,1243.72998046875,0.6544709801673889,0.7323930263519287,1.034999966621399,0.9639999866485596,0.25492599606513977,0.23743799328804016,1.0736500024795532,3.0,0.0,0.6600000262260437,1.0,19.363000869750977,0.25209999084472656,137.3861408,20.4074229,11.2553,ZTF18adazblo
