jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460032.8269213,1,2278326920615,19.927600860595703,/ztf/archive/sci/2023/0329/326921/ztf_20230329326921_000581_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.278326920615015e+18,t,0.0,2278,6,581,765.4390258789062,67.5448989868164,224.270143,16.0754533,20.108200073242188,0.3521740138530731,1.596269965171814,20.67329978942871,0.5649999976158142,0.3071410059928894,19.150999069213867,0.02800000086426735,1.63100004196167,0.07500000298023224,-0.5348290205001831,0.565081000328064,2.5299999713897705,0.7310000061988831,67.5448989868164,-0.7457069754600525,1.3619600534439087,0.7089999914169312,0.5879999995231628,0.28023698925971985,0.2324109971523285,1.205780029296875,7.0,0.0,0.8642860054969788,0.843629002571106,20.57539939880371,0.6610999703407288,224.2701903,16.0753798,6.37367,26.321199417114258,1.4517900126520544e-05,0.03625290095806122,-0.07678700238466263,2.902850064856466e-05,t17_f5_c3,ZTF19aaapjfp
2460032.8814931,2,2278381490615,20.54400062561035,/ztf/archive/sci/2023/0329/381482/ztf_20230329381482_000581_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.278381490615015e+18,t,0.0,2278,6,581,779.7150268554688,80.06099700927734,224.2701901,16.0754043,20.186899185180664,0.256974995136261,1.222599983215332,20.429800033569336,0.3628999888896942,0.08090099692344666,18.658000946044922,0.03500000014901161,2.3980000019073486,0.19499999284744263,0.037974998354911804,0.24287199974060059,1.23881995677948,0.9330000281333923,80.06099700927734,0.11415199935436249,2.0,0.6399999856948853,0.460999995470047,0.5166190266609192,0.3721269965171814,1.3882900476455688,8.0,0.0,0.9557139873504639,0.7878339886665344,20.39299964904785,0.44600000977516174,224.2701953,16.0753821,5.4146,26.282899856567383,4.725829967355821e-06,0.021108899265527725,0.0918624997138977,8.650030395074282e-06,t17_f5_c3,ZTF19aaapjfp
2460036.8807292,3,2282380720615,19.409099578857422,/ztf/archive/sci/2023/0402/380729/ztf_20230402380729_000581_zi_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2282,6,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.617399215698242,3.6920000638929196e-06,0.02675909921526909,0.17918600142002106,2.106079955410678e-05,t17_f5_c3,ZTF19aaapjfp
2460042.8414352,2,2288341430615,18.816699981689453,/ztf/archive/sci/2023/0408/341424/ztf_20230408341424_000581_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2288,6,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.964500427246094,2.162790042348206e-05,0.04330020025372505,0.09165369719266891,3.964890129282139e-05,t17_f5_c3,ZTF19aaapjfp
2460044.7789815,2,2290278980615,19.98819923400879,/ztf/archive/sci/2023/0410/278981/ztf_20230410278981_000581_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2290,6,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.26449966430664,6.377819772751536e-06,0.02438179962337017,0.08246710151433945,1.1729600373655558e-05,t17_f5_c3,ZTF19aaapjfp
2460044.8284144,1,2290328410615,19.87420082092285,/ztf/archive/sci/2023/0410/328403/ztf_20230410328403_000581_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2290,6,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37540054321289,1.1688600352499634e-05,0.03253279998898506,-0.090904101729393,2.2892299966770224e-05,t17_f5_c3,ZTF19aaapjfp
2460044.9441898,3,2290444180615,19.74090003967285,/ztf/archive/sci/2023/0410/444178/ztf_20230410444178_000581_zi_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2290,6,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.612699508666992,2.3928400878503453e-06,0.021512700244784355,0.18269099295139313,1.3653399946633726e-05,t17_f5_c3,ZTF19aaapjfp
2460045.865706,1,2291365704615,20.260499954223633,/ztf/archive/sci/2023/0411/365694/ztf_20230411365694_001577_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2291,46,1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.32710075378418,9.359249816043302e-06,0.02965950034558773,-0.025872299447655678,1.7290800315095112e-05,t17_f5_c3,ZTF19aaapjfp
2460045.866169,1,2291366164615,20.27549934387207,/ztf/archive/sci/2023/0411/366169/ztf_20230411366169_001577_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,3,,,,2291,46,1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.33530044555664,1.6381800378439948e-05,0.03926600143313408,-0.018946299329400063,2.976440009661019e-05,t17_f5_c3,ZTF19aaapjfp
2460045.9078935,2,2291407894615,20.368999481201172,/ztf/archive/sci/2023/0411/407882/ztf_20230411407882_001577_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2291,46,1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.312299728393555,6.95035987519077e-06,0.025505999103188515,0.11603499948978424,1.2351900295470841e-05,t17_f5_c3,ZTF19aaapjfp
