jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460093.9065046,2,2339406505715,20.574499130249023,/ztf/archive/sci/2023/0529/406481/ztf_20230529406481_000864_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.33940650571501e+18,f,0.0,2339,57,864,1529.9599609375,822.6060180664062,244.5109004,80.0030486,19.694700241088867,0.13809199631214142,2.4717299938201904,19.806499481201172,0.2046000063419342,0.14719000458717346,18.214000701904297,0.019999999552965164,1.034999966621399,0.052000001072883606,0.20881099998950958,0.11180300265550613,2.450000047683716,0.9900000095367432,822.6060180664062,0.7679849863052368,0.996612012386322,0.656000018119812,0.6079999804496765,0.26775500178337097,0.24816299974918365,1.078950047492981,7.0,0.0,0.947143018245697,0.8870030045509338,19.933300018310547,0.29100000858306885,244.511101,80.0030262,9.6148,26.10569953918457,5.163340119906934e-06,0.021880200132727623,0.08763609826564789,8.980219718068838e-06,t17_f5_c3,ZTF19aaapkuj
2460093.9069676,2,2339406961515,20.64080047607422,/ztf/archive/sci/2023/0529/406968/ztf_20230529406968_000875_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.33940696151501e+18,f,6.0,2339,15,875,2449.169921875,2100.739990234375,244.5111654,80.0029091,19.8705997467041,0.1734510064125061,3.0189199447631836,19.89590072631836,0.22599999606609344,0.2535589933395386,18.250999450683594,0.03099999949336052,1.309000015258789,0.08799999952316284,-0.011826000176370144,0.025321999564766884,2.7200000286102295,0.9929999709129333,623.3289794921875,0.7448980212211609,0.8180789947509766,0.6370000243186951,0.5189999938011169,0.23419100046157837,0.1908089965581894,1.2273600101470947,6.0,0.0,0.8585709929466248,0.9365180134773254,19.892099380493164,0.28610000014305115,244.5111119,80.0029752,8.69834,26.125600814819336,8.864270057529211e-06,0.029550399631261826,0.09349039942026138,1.3949100321042351e-05,t17_f5_c3,ZTF19aaapkuj
2460093.9514352,1,2339451431515,20.5221004486084,/ztf/archive/sci/2023/0529/451389/ztf_20230529451389_000875_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.33945143151501e+18,f,4.0,2339,15,875,2456.919921875,2090.52001953125,244.5109573,80.0029693,20.016700744628906,0.1665409952402115,1.4175399541854858,19.84040069580078,0.19179999828338623,0.1387609988451004,18.570999145507812,0.014999999664723873,0.6340000033378601,-0.023000000044703484,0.042858000844717026,-0.1763409972190857,2.440000057220459,0.9309999942779541,615.5819702148438,0.6816629767417908,1.1348199844360352,0.7059999704360962,0.6230000257492065,0.28934401273727417,0.2553279995918274,1.1332299709320068,4.0,0.0,0.9599999785423279,0.9929019808769226,19.77400016784668,0.2295999974012375,244.5111751,80.0029782,11.0211,26.191699981689453,1.299030009249691e-05,0.035689499229192734,-0.12737199664115906,2.0677400243584998e-05,t17_f5_c3,ZTF19aaapkuj
2460093.9518981,1,2339451895715,20.547800064086914,/ztf/archive/sci/2023/0529/451898/ztf_20230529451898_000864_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.33945189571501e+18,f,0.0,2339,57,864,1517.2900390625,816.0570068359375,244.5107665,80.0029505,19.668399810791016,0.1470319926738739,1.117069959640503,19.664100646972656,0.16500000655651093,0.2845200002193451,18.437999725341797,0.01600000075995922,0.7739999890327454,-0.024000000208616257,0.05777899920940399,-0.0042779999785125256,2.2100000381469727,0.9670000076293945,816.0570068359375,0.8836699724197388,1.2162599563598633,0.7599999904632568,0.7110000252723694,0.3438909947872162,0.3217189908027649,1.0689200162887573,7.0,0.0,0.9485710263252258,0.9786120057106018,19.429100036621094,0.16910000145435333,244.511112,80.0030035,11.1297,26.168399810791016,9.334010428574402e-06,0.029472699388861656,-0.09709270298480988,1.6210999092436396e-05,t17_f5_c3,ZTF19aaapkuj
2460098.7811227,1,2344281121515,19.19499969482422,/ztf/archive/sci/2023/0603/280972/ztf_20230603280972_000875_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2344,15,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.281600952148438,3.243979881517589e-05,0.04304949939250946,-0.09995529800653458,7.567650027340278e-05,t17_f5_c3,ZTF19aaapkuj
2460098.7815972,1,2344281595715,19.289499282836914,/ztf/archive/sci/2023/0603/281597/ztf_20230603281597_000864_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2344,57,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.176700592041016,2.8801099688280374e-05,0.03994790092110634,-0.05903320014476776,7.109239959390834e-05,t17_f5_c3,ZTF19aaapkuj
2460098.862338,2,2344362331515,19.6205997467041,/ztf/archive/sci/2023/0603/362292/ztf_20230603362292_000875_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2344,15,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.131099700927734,1.1091699889220763e-05,0.03297010064125061,0.0987624004483223,1.752130083332304e-05,t17_f5_c3,ZTF19aaapkuj
2460098.8628009,2,2344362805715,19.611400604248047,/ztf/archive/sci/2023/0603/362801/ztf_20230603362801_000864_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.34436280571501e+18,f,0.0,2344,57,864,1539.8599853515625,824.6170043945312,244.5110656,80.0029884,19.61210060119629,0.24632300436496735,1.682360053062439,19.207199096679688,0.2797999978065491,0.1360580027103424,18.214000701904297,0.019999999552965164,1.034999966621399,0.052000001072883606,0.019280999898910522,-0.40491899847984314,1.1999800205230713,0.7799999713897705,824.6170043945312,0.40424299240112305,2.0,0.8659999966621399,0.8510000109672546,0.7216789722442627,0.7091789841651917,1.0176299810409546,4.0,0.0,0.8771430253982544,0.9629859924316406,19.146499633789062,0.3393000066280365,244.511101,80.0030262,6.05415,26.120100021362305,8.281290320155676e-06,0.02762630023062229,0.09474880248308182,1.4388199815584812e-05,t17_f5_c3,ZTF19aaapkuj
2460100.7006134,1,2346200611515,19.381000518798828,/ztf/archive/sci/2023/0605/200556/ztf_20230605200556_000875_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.34620061151501e+18,f,3.0,2346,15,875,2441.14990234375,2100.81005859375,244.5112306,80.0029993,19.57469940185547,0.15981699526309967,1.0618200302124023,19.439199447631836,0.31540000438690186,0.08847799897193909,18.570999145507812,0.014999999664723873,0.6340000033378601,-0.023000000044703484,0.04363200068473816,-0.1354759931564331,2.3499999046325684,0.9300000071525574,631.3469848632812,-0.058194998651742935,1.3819600343704224,0.8840000033378601,0.8420000076293945,0.37617000937461853,0.35829800367355347,1.049880027770996,3.0,0.0,0.9128569960594177,1.0,19.101900100708008,0.2971000075340271,244.5111751,80.0029782,6.01417,26.218700408935547,2.9361499400692992e-05,0.04471990093588829,-0.1021919995546341,6.408769695553929e-05,t17_f5_c3,ZTF19aaapkuj
2460100.7289583,1,2346228955715,19.589000701904297,/ztf/archive/sci/2023/0605/228900/ztf_20230605228900_000864_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2346,57,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.160999298095703,2.0914400010951795e-05,0.038527701050043106,-0.04628169909119606,4.62593998236116e-05,t17_f5_c3,ZTF19aaapkuj
2460100.7593287,2,2346259325715,19.727500915527344,/ztf/archive/sci/2023/0605/259317/ztf_20230605259317_000864_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2346,57,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.119199752807617,7.793189979565796e-06,0.02676529996097088,0.09611959755420685,1.3676700291398447e-05,t17_f5_c3,ZTF19aaapkuj
2460100.7598032,2,2346259801515,19.623300552368164,/ztf/archive/sci/2023/0605/259803/ztf_20230605259803_000875_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2346,15,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.169099807739258,2.0785599190276116e-05,0.0450018011033535,0.08282619714736938,3.25996006722562e-05,t17_f5_c3,ZTF19aaapkuj
2460102.7824537,1,2348282451515,18.079500198364258,/ztf/archive/sci/2023/0607/282373/ztf_20230607282373_000875_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2348,15,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.089000701904297,0.0001539189979666844,0.052881401032209396,-0.11216499656438828,0.00044127399451099336,t17_f5_c3,ZTF19aaapkuj
2460102.7829167,1,2348282915715,17.969499588012695,/ztf/archive/sci/2023/0607/282917/ztf_20230607282917_000864_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2348,57,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.981300354003906,0.00015285999688785523,0.051384299993515015,-0.009857499971985817,0.00043023101170547307,t17_f5_c3,ZTF19aaapkuj
2460104.8431481,2,2350343145715,20.21430015563965,/ztf/archive/sci/2023/0609/343137/ztf_20230609343137_000864_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.35034314571501e+18,f,1.0,2350,57,864,1520.06005859375,836.1690063476562,244.5110971,80.0029728,19.797199249267578,0.2081270068883896,0.6107119917869568,19.680200576782227,0.24940000474452972,0.1899929940700531,18.214000701904297,0.019999999552965164,1.034999966621399,0.052000001072883606,-0.1077750027179718,-0.1169620007276535,1.2104599475860596,0.906000018119812,836.1690063476562,0.5341309905052185,2.0,0.7620000243186951,0.6940000057220459,0.6295130252838135,0.5733360052108765,1.09798002243042,5.0,0.0,0.9614289999008179,0.981410026550293,19.601999282836914,0.2962000072002411,244.511101,80.0030262,5.40295,26.116199493408203,6.372169991664123e-06,0.024371100589632988,0.09539850056171417,1.1058699783461634e-05,t17_f5_c3,ZTF19aaapkuj
2460104.8669676,2,2350366961515,20.19260025024414,/ztf/archive/sci/2023/0609/366863/ztf_20230609366863_000875_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2350,15,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.119400024414062,1.683750087977387e-05,0.04058539867401123,0.08789339661598206,2.634570046211593e-05,t17_f5_c3,ZTF19aaapkuj
2460109.8084722,1,2355308475715,20.451400756835938,/ztf/archive/sci/2023/0614/308472/ztf_20230614308472_000864_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.35530847571501e+18,f,0.0,2355,57,864,1525.1600341796875,831.8989868164062,244.5110509,80.0029431,19.665700912475586,0.15868499875068665,1.1284899711608887,19.701000213623047,0.18529999256134033,0.2180519998073578,18.437999725341797,0.01600000075995922,0.7739999890327454,-0.024000000208616257,0.21781300008296967,0.03528600186109543,2.450000047683716,0.9610000252723694,831.8989868164062,0.7504410147666931,1.0990300178527832,0.7599999904632568,0.6510000228881836,0.31020399928092957,0.26571398973464966,1.1674400568008423,6.0,0.0,0.947143018245697,0.9479299783706665,19.58009910583496,0.21119999885559082,244.511112,80.0030035,10.0781,26.181699752807617,1.188609985547373e-05,0.03322660177946091,-0.07343419641256332,2.088650035148021e-05,t17_f5_c3,ZTF19aaapkuj
2460109.8464583,2,2355346455715,20.385799407958984,/ztf/archive/sci/2023/0614/346447/ztf_20230614346447_000864_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.35534645571501e+18,f,1.0,2355,57,864,1521.8399658203125,827.9600219726562,244.5109255,80.0030234,19.952999114990234,0.15941600501537323,0.945356011390686,19.80109977722168,0.23739999532699585,0.10871399939060211,18.214000701904297,0.019999999552965164,1.034999966621399,0.052000001072883606,0.22399799525737762,-0.15189500153064728,1.2234300374984741,0.9179999828338623,827.9600219726562,0.5847020149230957,2.0,0.7120000123977661,0.6269999742507935,0.5819680094718933,0.5124920010566711,1.1355700492858887,5.0,0.0,0.951429009437561,0.9310370087623596,19.865800857543945,0.320499986410141,244.511101,80.0030262,5.61363,26.113000869750977,4.586629984260071e-06,0.020673999562859535,0.09467030316591263,7.982919669302646e-06,t17_f5_c3,ZTF19aaapkuj
2460109.8596065,2,2355359601515,20.365100860595703,/ztf/archive/sci/2023/0614/359525/ztf_20230614359525_000875_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.35535960151501e+18,f,9.0,2355,15,875,2441.77001953125,2102.739990234375,244.5110865,80.0028798,20.08799934387207,0.2102860063314438,1.6594300270080566,20.51020050048828,0.4715999960899353,0.3395169973373413,18.250999450683594,0.03099999949336052,1.309000015258789,0.08799999952316284,0.1935259997844696,0.4221610128879547,1.1986600160598755,0.7179999947547913,630.7249755859375,-0.1450510025024414,2.0,0.5680000185966492,0.49900001287460327,0.4738610088825226,0.41629698872566223,1.1382800340652466,6.0,0.0,0.9371430277824402,0.9636170268058777,20.272600173950195,0.4830000102519989,244.5111119,80.0029752,9.28871,26.12700080871582,6.8474901127046905e-06,0.025870900601148605,0.09755869954824448,1.077330034604529e-05,t17_f5_c3,ZTF19aaapkuj
2460109.9056713,1,2355405671515,20.31049919128418,/ztf/archive/sci/2023/0614/405590/ztf_20230614405590_000875_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2355,15,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.216899871826172,1.4950600416341331e-05,0.03785200044512749,-0.12627699971199036,2.4238299374701455e-05,t17_f5_c3,ZTF19aaapkuj
2460111.9300694,1,2357430061515,20.473800659179688,/ztf/archive/sci/2023/0616/430058/ztf_20230616430058_000875_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.35743006151501e+18,f,1.0,2357,15,875,2466.7900390625,2054.719970703125,244.5110488,80.00298,20.009199142456055,0.18137800693511963,1.512369990348816,20.013900756835938,0.22930000722408295,0.07826799899339676,18.570999145507812,0.014999999664723873,0.6340000033378601,-0.023000000044703484,0.08058100193738937,0.004679999779909849,2.319999933242798,0.9459999799728394,605.7100219726562,0.45993998646736145,1.216879963874817,0.6690000295639038,0.5910000205039978,0.2883619964122772,0.25474101305007935,1.1319799423217773,7.0,0.0,0.9585710167884827,0.908128023147583,20.11370086669922,0.32019999623298645,244.5111751,80.0029782,9.51057,26.20319938659668,1.3552999917010311e-05,0.03694399818778038,-0.12672199308872223,2.161610063922126e-05,t17_f5_c3,ZTF19aaapkuj
2460111.930544,1,2357430545715,20.659000396728516,/ztf/archive/sci/2023/0616/430544/ztf_20230616430544_000864_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.35743054571501e+18,f,0.0,2357,57,864,1523.239990234375,781.708984375,244.5106848,80.002994,19.815399169921875,0.14608100056648254,1.8622900247573853,19.85059928894043,0.18709999322891235,0.2657339870929718,18.437999725341797,0.01600000075995922,0.7739999890327454,-0.024000000208616257,0.12258700281381607,0.03515499830245972,3.069999933242798,0.8840000033378601,781.708984375,0.8084499835968018,0.8323929905891418,0.6600000262260437,0.6129999756813049,0.2149839997291565,0.19967399537563324,1.0766700506210327,5.0,0.0,0.9485710263252258,0.9740530252456665,19.63330078125,0.19460000097751617,244.511112,80.0030035,9.76417,26.162399291992188,8.839099791657645e-06,0.028510499745607376,-0.08494660258293152,1.5529900338151492e-05,t17_f5_c3,ZTF19aaapkuj
2460114.7634491,1,2360263445715,20.349199295043945,/ztf/archive/sci/2023/0619/263438/ztf_20230619263438_000864_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.36026344571501e+18,f,0.0,2360,57,864,1543.6300048828125,823.6859741210938,244.5104369,80.0028803,19.755800247192383,0.20351600646972656,1.6800800561904907,19.80229949951172,0.21770000457763672,0.6045740246772766,18.437999725341797,0.01600000075995922,0.7739999890327454,-0.024000000208616257,0.1364849954843521,0.04653500020503998,2.319999933242798,0.8999999761581421,823.6859741210938,0.546904981136322,1.1836400032043457,1.069000005722046,0.8050000071525574,0.4607760012149811,0.3469829857349396,1.3279500007629395,4.0,0.0,0.8528569936752319,0.9924709796905518,19.919300079345703,0.3093999922275543,244.511112,80.0030035,9.20158,26.25279998779297,1.1403500138840172e-05,0.03181299939751625,-0.05223270133137703,2.109140041284263e-05,t17_f5_c3,ZTF19aaapkuj
2460114.7916898,1,2360291681515,20.15519905090332,/ztf/archive/sci/2023/0619/291678/ztf_20230619291678_000875_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2360,15,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.30270004272461,1.6377700376324356e-05,0.03908019885420799,-0.1098489984869957,2.7732499802368693e-05,t17_f5_c3,ZTF19aaapkuj
2460114.8496528,2,2360349655715,20.291400909423828,/ztf/archive/sci/2023/0619/349630/ztf_20230619349630_000864_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2360,57,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1653995513916,5.349119874153985e-06,0.022294899448752403,0.09591169655323029,9.27598011912778e-06,t17_f5_c3,ZTF19aaapkuj
