jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459306.7413773,2,1552241370515,20.52589988708496,/ztf/archive/sci/2021/0402/241366/ztf_20210402241366_000785_zr_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1552,5,785,26.268999099731445,8.662809705128893e-06,0.024456800892949104,0.1005219966173172,1.167980008176528e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aailgcx
2459306.7813079,1,1552281300515,20.63800048828125,/ztf/archive/sci/2021/0402/281308/ztf_20210402281308_000785_zg_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1552,5,785,26.31529998779297,1.0009999641624745e-05,0.026217900216579437,-0.06853300333023071,1.3625400242744945e-05,t17_f5_c3,1.55228130051501e+18,f,3.0,188.45799255371094,536.427001953125,138.1778837,52.7933408,20.093299865722656,0.20165599882602692,2.5107100009918213,20.067399978637695,0.23810000717639923,0.09344899654388428,19.047000885009766,0.01899999938905239,0.8550000190734863,0.0020000000949949026,0.15470600128173828,-0.025891000404953957,1.9700000286102295,0.9440000057220459,188.45799255371094,0.5705739855766296,1.2473000288009644,0.5920000076293945,0.5649999976158142,0.3005079925060272,0.2868019938468933,1.0477900505065918,2.0,0.0,0.8771430253982544,0.9465029835700989,20.173500061035156,0.3359000086784363,138.1778968,52.7933688,10.3676,ZTF19aailgcx
2459308.7187037,2,1554218700515,20.559200286865234,/ztf/archive/sci/2021/0404/218704/ztf_20210404218704_000785_zr_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1554,5,785,26.309099197387695,7.379119779216126e-06,0.022388499230146408,0.1053759977221489,9.915979717334267e-06,t17_f5_c3,1.55421870051501e+18,f,1.0,194.77699279785156,545.3980102539062,138.1778453,52.7932887,20.48310089111328,0.2307800054550171,1.602869987487793,20.31909942626953,0.33959999680519104,0.383201003074646,19.048999786376953,0.035999998450279236,2.0769999027252197,0.09099999815225601,0.6426830291748047,-0.1639779955148697,2.3499999046325684,0.9549999833106995,194.77699279785156,0.2400750070810318,0.9940209984779358,0.6629999876022339,0.5320000052452087,0.2821280062198639,0.2263830006122589,1.2462400197982788,6.0,0.0,0.8585709929466248,0.9109519720077515,20.767099380493164,0.6564000248908997,138.1778977,52.7933913,6.4437,ZTF19aailgcx
2459308.7611227,1,1554261120515,20.694700241088867,/ztf/archive/sci/2021/0404/261123/ztf_20210404261123_000785_zg_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1554,5,785,26.396699905395508,9.069780389836524e-06,0.02528800070285797,-0.07768309861421585,1.2357500054349657e-05,t17_f5_c3,1.55426112051501e+18,f,4.0,170.3090057373047,540.4520263671875,138.1778321,52.7933629,20.22170066833496,0.18925699591636658,1.4262100458145142,20.118999481201172,0.22910000383853912,0.14066599309444427,19.047000885009766,0.01899999938905239,0.8550000190734863,0.0020000000949949026,0.10838399827480316,-0.10271299630403519,1.9800000190734863,0.9570000171661377,170.3090057373047,0.5757009983062744,1.2881300449371338,0.7390000224113464,0.6259999871253967,0.37323200702667236,0.31616199016571045,1.1805100440979004,5.0,0.0,0.9371430277824402,0.9822989702224731,20.054800033569336,0.2759999930858612,138.1778968,52.7933688,9.49668,ZTF19aailgcx
2459310.7034259,2,1556203420515,20.293399810791016,/ztf/archive/sci/2021/0406/203426/ztf_20210406203426_000785_zr_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1556,5,785,26.29490089416504,6.865319846838247e-06,0.021672900766134262,0.10714700073003769,9.23391962714959e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aailgcx
2459312.7240856,1,1558224080515,20.59600067138672,/ztf/archive/sci/2021/0408/224074/ztf_20210408224074_000785_zg_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1558,5,785,26.41390037536621,1.053100004355656e-05,0.027154799550771713,-0.08606690168380737,1.4242999895941466e-05,t17_f5_c3,1.55822408051501e+18,f,5.0,174.95799255371094,539.9320068359375,138.1779062,52.7932857,20.23590087890625,0.15576399862766266,5.705019950866699,19.991500854492188,0.20819999277591705,0.29626700282096863,19.047000885009766,0.01899999938905239,0.8550000190734863,0.0020000000949949026,-0.17335699498653412,-0.24443399906158447,2.640000104904175,0.9409999847412109,174.95799255371094,0.6044769883155823,1.0340499877929688,0.7540000081062317,0.6959999799728394,0.2856059968471527,0.2636359930038452,1.0833300352096558,6.0,0.0,0.7585710287094116,0.8981930017471313,19.978500366210938,0.2630000114440918,138.1778968,52.7933688,10.3411,ZTF19aailgcx
2459312.7862384,2,1558286230515,20.377899169921875,/ztf/archive/sci/2021/0408/286227/ztf_20210408286227_000785_zr_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1558,5,785,26.290700912475586,7.913269655546173e-06,0.023432299494743347,0.10702700167894363,1.0659099643817171e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aailgcx
2459314.6761806,2,1560176180515,20.603099822998047,/ztf/archive/sci/2021/0410/176169/ztf_20210410176169_000785_zr_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1560,5,785,26.316099166870117,7.532330073445337e-06,0.022693099454045296,0.1009029969573021,1.0106799891218543e-05,t17_f5_c3,1.56017618051501e+18,f,2.0,208.88299560546875,538.3040161132812,138.1777668,52.7933629,20.541099548339844,0.1834239959716797,1.8097200393676758,20.100400924682617,0.2671000063419342,0.3014200031757355,19.048999786376953,0.035999998450279236,2.0769999027252197,0.09099999815225601,0.5123540163040161,-0.4406540095806122,2.3499999046325684,0.734000027179718,208.88299560546875,0.5027120113372803,0.9940209984779358,0.6029999852180481,0.5509999990463257,0.25659599900245667,0.2344679981470108,1.0943700075149536,7.0,0.0,0.7785710096359253,0.9600849747657776,20.050600051879883,0.3264000117778778,138.1778977,52.7933913,6.6205,ZTF19aailgcx
2459314.727963,1,1560227960515,20.7544002532959,/ztf/archive/sci/2021/0410/227963/ztf_20210410227963_000785_zg_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1560,5,785,26.38360023498535,7.018560154392617e-06,0.022196199744939804,-0.06918759644031525,9.486479939369019e-06,t17_f5_c3,1.56022796051501e+18,f,7.0,176.6999969482422,541.0479736328125,138.1778589,52.7933632,20.19659996032715,0.163442000746727,0.9943140149116516,20.166799545288086,0.23309999704360962,0.08387400209903717,19.047000885009766,0.01899999938905239,0.8550000190734863,0.0020000000949949026,0.30584999918937683,-0.029841000214219093,2.0999999046325684,0.968999981880188,176.6999969482422,0.5876309871673584,1.1822600364685059,0.7129999995231628,0.6000000238418579,0.3395240008831024,0.2857140004634857,1.188330054283142,4.0,0.0,0.9357140064239502,1.0,19.910999298095703,0.23549999296665192,138.1778968,52.7933688,10.0437,ZTF19aailgcx
2459316.6855556,2,1562185550515,20.69379997253418,/ztf/archive/sci/2021/0412/185544/ztf_20210412185544_000785_zr_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1562,5,785,26.276899337768555,7.962729796417989e-06,0.023366399109363556,0.10582099854946136,1.0719600140873808e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aailgcx
