jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459190.6837731,2,1436183776015,20.114099502563477,/ztf/archive/sci/2020/1207/183773/ztf_20201207183773_000300_zr_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1436,60,300,26.083900451660156,1.9986899133073166e-05,0.027920899912714958,0.1047850027680397,2.7222500648349524e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaingkb
2459191.7303241,1,1437230320715,17.4197998046875,/ztf/archive/sci/2020/1208/230324/ztf_20201208230324_000350_zg_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1437,7,350,23.96579933166504,0.0016519499476999044,0.09043680131435394,0.03577069938182831,0.004473470151424408,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaingkb
2459193.6963542,1,1439196350715,19.395299911499023,/ztf/archive/sci/2020/1210/196354/ztf_20201210196354_000350_zg_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1439,7,350,25.50200080871582,4.1886298276949674e-05,0.041788499802351,-0.04400099813938141,7.687060133321211e-05,t17_f5_c3,1.439196350715015e+18,t,11.0,555.1610107421875,2406.75,42.1616663,-13.3744175,19.868999481201172,0.3010149896144867,1.1685700416564941,19.796100616455078,0.47940000891685486,0.27684900164604187,19.59000015258789,0.03200000151991844,1.3020000457763672,0.07800000160932541,1.9690300226211548,-0.07293800264596939,1.4750299453735352,0.5180000066757202,555.1610107421875,-0.4008080065250397,2.0,1.1319999694824219,0.9670000076293945,0.767441987991333,0.6555799841880798,1.1706299781799316,2.0,0.0,0.7442860007286072,1.0,19.660200119018555,0.5426999926567078,42.1615996,-13.3744605,5.48819,ZTF19aaingkb
2459193.7085648,1,1439208566015,19.98940086364746,/ztf/archive/sci/2020/1210/208553/ztf_20201210208553_000300_zg_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1439,60,300,25.893699645996094,4.422519850777462e-05,0.041085198521614075,-0.06560490280389786,6.423219747375697e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaingkb
2459193.7327315,2,1439232736015,20.04669952392578,/ztf/archive/sci/2020/1210/232731/ztf_20201210232731_000300_zr_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1439,60,300,26.047800064086914,1.5891000657575205e-05,0.024885600432753563,0.09438440203666687,2.1691899746656418e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaingkb
2459193.7360648,2,1439236060715,20.351600646972656,/ztf/archive/sci/2020/1210/236065/ztf_20201210236065_000350_zr_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1439,7,350,26.175800323486328,1.5728499420220032e-05,0.02826249971985817,0.11421699821949005,2.1252399164950475e-05,t17_f5_c3,1.439236060715015e+18,t,2.0,558.3770141601562,2398.489990234375,42.1616227,-13.374445,20.08180046081543,0.20147399604320526,1.110640048980713,19.752899169921875,0.24889999628067017,0.13445399701595306,18.625,0.03999999910593033,2.496000051498413,0.16699999570846558,0.181878000497818,-0.3288849890232086,1.1799999475479126,0.7300000190734863,558.3770141601562,0.5986700057983398,1.9635100364685059,0.7480000257492065,0.6499999761581421,0.6338980197906494,0.5508469939231873,1.1507699489593506,3.0,0.0,0.947143018245697,1.0,19.80590057373047,0.3321000039577484,42.1615937,-13.3744702,7.30696,ZTF19aaingkb
2459195.7259722,2,1441225970715,20.287500381469727,/ztf/archive/sci/2020/1212/225972/ztf_20201212225972_000350_zr_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1441,7,350,26.2189998626709,1.1959899893554393e-05,0.024557599797844887,0.11173699796199799,1.6131500160554424e-05,t17_f5_c3,1.441225970715015e+18,t,1.0,550.0540161132812,2407.889892578125,42.1614741,-13.3745067,19.81999969482422,0.141183003783226,0.9112970232963562,19.681900024414062,0.21559999883174896,0.4337159991264343,18.625,0.03999999910593033,2.496000051498413,0.16699999570846558,0.1977660059928894,-0.13809500634670258,2.5399999618530273,0.9549999833106995,550.0540161132812,0.6056089997291565,1.050819993019104,0.8370000123977661,0.7549999952316284,0.32952800393104553,0.29724401235580444,1.1086100339889526,3.0,0.0,0.9771429896354675,0.9918040037155151,19.657400131225586,0.2678999900817871,42.1615937,-13.3744702,9.84895,ZTF19aaingkb
2459195.7264468,2,1441226446015,20.102500915527344,/ztf/archive/sci/2020/1212/226447/ztf_20201212226447_000300_zr_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1441,60,300,26.11989974975586,2.07128996407846e-05,0.02862429991364479,0.1109590008854866,2.8317299438640475e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaingkb
2459195.749294,1,1441249296015,20.248300552368164,/ztf/archive/sci/2020/1212/249294/ztf_20201212249294_000300_zg_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1441,60,300,26.205400466918945,3.1681298423791304e-05,0.03504759818315506,-0.05715329945087433,4.557870124699548e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaingkb
2459195.7497685,1,1441249760715,20.285999298095703,/ztf/archive/sci/2020/1212/249769/ztf_20201212249769_000350_zg_c02_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1441,7,350,26.299699783325195,2.6368699764134362e-05,0.03646489977836609,-0.06489960104227066,3.750890027731657e-05,t17_f5_c3,1.441249760715015e+18,t,10.0,539.656005859375,2409.340087890625,42.1615321,-13.3744416,19.952699661254883,0.20144400000572205,1.421280026435852,19.52039909362793,0.1542000025510788,0.24321900308132172,19.59000015258789,0.03200000151991844,1.3020000457763672,0.07800000160932541,-0.004131000023335218,-0.43225398659706116,6.889999866485596,0.546999990940094,539.656005859375,0.7655540108680725,0.4633820056915283,1.3270000219345093,1.1610000133514404,0.19259800016880035,0.168504998087883,1.1429799795150757,3.0,0.0,0.44999998807907104,0.9858729839324951,19.32710075378418,0.1647000014781952,42.1615996,-13.3744605,10.0842,ZTF19aaingkb
