jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460212.0189352,2,2457518936315,19.751699447631836,/ztf/archive/sci/2023/0924/518924/ztf_20230924518924_000519_zr_c16_o_q4_scimrefdiffimg.fits.fz,Prince,1,2457,63,519,26.1028995513916,1.320429964835057e-05,0.03079169988632202,0.12281399965286255,1.9244100258219987e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aajbpmi
2460212.0213773,2,2457521376315,19.701099395751953,/ztf/archive/sci/2023/0924/521377/ztf_20230924521377_000519_zr_c16_o_q4_scimrefdiffimg.fits.fz,Prince,1,2457,63,519,26.109699249267578,1.2661599612329155e-05,0.03028400056064129,0.11212600022554398,1.852810055424925e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aajbpmi
2460212.0238194,2,2457523816315,19.601499557495117,/ztf/archive/sci/2023/0924/523819/ztf_20230924523819_000519_zr_c16_o_q4_scimrefdiffimg.fits.fz,Prince,1,2457,63,519,26.1156005859375,1.3091999790049158e-05,0.030657000839710236,0.11960600316524506,1.9156199414283037e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aajbpmi
2460212.0262616,2,2457526266315,19.381799697875977,/ztf/archive/sci/2023/0924/526262/ztf_20230924526262_000519_zr_c16_o_q4_scimrefdiffimg.fits.fz,Prince,1,2457,63,519,26.1205997467041,1.7021400708472356e-05,0.0350756011903286,0.1191290020942688,2.515740015951451e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aajbpmi
2460212.0287153,2,2457528716315,19.112199783325195,/ztf/archive/sci/2023/0924/528704/ztf_20230924528704_000519_zr_c16_o_q4_scimrefdiffimg.fits.fz,Prince,1,2457,63,519,26.124099731445312,2.185159974033013e-05,0.03889929875731468,0.11602199822664261,3.183009903295897e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aajbpmi
2460213.0196412,2,2458519646315,19.772600173950195,/ztf/archive/sci/2023/0925/519630/ztf_20230925519630_000519_zr_c16_o_q4_scimrefdiffimg.fits.fz,Prince,1,2458,63,519,26.11720085144043,1.3010600014240481e-05,0.03059840016067028,0.12138199806213379,1.8957900465466082e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aajbpmi
2460213.0220718,2,2458522076315,19.680500030517578,/ztf/archive/sci/2023/0925/522072/ztf_20230925522072_000519_zr_c16_o_q4_scimrefdiffimg.fits.fz,Prince,1,2458,63,519,26.112300872802734,1.6690699339960702e-05,0.034386999905109406,0.11289600282907486,2.4365299395867623e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aajbpmi
2460213.0245255,2,2458524526315,19.58989906311035,/ztf/archive/sci/2023/0925/524514/ztf_20230925524514_000519_zr_c16_o_q4_scimrefdiffimg.fits.fz,Prince,1,2458,63,519,26.122699737548828,1.3992400454299059e-05,0.031616099178791046,0.11107899993658066,2.0488500013016164e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aajbpmi
2460213.0269676,2,2458526966315,19.403600692749023,/ztf/archive/sci/2023/0925/526956/ztf_20230925526956_000519_zr_c16_o_q4_scimrefdiffimg.fits.fz,Prince,1,2458,63,519,26.125900268554688,1.8652299331733957e-05,0.036613401025533676,0.13062399625778198,2.7374500859878026e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aajbpmi
2460213.0294097,2,2458529406315,19.08839988708496,/ztf/archive/sci/2023/0925/529410/ztf_20230925529410_000519_zr_c16_o_q4_scimrefdiffimg.fits.fz,Prince,1,2458,63,519,26.14859962463379,3.0074699679971673e-05,0.044993799179792404,0.10939899832010269,4.372850162326358e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aajbpmi
