jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460139.7259375,1,2385225932015,20.684499740600586,/ztf/archive/sci/2023/0714/225926/ztf_20230714225926_000795_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2385,20,795,26.310800552368164,2.0265499188099056e-05,0.047546401619911194,-0.12773899734020233,3.4012900869129226e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaleutn
2460139.7423843,1,2385242382015,20.648099899291992,/ztf/archive/sci/2023/0714/242350/ztf_20230714242350_000795_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2385,20,795,26.291099548339844,1.992470060940832e-05,0.04741059988737106,-0.12422700226306915,3.3388099836884066e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaleutn
2460139.7583681,2,2385258362015,20.61079978942871,/ztf/archive/sci/2023/0714/258368/ztf_20230714258368_000795_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2385,20,795,26.30419921875,7.206650025182171e-06,0.028327399864792824,0.097707599401474,1.1848200301756151e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaleutn
2460139.7831944,2,2385283192015,20.705900192260742,/ztf/archive/sci/2023/0714/283194/ztf_20230714283194_000795_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2385,20,795,26.317699432373047,7.0507599048141856e-06,0.02806830033659935,0.09629260003566742,1.1619299584708642e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaleutn
2460140.7020023,1,2386202002015,20.729799270629883,/ztf/archive/sci/2023/0715/201991/ztf_20230715201991_000795_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2386,20,795,26.320100784301758,2.175390000047628e-05,0.0492204986512661,-0.1235089972615242,3.631049912655726e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaleutn
2460140.7285532,3,2386228552015,19.968900680541992,/ztf/archive/sci/2023/0715/228530/ztf_20230715228530_000795_zi_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2386,20,795,25.71269989013672,3.942589955840958e-06,0.03123060055077076,0.19947099685668945,1.9723000150406733e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaleutn
2460140.7421759,2,2386242172015,20.432899475097656,/ztf/archive/sci/2023/0715/242164/ztf_20230715242164_000795_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2386,20,795,26.300500869750977,8.982059625850525e-06,0.03169550001621246,0.10262499749660492,1.4836000445939135e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaleutn
2460140.7587037,2,2386258702015,20.466899871826172,/ztf/archive/sci/2023/0715/258669/ztf_20230715258669_000795_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2386,20,795,26.300800323486328,9.501999556960072e-06,0.032550301402807236,0.10304100066423416,1.5669100321247242e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaleutn
2460140.7620833,2,2386262082015,20.62579917907715,/ztf/archive/sci/2023/0715/262072/ztf_20230715262072_000795_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2386,20,795,26.308500289916992,8.84237033460522e-06,0.03133330121636391,0.0984807014465332,1.4580699826183263e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaleutn
2460140.784456,1,2386284452015,20.791200637817383,/ztf/archive/sci/2023/0715/284444/ztf_20230715284444_000795_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2386,20,795,26.322599411010742,2.2474499928648584e-05,0.04996680095791817,-0.13785499334335327,3.796600140049122e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaleutn
