jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460016.8371528,2,2262337156015,19.0231990814209,/ztf/archive/sci/2023/0313/336979/ztf_20230313336979_000789_zr_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2262,60,789,25.282899856567383,8.157349657267332e-05,0.05920590087771416,0.10035999864339828,0.00010968699643854052,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaoifnx
2460016.8376157,2,2262337611515,18.336700439453125,/ztf/archive/sci/2023/0313/337616/ztf_20230313337616_000819_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2262,15,819,24.59749984741211,7.964800170157105e-05,0.05214039981365204,0.08594200015068054,0.00011553100193850696,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaoifnx
2460020.7170718,1,2266217071515,20.623699188232422,/ztf/archive/sci/2023/0317/217072/ztf_20230317217072_000819_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2266,15,819,26.32509994506836,3.282109901192598e-05,0.039149701595306396,-0.1161549985408783,4.563499896903522e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaoifnx
2460020.7175463,1,2266217544815,20.519399642944336,/ztf/archive/sci/2023/0317/217535/ztf_20230317217535_000788_zg_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2266,48,788,26.097999572753906,4.6076100261416286e-05,0.04546570032835007,-0.05885830149054527,6.338310049613938e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaoifnx
2460020.8075579,2,2266307554815,20.336299896240234,/ztf/archive/sci/2023/0317/307558/ztf_20230317307558_000788_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2266,48,788,26.055200576782227,2.9908400392741896e-05,0.036635298281908035,0.09363310039043427,4.14673013438005e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaoifnx
2460020.8146644,2,2266314661515,20.737600326538086,/ztf/archive/sci/2023/0317/314664/ztf_20230317314664_000819_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2266,15,819,26.227100372314453,1.5817899111425504e-05,0.027322499081492424,0.10096900165081024,2.1552399630309083e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaoifnx
2460020.8151389,2,2266315136015,20.497600555419922,/ztf/archive/sci/2023/0317/315139/ztf_20230317315139_000789_zr_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2266,60,789,26.117700576782227,1.2146199878770858e-05,0.02359680086374283,0.11543399840593338,1.6586800484219566e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaoifnx
2460029.8846296,1,2275384626015,20.292800903320312,/ztf/archive/sci/2023/0326/384618/ztf_20230326384618_000789_zg_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2275,60,789,26.185800552368164,2.9190499844844453e-05,0.036280300468206406,-0.04408400133252144,4.072560113854706e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaoifnx
2460029.8850926,1,2275385091515,20.44379997253418,/ztf/archive/sci/2023/0326/385093/ztf_20230326385093_000819_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2275,15,819,26.335899353027344,3.886199920088984e-05,0.04192499816417694,-0.1262959986925125,5.4667700169375166e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaoifnx
2460030.8543634,2,2276354364815,20.106399536132812,/ztf/archive/sci/2023/0327/354248/ztf_20230327354248_000788_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2276,48,788,26.047500610351562,3.699809894897044e-05,0.04076100140810013,0.10383100062608719,5.0967701099580154e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaoifnx
