jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460056.9209259,1,2302420922515,20.746200561523438,/ztf/archive/sci/2023/0422/420914/ztf_20230422420914_000636_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2302,25,636,26.356599807739258,1.4568799997505266e-06,0.016997400671243668,-0.08575589954853058,4.2774299799930304e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460056.9662269,2,2302466222515,20.74679946899414,/ztf/archive/sci/2023/0422/466227/ztf_20230422466227_000636_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2302,25,636,26.364900588989258,1.6010700392143917e-06,0.017752699553966522,0.08330749720335007,4.713539965450764e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460057.955463,2,2303455464815,20.202899932861328,/ztf/archive/sci/2023/0423/455463/ztf_20230423455463_001632_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2303,48,1632,25.968799591064453,3.0347800930030644e-06,0.022862400859594345,0.08053659647703171,9.201909961120691e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460057.9568866,2,2303456886115,20.18280029296875,/ztf/archive/sci/2023/0423/456875/ztf_20230423456875_001633_zr_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2303,61,1633,26.033599853515625,2.1025000478402944e-06,0.01932689920067787,0.06229240074753761,6.319040039670654e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460058.9204514,2,2304420452515,20.640600204467773,/ztf/archive/sci/2023/0424/420405/ztf_20230424420405_000636_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2304,25,636,26.271499633789062,9.926729944709223e-07,0.014046000316739082,0.08278580009937286,2.9096800062689e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460058.9580556,2,2304458056115,20.32349967956543,/ztf/archive/sci/2023/0424/458056/ztf_20230424458056_001633_zr_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2304,61,1633,25.957399368286133,1.3520300399250118e-06,0.015584999695420265,0.07211589813232422,4.04346019422519e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460058.9663426,1,2304466342515,20.809200286865234,/ztf/archive/sci/2023/0424/466343/ztf_20230424466343_000636_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2304,25,636,26.175100326538086,2.4566900265199365e-06,0.022078799083828926,-0.04869399964809418,7.230089977383614e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460060.9066319,1,2306406632515,20.547000885009766,/ztf/archive/sci/2023/0426/406620/ztf_20230426406620_000636_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2306,25,636,26.259199142456055,2.0421200588316424e-06,0.020089399069547653,-0.048478398472070694,6.022240086167585e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460060.9612616,2,2306461262515,20.51959991455078,/ztf/archive/sci/2023/0426/461250/ztf_20230426461250_000636_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2306,25,636,26.319900512695312,9.256900170839799e-07,0.013432400301098824,0.08751030266284943,2.7240801045991248e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460062.867581,2,2308367584815,20.284900665283203,/ztf/archive/sci/2023/0428/367581/ztf_20230428367581_001632_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2308,48,1632,26.03420066833496,3.2678899515303783e-06,0.02390879951417446,0.0808115005493164,9.853970368567389e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460062.9643866,2,2308464382515,20.849700927734375,/ztf/archive/sci/2023/0428/464363/ztf_20230428464363_000636_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2308,25,636,26.329599380493164,1.660359998822969e-06,0.018152400851249695,0.08400090038776398,4.867320058110636e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460063.8392014,2,2309339204815,20.016700744628906,/ztf/archive/sci/2023/0429/339201/ztf_20230429339201_001632_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2309,48,1632,26.03179931640625,2.844639993782039e-06,0.022282399237155914,0.07755789905786514,8.57167015055893e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460063.8520486,2,2309352046115,20.162599563598633,/ztf/archive/sci/2023/0429/352049/ztf_20230429352049_001633_zr_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2309,61,1633,26.019699096679688,1.7258299749300932e-06,0.017517000436782837,0.07150399684906006,5.176740160095505e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460064.8777546,2,2310377754815,19.7278995513916,/ztf/archive/sci/2023/0430/377755/ztf_20230430377755_001632_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2310,48,1632,25.887500762939453,5.317169780028053e-06,0.030303699895739555,0.07375109940767288,1.6083900845842436e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460064.8910764,2,2310391076115,19.80459976196289,/ztf/archive/sci/2023/0430/391076/ztf_20230430391076_001633_zr_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2310,61,1633,25.92259979248047,4.832670128962491e-06,0.029426300898194313,0.06262390315532684,1.4485300198430195e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460064.94625,2,2310446252515,20.802900314331055,/ztf/archive/sci/2023/0430/446238/ztf_20230430446238_000636_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2310,25,636,26.328100204467773,1.446970031793171e-06,0.016840899363160133,0.0826663002371788,4.256799911672715e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
2460064.9647801,1,2310464782515,20.90570068359375,/ztf/archive/sci/2023/0430/464769/ztf_20230430464769_000636_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2310,25,636,26.286699295043945,1.6527800426047179e-06,0.018069399520754814,-0.07106640189886093,4.856479790760204e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaprugo
