jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460016.9066435,1,2262406640015,20.13629913330078,/ztf/archive/sci/2023/0313/406551/ztf_20230313406551_000759_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2262,0,759,26.234899520874023,1.1474900020402856e-05,0.03077640011906624,-0.07353299856185913,1.8676399122341536e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aasbtrz
2460016.9326852,2,2262432680015,20.258800506591797,/ztf/archive/sci/2023/0313/432674/ztf_20230313432674_000759_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2262,0,759,26.149700164794922,6.4209798438241705e-06,0.02325800061225891,0.099755197763443,1.0064600246550981e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aasbtrz
2460021.8427199,1,2267342710015,20.225000381469727,/ztf/archive/sci/2023/0318/342708/ztf_20230318342708_000759_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2267,0,759,26.104799270629883,1.4168200323183555e-05,0.0341917984187603,-0.056874800473451614,2.3081500330590643e-05,t17_f5_c3,2.267342710015015e+18,t,6.0,467.6570129394531,2982.489990234375,229.2575828,44.8026858,20.470800399780273,0.3085240125656128,0.9914489984512329,20.631200790405273,0.4713999927043915,0.25593501329421997,19.499000549316406,0.04800000041723251,2.9790000915527344,0.08799999952316284,0.214819997549057,0.16037100553512573,1.5141199827194214,0.48899999260902405,98.00509643554688,-0.4062429964542389,2.0,1.0889999866485596,0.8809999823570251,0.7192310094833374,0.5818570256233215,1.2360899448394775,4.0,0.0,0.8314290046691895,0.980476975440979,20.696699142456055,0.6407999992370605,229.257532,44.8027481,5.82963,ZTF19aasbtrz
2460021.952419,2,2267452410015,20.331899642944336,/ztf/archive/sci/2023/0318/452419/ztf_20230318452419_000759_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2267,0,759,26.16069984436035,7.434180133714108e-06,0.025046000257134438,0.10405600070953369,1.1613299648161046e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aasbtrz
2460032.8075231,1,2278307520015,20.00550079345703,/ztf/archive/sci/2023/0329/307512/ztf_20230329307512_000759_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2278,0,759,26.243000030517578,1.1827300113509409e-05,0.03127669915556908,-0.0853068009018898,1.9372899259906262e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aasbtrz
2460032.9129977,2,2278412990015,20.657499313354492,/ztf/archive/sci/2023/0329/412986/ztf_20230329412986_000759_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2278,0,759,26.15839958190918,6.5024200921470765e-06,0.023419199511408806,0.10418099910020828,1.0175500392506365e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aasbtrz
2460042.8842361,1,2288384230015,19.649900436401367,/ztf/archive/sci/2023/0408/384213/ztf_20230408384213_000759_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2288,0,759,26.145599365234375,1.5510100638493896e-05,0.03444230183959007,-0.05136699974536896,2.799709909595549e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aasbtrz
2460042.9262847,2,2288426280015,19.85300064086914,/ztf/archive/sci/2023/0408/426273/ztf_20230408426273_000759_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2288,0,759,26.159900665283203,8.403299943893217e-06,0.026621399447321892,0.10124800354242325,1.3176399988878984e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aasbtrz
2460044.7818171,2,2290281810015,20.14459991455078,/ztf/archive/sci/2023/0410/281806/ztf_20230410281806_000759_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2290,0,759,26.149499893188477,7.181120054156054e-06,0.024443700909614563,0.09811049699783325,1.1157600056321826e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aasbtrz
2460044.8232176,1,2290323210015,20.1658992767334,/ztf/archive/sci/2023/0410/323206/ztf_20230410323206_000759_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2290,0,759,26.2814998626709,8.633530342194717e-06,0.026852799579501152,-0.06963759660720825,1.3783400390821043e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aasbtrz
2460044.8441898,1,2290344181315,20.21500015258789,/ztf/archive/sci/2023/0410/344039/ztf_20230410344039_000760_zg_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2290,13,760,26.33180046081543,1.969920049305074e-05,0.037591200321912766,-0.059286799281835556,3.265000123064965e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aasbtrz
2460044.8852778,2,2290385271315,20.317100524902344,/ztf/archive/sci/2023/0410/385255/ztf_20230410385255_000760_zr_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2290,13,760,26.219200134277344,1.4071099940338172e-05,0.03205399960279465,0.11552400141954422,2.23123006435344e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aasbtrz
