jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460032.9224884,2,2278422485815,20.388200759887695,/ztf/archive/sci/2023/0329/422488/ztf_20230329422488_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.27842248581501e+18,f,2.0,2278,58,532,344.2040100097656,1037.5799560546875,235.0383681,14.3539124,20.284299850463867,0.24922099709510803,1.0615899562835693,20.303199768066406,0.3107999861240387,0.5276150107383728,19.259000778198242,0.017999999225139618,0.4009999930858612,0.0020000000949949026,-0.002512000035494566,0.018914999440312386,1.4599699974060059,0.3869999945163727,344.2040100097656,0.08497100323438644,2.0,0.9399999976158142,0.8970000147819519,0.6438500285148621,0.6143969893455505,1.0479400157928467,5.0,0.0,0.9171429872512817,1.0,20.125099182128906,0.337799996137619,235.0383375,14.3540579,5.44076,26.268299102783203,3.4680999760894338e-06,0.023172300308942795,0.10720399767160416,6.851889793324517e-06,t17_f5_c3,ZTF19aasfnmk
2460042.8955093,1,2288395505815,19.31209945678711,/ztf/archive/sci/2023/0408/395498/ztf_20230408395498_000532_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2288,58,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.32509994506836,1.574139969306998e-05,0.039088498800992966,-0.011180499568581581,4.335650010034442e-05,t17_f5_c3,ZTF19aasfnmk
2460044.8470139,1,2290347015815,19.951099395751953,/ztf/archive/sci/2023/0410/347014/ztf_20230410347014_000532_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2290,58,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.36359977722168,7.407420071103843e-06,0.03214909881353378,-0.032956600189208984,1.663879993429873e-05,t17_f5_c3,ZTF19aasfnmk
2460044.8975579,2,2290397555815,20.023099899291992,/ztf/archive/sci/2023/0410/397546/ztf_20230410397546_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2290,58,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.283899307250977,4.838309905608185e-06,0.027238499373197556,0.10781499743461609,9.60395027505001e-06,t17_f5_c3,ZTF19aasfnmk
2460046.8871065,2,2292387105815,20.379499435424805,/ztf/archive/sci/2023/0412/387049/ztf_20230412387049_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2292,58,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.262800216674805,3.913759883289458e-06,0.024485299363732338,0.10655699670314789,7.82173992774915e-06,t17_f5_c3,ZTF19aasfnmk
2460046.9484954,1,2292448495815,19.319599151611328,/ztf/archive/sci/2023/0412/448484/ztf_20230412448484_000532_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2292,58,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.62070083618164,1.9375800548004918e-05,0.04273879900574684,-0.007470270153135061,5.419189983513206e-05,t17_f5_c3,ZTF19aasfnmk
2460051.9054051,2,2297405405815,20.435199737548828,/ztf/archive/sci/2023/0417/405394/ztf_20230417405394_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.29740540581501e+18,f,0.0,2297,58,532,357.05499267578125,1023.010009765625,235.038204,14.3539461,20.277999877929688,0.26960599422454834,1.1328599452972412,20.2810001373291,0.29019999504089355,0.6060389876365662,19.259000778198242,0.017999999225139618,0.4009999930858612,0.0020000000949949026,0.16168199479579926,0.0029899999499320984,1.4685900211334229,0.777999997138977,357.05499267578125,0.1541920006275177,2.0,0.7850000262260437,0.5699999928474426,0.5345249772071838,0.3881259858608246,1.3771899938583374,5.0,0.0,0.8742859959602356,0.9782530069351196,20.26259994506836,0.3652999997138977,235.0383375,14.3540579,7.94016,26.288999557495117,3.5751700124819763e-06,0.023506399244070053,0.10498599708080292,7.035569979052525e-06,t17_f5_c3,ZTF19aasfnmk
2460053.8951968,1,2299395195815,20.262800216674805,/ztf/archive/sci/2023/0419/395197/ztf_20230419395197_000532_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.29939519581501e+18,f,3.0,2299,58,532,335.81201171875,1027.260009765625,235.0383228,14.3539482,20.500900268554688,0.32782500982284546,0.8432570099830627,20.574199676513672,0.3529999852180481,0.31514400243759155,19.593000411987305,0.017000000923871994,0.45399999618530273,-0.026000000536441803,0.029054999351501465,0.07333400100469589,2.5399999618530273,0.4399999976158142,335.81201171875,-0.3114300072193146,1.4561400413513184,1.3509999513626099,1.0870000123977661,0.5318899750709534,0.42795300483703613,1.2428699731826782,4.0,0.0,0.6171429753303528,0.9942039847373962,20.60770034790039,0.46650001406669617,235.0383263,14.3540368,5.91843,26.370899200439453,9.372260137752164e-06,0.03650439903140068,-0.043320298194885254,2.0533099814201705e-05,t17_f5_c3,ZTF19aasfnmk
2460053.9233796,2,2299423375815,20.222200393676758,/ztf/archive/sci/2023/0419/423368/ztf_20230419423368_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.29942337581501e+18,f,4.0,2299,58,532,345.5950012207031,1040.050048828125,235.0384113,14.3540846,20.26609992980957,0.2760930061340332,0.7832919955253601,20.001699447631836,0.26159998774528503,0.2719219923019409,19.259000778198242,0.017999999225139618,0.4009999930858612,0.0020000000949949026,0.16665099561214447,-0.2643530070781708,2.700000047683716,0.5879999995231628,345.5950012207031,0.22047899663448334,1.1323299407958984,0.7789999842643738,0.7490000128746033,0.2885189950466156,0.2774069905281067,1.0400500297546387,5.0,0.0,0.9371430277824402,0.928879976272583,19.762300491333008,0.2687999904155731,235.0383375,14.3540579,6.51059,26.276100158691406,3.611429974625935e-06,0.023643000051379204,0.10990700125694275,7.132709924917435e-06,t17_f5_c3,ZTF19aasfnmk
2460055.8915972,2,2301391595815,20.479900360107422,/ztf/archive/sci/2023/0421/391597/ztf_20230421391597_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.30139159581501e+18,f,3.0,2301,58,532,350.0740051269531,1019.7999877929688,235.0383325,14.353988,20.250999450683594,0.19813300669193268,1.0015300512313843,20.169099807739258,0.2919999957084656,0.24987800419330597,19.259000778198242,0.017999999225139618,0.4009999930858612,0.0020000000949949026,0.23762600123882294,-0.08188100159168243,2.5299999713897705,0.9210000038146973,350.0740051269531,0.31084099411964417,0.9982669949531555,0.7590000033378601,0.703000009059906,0.30000001192092896,0.277866005897522,1.0796600580215454,3.0,0.0,0.9614289999008179,0.9763630032539368,20.278600692749023,0.4131999909877777,235.0383375,14.3540579,7.12933,26.283000946044922,3.788250069192145e-06,0.02416200004518032,0.10250899940729141,7.49217997508822e-06,t17_f5_c3,ZTF19aasfnmk
2460055.9414815,1,2301441485815,20.484699249267578,/ztf/archive/sci/2023/0421/441481/ztf_20230421441481_000532_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.30144148581501e+18,f,2.0,2301,58,532,358.13800048828125,1022.1099853515625,235.0384123,14.3539553,20.443500518798828,0.25665101408958435,0.8621789813041687,20.227699279785156,0.27959999442100525,0.41422000527381897,19.593000411987305,0.017000000923871994,0.45399999618530273,-0.026000000536441803,0.11942999809980392,-0.21575799584388733,3.1500000953674316,0.8769999742507935,358.13800048828125,0.256987988948822,0.8768579959869385,1.034999966621399,0.8109999895095825,0.32857099175453186,0.25745999813079834,1.2762000560760498,5.0,0.0,0.9100000262260437,0.998462975025177,20.24970054626465,0.36579999327659607,235.0383263,14.3540368,7.22793,26.374500274658203,5.76961019760347e-06,0.02988249994814396,-0.038468100130558014,1.1639600415946916e-05,t17_f5_c3,ZTF19aasfnmk
2460057.8382639,1,2303338265815,20.604900360107422,/ztf/archive/sci/2023/0423/338264/ztf_20230423338264_000532_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.30333826581501e+18,f,1.0,2303,58,532,375.5260009765625,1007.7100219726562,235.0383008,14.3541362,20.65920066833496,0.278658002614975,1.1590399742126465,20.639999389648438,0.40459999442100525,0.3661459982395172,19.593000411987305,0.017000000923871994,0.45399999618530273,-0.026000000536441803,0.2706429958343506,-0.019238999113440514,1.2502399682998657,0.671999990940094,375.5260009765625,-0.03506999835371971,2.0,0.6119999885559082,0.5649999976158142,0.48950499296188354,0.4519129991531372,1.0831899642944336,6.0,0.0,0.9357140064239502,0.9654470086097717,20.859899520874023,0.6342999935150146,235.0383263,14.3540368,6.06017,26.349199295043945,5.349650109565118e-06,0.028450200334191322,-0.04336110129952431,1.081020036508562e-05,t17_f5_c3,ZTF19aasfnmk
2460057.893831,2,2303393835815,19.934099197387695,/ztf/archive/sci/2023/0423/393831/ztf_20230423393831_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2303,58,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93120002746582,6.647660029557301e-06,0.031763799488544464,0.10574399679899216,1.3194799976190552e-05,t17_f5_c3,ZTF19aasfnmk
2460059.8724769,1,2305372475815,20.59320068359375,/ztf/archive/sci/2023/0425/372477/ztf_20230425372477_000532_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.30537247581501e+18,f,1.0,2305,58,532,365.1650085449219,1005.72998046875,235.0383346,14.3540517,20.239500045776367,0.22911100089550018,1.1568200588226318,20.04159927368164,0.19050000607967377,0.05829700082540512,19.593000411987305,0.017000000923871994,0.45399999618530273,-0.026000000536441803,0.026378000155091286,-0.1979140043258667,3.049999952316284,0.7429999709129333,365.1650085449219,0.5515530109405518,1.0198500156402588,1.2690000534057617,1.0110000371932983,0.4160659909248352,0.33147498965263367,1.2551900148391724,3.0,0.0,0.7642859816551208,1.0,20.054100036621094,0.24660000205039978,235.0383263,14.3540368,9.03173,26.31450080871582,7.55893006498809e-06,0.0340672992169857,-0.05178280174732208,1.5049199646455236e-05,t17_f5_c3,ZTF19aasfnmk
2460059.9233565,2,2305423355815,20.239900588989258,/ztf/archive/sci/2023/0425/423356/ztf_20230425423356_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.30542335581501e+18,f,3.0,2305,58,532,367.9880065917969,1018.1500244140625,235.0382428,14.3541279,20.32080078125,0.2936230003833771,0.9749199748039246,19.9424991607666,0.24629999697208405,0.41025298833847046,19.259000778198242,0.017999999225139618,0.4009999930858612,0.0020000000949949026,-0.1639389991760254,-0.37832000851631165,2.4000000953674316,0.5680000185966492,367.9880065917969,0.29740598797798157,1.2617700099945068,0.7480000257492065,0.6389999985694885,0.31166699528694153,0.26625001430511475,1.1705800294876099,9.0,0.0,0.8514289855957031,0.8522300124168396,19.770999908447266,0.2694000005722046,235.0383375,14.3540579,6.89028,26.19379997253418,3.477040081634186e-06,0.02318740077316761,0.10596299916505814,6.869000117148971e-06,t17_f5_c3,ZTF19aasfnmk
2460061.9118403,1,2307411845815,20.64189910888672,/ztf/archive/sci/2023/0427/411840/ztf_20230427411840_000532_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.30741184581501e+18,f,2.0,2307,58,532,372.2409973144531,1005.0800170898438,235.0382882,14.3539842,20.516199111938477,0.28237399458885193,1.4862500429153442,20.257200241088867,0.25189998745918274,0.2263070046901703,19.593000411987305,0.017000000923871994,0.45399999618530273,-0.026000000536441803,-0.05119999870657921,-0.25901201367378235,1.9700000286102295,0.7300000190734863,372.2409973144531,0.3847230076789856,1.3892600536346436,1.4550000429153442,0.972000002861023,0.7385789752006531,0.4934009909629822,1.4969099760055542,5.0,0.0,0.47857099771499634,1.0,20.212299346923828,0.30970001220703125,235.0383263,14.3540368,7.39558,26.3351993560791,5.984779818390962e-06,0.03032130002975464,-0.03587460145354271,1.1990900020464323e-05,t17_f5_c3,ZTF19aasfnmk
2460061.9424306,2,2307442435815,20.369300842285156,/ztf/archive/sci/2023/0427/442419/ztf_20230427442419_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.30744243581501e+18,f,2.0,2307,58,532,371.5150146484375,1015.1099853515625,235.0383751,14.3541137,20.304899215698242,0.23989200592041016,1.3530700206756592,20.445499420166016,0.3813999891281128,0.2374430000782013,19.259000778198242,0.017999999225139618,0.4009999930858612,0.0020000000949949026,0.4355959892272949,0.14056700468063354,1.3787599802017212,0.6610000133514404,371.5150146484375,-0.07617899775505066,2.0,0.8460000157356262,0.7749999761581421,0.6135939955711365,0.5620980262756348,1.0916099548339844,3.0,0.0,0.945713996887207,1.0,20.632699966430664,0.580299973487854,235.0383375,14.3540579,6.32544,26.24690055847168,4.091490154678468e-06,0.02511410042643547,0.10890500247478485,8.0719000834506e-06,t17_f5_c3,ZTF19aasfnmk
2460063.9005208,2,2309400525815,20.44729995727539,/ztf/archive/sci/2023/0429/400521/ztf_20230429400521_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.30940052581501e+18,f,1.0,2309,58,532,401.48199462890625,995.35400390625,235.0383158,14.3541063,20.583499908447266,0.34898099303245544,1.0322599411010742,20.464000701904297,0.4092999994754791,0.18936599791049957,19.259000778198242,0.017999999225139618,0.4009999930858612,0.0020000000949949026,0.014031000435352325,-0.11948399990797043,1.213070034980774,0.453000009059906,401.48199462890625,-0.01666799932718277,2.0,0.7360000014305115,0.6019999980926514,0.6067270040512085,0.4962629973888397,1.2225899696350098,6.0,0.0,0.9257140159606934,0.9903780221939087,20.864200592041016,0.7578999996185303,235.0383375,14.3540579,5.11176,26.262500762939453,3.2185300824494334e-06,0.022096000611782074,0.10475999861955643,6.351709998853039e-06,t17_f5_c3,ZTF19aasfnmk
2460063.9362384,1,2309436235815,20.671499252319336,/ztf/archive/sci/2023/0429/436238/ztf_20230429436238_000532_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2309,58,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.325000762939453,5.906209935346851e-06,0.03006169945001602,-0.03385090082883835,1.1844999789900612e-05,t17_f5_c3,ZTF19aasfnmk
2460067.8685764,2,2313368575815,19.27039909362793,/ztf/archive/sci/2023/0503/368576/ztf_20230503368576_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2313,58,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.22879981994629,9.867660082818475e-06,0.03871870040893555,0.1053910031914711,1.9656399672385305e-05,t17_f5_c3,ZTF19aasfnmk
2460075.8537616,2,2321353765815,20.16469955444336,/ztf/archive/sci/2023/0511/353461/ztf_20230511353461_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2321,58,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.253400802612305,5.107569904794218e-06,0.02799759991466999,0.10797200351953506,1.0081300388264935e-05,t17_f5_c3,ZTF19aasfnmk
2460078.8004514,2,2324300455815,20.44569969177246,/ztf/archive/sci/2023/0514/300440/ztf_20230514300440_000532_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.32430045581501e+18,0,2.0,2324,58,532,377.7760009765625,1007.9600219726562,235.0383255,14.3539827,20.264699935913086,0.2366500049829483,0.9457889795303345,20.12310028076172,0.27709999680519104,0.27074700593948364,19.259000778198242,0.017999999225139618,0.4009999930858612,0.0020000000949949026,0.7153040170669556,-0.14156800508499146,2.4200000762939453,0.6179999709129333,377.7760009765625,0.3225629925727844,1.0871700048446655,1.0640000104904175,0.8830000162124634,0.43966901302337646,0.36487600207328796,1.2049800157546997,2.0,0.0,0.9228569865226746,1.0,20.176300048828125,0.3725000023841858,235.0383375,14.3540579,7.3644,26.228700637817383,4.141219960729359e-06,0.02515760064125061,0.106734998524189,8.177699783118442e-06,t17_f5_c3,ZTF19aasfnmk
2460053.8996644,3,2299399665815,19.62190055847168,/ztf/archive/sci/2023/0419/399653/ztf_20230419399653_000532_zi_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2299,58,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.616300582885742,2.424930016786675e-06,0.028140699490904808,0.2010989934206009,1.6326099284924567e-05,t17_f5_c3,ZTF19aasfnmk
2460055.869456,2,2301369452215,20.57069969177246,/ztf/archive/sci/2023/0421/369456/ztf_20230421369456_001578_zr_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2301,22,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.38520050048828,5.277309810480801e-06,0.026989800855517387,0.09210409969091415,1.061429975379724e-05,t17_f5_c3,ZTF19aasfnmk
2460056.8965509,3,2302396555815,19.827499389648438,/ztf/archive/sci/2023/0422/396424/ztf_20230422396424_000532_zi_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2302,58,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.611000061035156,2.998810032295296e-06,0.03143090009689331,0.19398599863052368,1.9799799702013843e-05,t17_f5_c3,ZTF19aasfnmk
2460057.8520602,2,2303352062215,20.57430076599121,/ztf/archive/sci/2023/0423/352049/ztf_20230423352049_001578_zr_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2303,22,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.353099822998047,4.593619905790547e-06,0.025109799578785896,0.0985691025853157,9.250809853256214e-06,t17_f5_c3,ZTF19aasfnmk
2460058.8704167,2,2304370412215,20.61639976501465,/ztf/archive/sci/2023/0424/370405/ztf_20230424370405_001578_zr_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2304,22,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.28820037841797,6.336929800454527e-06,0.029356999322772026,0.09436310082674026,1.2829899787902832e-05,t17_f5_c3,ZTF19aasfnmk
2460059.8939699,2,2305393962215,20.546600341796875,/ztf/archive/sci/2023/0425/393958/ztf_20230425393958_001578_zr_c06_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2305,22,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.28380012512207,7.4919098551617935e-06,0.032061800360679626,0.09847240149974823,1.5122300283110235e-05,t17_f5_c3,ZTF19aasfnmk
2460059.9170718,3,2305417075815,19.53219985961914,/ztf/archive/sci/2023/0425/417060/ztf_20230425417060_000532_zi_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2305,58,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.55590057373047,2.711670049393433e-06,0.029932599514722824,0.20071299374103546,1.7896099961944856e-05,t17_f5_c3,ZTF19aasfnmk
