jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459747.7408333,2,1993240830415,20.522600173950195,/ztf/archive/sci/2022/0617/240822/ztf_20220617240822_000845_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.993240830415015e+18,t,8.0,1993,4,845,2320.39990234375,1188.9200439453125,217.2604866,66.9784952,20.077899932861328,0.15328699350357056,0.9959650039672852,20.24329948425293,0.3075999915599823,0.17759199440479279,20.6560001373291,0.07599999755620956,1.2619999647140503,-0.054999999701976776,0.26482999324798584,0.16543300449848175,2.190000057220459,0.9649999737739563,752.0989990234375,0.2792780101299286,1.1255099773406982,0.7609999775886536,0.7110000252723694,0.34748899936676025,0.32465800642967224,1.0703200101852417,4.0,0.0,0.8728569746017456,0.9265649914741516,20.10740089416504,0.34769999980926514,217.2604988,66.9784476,10.1032,26.311899185180664,6.984570063650608e-06,0.0200973991304636,0.09790530055761337,1.1147300028824247e-05,t17_f5_c3,ZTF19aasfubg
2459747.7920486,1,1993292040415,20.109100341796875,/ztf/archive/sci/2022/0617/292002/ztf_20220617292002_000845_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.993292040415015e+18,t,1.0,1993,4,845,2310.179931640625,1185.3900146484375,217.2604584,66.9783939,20.181299209594727,0.25196900963783264,0.884967029094696,20.005399703979492,0.35350000858306885,0.33460599184036255,21.145999908447266,0.05999999865889549,0.640999972820282,0.013000000268220901,0.30458399653434753,-0.17589299380779266,1.2540199756622314,0.9819999933242798,762.3159790039062,0.10374400019645691,2.0,0.7680000066757202,0.5210000276565552,0.6124280095100403,0.4154619872570038,1.4740899801254272,6.0,0.0,0.554286003112793,0.9065939784049988,20.28660011291504,0.5871000289916992,217.2603943,66.9784879,7.2519,26.37929916381836,2.324960041732993e-05,0.036346498876810074,-0.09463430196046829,3.818440018221736e-05,t17_f5_c3,ZTF19aasfubg
2459749.7853356,1,1995285330415,20.217500686645508,/ztf/archive/sci/2022/0619/285220/ztf_20220619285220_000845_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.995285330415015e+18,t,1.0,1995,4,845,2301.909912109375,1236.800048828125,217.2607228,66.9783855,19.967899322509766,0.14674200117588043,0.9917569756507874,19.627199172973633,0.16509999334812164,0.5776150226593018,21.145999908447266,0.05999999865889549,0.640999972820282,0.013000000268220901,-0.40490099787712097,-0.3406530022621155,5.110000133514404,0.8960000276565552,770.593994140625,0.590287983417511,0.6789640188217163,1.2430000305175781,1.2269999980926514,0.24324899911880493,0.24011699855327606,1.0130399465560913,2.0,0.0,0.33142900466918945,1.0,19.56130027770996,0.19869999587535858,217.2603943,66.9784879,11.083,26.366899490356445,1.7430900697945617e-05,0.031243199482560158,-0.10680700093507767,2.9760500183328986e-05,t17_f5_c3,ZTF19aasfubg
2459749.8460417,2,1995346040415,19.808399200439453,/ztf/archive/sci/2022/0619/346030/ztf_20220619346030_000845_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.995346040415015e+18,t,5.0,1995,4,845,2309.830078125,1217.6800537109375,217.2605427,66.9785863,20.121299743652344,0.22081999480724335,0.8987929821014404,20.821500778198242,0.7781999707221985,0.5115789771080017,20.6560001373291,0.07599999755620956,1.2619999647140503,-0.054999999701976776,0.14333300292491913,0.700160026550293,4.190000057220459,0.8320000171661377,762.6690063476562,-1.013069987297058,0.7572450041770935,0.8690000176429749,0.7649999856948853,0.20739899575710297,0.18257799744606018,1.135949969291687,6.0,0.0,0.6885709762573242,0.962253987789154,20.634199142456055,0.8417999744415283,217.2604988,66.9784476,6.8453,26.29129981994629,1.091070043912623e-05,0.02510939911007881,0.07941380143165588,1.735379919409752e-05,t17_f5_c3,ZTF19aasfubg
2459751.8412847,1,1997341280415,20.318599700927734,/ztf/archive/sci/2022/0621/341227/ztf_20220621341227_000845_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.997341280415015e+18,t,2.0,1997,4,845,2307.7900390625,1199.8199462890625,217.2605325,66.9784865,20.049999237060547,0.16102400422096252,1.0968600511550903,20.078399658203125,0.27970001101493835,0.18948900699615479,21.145999908447266,0.05999999865889549,0.640999972820282,0.013000000268220901,0.2059990018606186,0.02838199958205223,2.6600000858306885,0.9509999752044678,764.708984375,0.24020199477672577,1.0562800168991089,0.7929999828338623,0.6909999847412109,0.29811999201774597,0.25977399945259094,1.1476099491119385,4.0,0.0,0.9042860269546509,1.0,20.061399459838867,0.3529999852180481,217.2603943,66.9784879,10.4774,26.29800033569336,1.3329199646250345e-05,0.027536900714039803,-0.08860280364751816,2.1813999410369433e-05,t17_f5_c3,ZTF19aasfubg
2459751.8796644,2,1997379660415,20.10810089111328,/ztf/archive/sci/2022/0621/379549/ztf_20220621379549_000845_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1997,4,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.23390007019043,9.240729923476465e-06,0.023166999220848083,0.1072629988193512,1.4755099982721731e-05,t17_f5_c3,ZTF19aasfubg
2459753.7882639,1,1999288260415,20.38479995727539,/ztf/archive/sci/2022/0623/288229/ztf_20220623288229_000845_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.999288260415015e+18,t,2.0,1999,4,845,2306.81005859375,1212.5799560546875,217.2605982,66.9784708,20.060400009155273,0.19890299439430237,1.272379994392395,19.97010040283203,0.22529999911785126,0.28541299700737,21.145999908447266,0.05999999865889549,0.640999972820282,0.013000000268220901,0.07437100261449814,-0.09029699862003326,4.239999771118164,0.9409999847412109,765.6909790039062,0.4146749973297119,0.7028020024299622,0.9919999837875366,0.7480000257492065,0.23396199941635132,0.17641499638557434,1.326200008392334,4.0,0.0,0.5685709714889526,0.9995819926261902,19.953500747680664,0.2840000092983246,217.2603943,66.9784879,11.0972,26.324399948120117,1.7574799130670726e-05,0.031779900193214417,-0.14706599712371826,2.8623899197555147e-05,t17_f5_c3,ZTF19aasfubg
2459753.8227315,2,1999322730415,20.258499145507812,/ztf/archive/sci/2022/0623/322720/ztf_20220623322720_000845_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.999322730415015e+18,t,5.0,1999,4,845,2312.449951171875,1199.949951171875,217.2605244,66.9784779,20.010099411010742,0.1967419981956482,1.925879955291748,19.909099578857422,0.2750000059604645,0.11500000208616257,20.6560001373291,0.07599999755620956,1.2619999647140503,-0.054999999701976776,0.43880900740623474,-0.10095199942588806,3.1700000762939453,0.9200000166893005,760.0469970703125,0.3493579924106598,0.8131210207939148,0.9490000009536743,0.906000018119812,0.2993690073490143,0.28580400347709656,1.0474599599838257,1.0,0.0,0.7142860293388367,1.0,19.913700103759766,0.35409998893737793,217.2604988,66.9784476,9.32883,26.22909927368164,7.57096995585016e-06,0.020868299528956413,0.08762919902801514,1.198980044136988e-05,t17_f5_c3,ZTF19aasfubg
2459756.7821875,1,2002282180415,20.545299530029297,/ztf/archive/sci/2022/0626/282188/ztf_20220626282188_000845_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.002282180415015e+18,t,6.0,2002,4,845,2309.8701171875,1208.9000244140625,217.2605407,66.9784923,19.996599197387695,0.1252710074186325,0.9774979948997498,19.949399948120117,0.20669999718666077,0.19787900149822235,21.145999908447266,0.05999999865889549,0.640999972820282,0.013000000268220901,0.21126699447631836,-0.04723300039768219,2.630000114440918,0.9739999771118164,762.6279907226562,0.5959420204162598,1.0493600368499756,0.8240000009536743,0.7310000061988831,0.3133080005645752,0.27794700860977173,1.1272200345993042,5.0,0.0,0.8842859864234924,0.9680050015449524,20.084199905395508,0.29899999499320984,217.2603943,66.9784879,12.211,26.382600784301758,1.4575700333807617e-05,0.02905239909887314,-0.10130900144577026,2.333670090592932e-05,t17_f5_c3,ZTF19aasfubg
2459756.8473148,2,2002347310415,20.222000122070312,/ztf/archive/sci/2022/0626/347268/ztf_20220626347268_000845_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2.002347310415015e+18,t,2.0,2002,4,845,2310.60009765625,1184.31005859375,217.2606267,66.9784483,20.063499450683594,0.18119600415229797,0.9722539782524109,19.963499069213867,0.2809999883174896,0.17766399681568146,20.6560001373291,0.07599999755620956,1.2619999647140503,-0.054999999701976776,0.6542239785194397,-0.10000299662351608,2.559999942779541,0.9589999914169312,761.89697265625,0.25853899121284485,1.0717799663543701,0.9210000038146973,0.8560000061988831,0.35976600646972656,0.3343749940395355,1.0759400129318237,2.0,0.0,0.7914289832115173,1.0,19.729700088500977,0.2904999852180481,217.2604988,66.9784476,8.51503,26.2814998626709,1.3155499800632242e-05,0.027491599321365356,0.09817869961261749,2.0961499103577808e-05,t17_f5_c3,ZTF19aasfubg
