jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460191.6711343,2,2437171130815,20.543899536132812,/ztf/archive/sci/2023/0904/171123/ztf_20230904171123_000589_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2437,8,589,26.383100509643555,2.1310700049070874e-06,0.013185200281441212,0.07637230306863785,3.1182898965198547e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaumdqx
2460191.6934491,1,2437193440815,20.416200637817383,/ztf/archive/sci/2023/0904/193438/ztf_20230904193438_000589_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2437,8,589,26.48509979248047,3.4432700886100065e-06,0.01673080027103424,-0.10545799881219864,5.045969828643138e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaumdqx
2460193.7908565,2,2439290850815,20.3710994720459,/ztf/archive/sci/2023/0906/290856/ztf_20230906290856_000589_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2439,8,589,26.28230094909668,2.122819978467305e-06,0.01308239996433258,0.08550780266523361,3.089849997195415e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaumdqx
2460195.6822106,1,2441182210815,20.661800384521484,/ztf/archive/sci/2023/0908/182211/ztf_20230908182211_000589_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2441,8,589,26.364299774169922,3.113819957434316e-06,0.01599789969623089,-0.08247339725494385,4.543489922070876e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaumdqx
2460198.6824653,2,2444182460815,20.71470069885254,/ztf/archive/sci/2023/0911/182454/ztf_20230911182454_000589_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2444,8,589,26.269800186157227,2.9589600671897642e-06,0.015536800026893616,0.08285210281610489,4.314879788580583e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaumdqx
2460198.7086806,1,2444208680815,20.47249984741211,/ztf/archive/sci/2023/0911/208669/ztf_20230911208669_000589_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2444,8,589,26.355499267578125,3.286460014351178e-06,0.01633409969508648,-0.0826094001531601,4.803679985343479e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaumdqx
2460200.6920139,2,2446192010815,20.732099533081055,/ztf/archive/sci/2023/0913/191991/ztf_20230913191991_000589_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2446,8,589,26.361099243164062,2.5734200335136848e-06,0.014507000334560871,0.08005329966545105,3.7485099255718524e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaumdqx
2460200.7138657,1,2446213860815,20.459400177001953,/ztf/archive/sci/2023/0913/213854/ztf_20230913213854_000589_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2446,8,589,26.501100540161133,4.662149876821786e-06,0.019425300881266594,-0.14143100380897522,6.814999778725905e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaumdqx
2460202.6665278,2,2448166520815,20.722299575805664,/ztf/archive/sci/2023/0915/166505/ztf_20230915166505_000589_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2448,8,589,26.3164005279541,2.23694996748236e-06,0.013427499681711197,0.08087579905986786,3.2714799544919515e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaumdqx
2460202.6906366,1,2448190630815,20.46109962463379,/ztf/archive/sci/2023/0915/190625/ztf_20230915190625_000589_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2448,8,589,26.448999404907227,5.053920176578686e-06,0.0203102994710207,-0.11341799795627594,7.376610028586583e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aaumdqx
