jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460183.8737963,2,2429373791815,20.516399383544922,/ztf/archive/sci/2023/0827/373796/ztf_20230827373796_000643_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.429373791815015e+18,t,15.0,2429,18,643,2716.89990234375,1884.93994140625,325.6006738,24.6604977,19.252399444580078,0.09186899662017822,1.2745000123977661,19.454299926757812,0.155799999833107,0.07540600001811981,18.695999145507812,0.029999999329447746,1.6360000371932983,0.09300000220537186,0.23380400240421295,0.20188799500465393,1.840000033378601,0.9829999804496765,355.6000061035156,1.0621299743652344,1.312880039215088,0.7129999995231628,0.6589999794960022,0.38749998807907104,0.35815200209617615,1.0819400548934937,3.0,0.0,0.9628570079803467,0.9997460246086121,19.581199645996094,0.22210000455379486,325.6006495,24.660506,11.4832,26.337400436401367,1.1256399830017472e-06,0.01642340049147606,0.08710750192403793,3.088629910052987e-06,t17_f5_c3,ZTF19aavaltf
2460183.9111574,1,2429411151815,20.487600326538086,/ztf/archive/sci/2023/0827/411157/ztf_20230827411157_000643_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.429411151815015e+18,t,14.0,2429,18,643,2696.070068359375,1888.9100341796875,325.6007219,24.6604601,19.440900802612305,0.11239799857139587,1.0547499656677246,19.455900192260742,0.14390000700950623,0.3244509994983673,19.384000778198242,0.01899999938905239,0.5450000166893005,0.020999999716877937,0.3875269889831543,0.014983000233769417,2.809999942779541,0.9760000109672546,376.4289855957031,1.0316699743270874,0.9515320062637329,0.8169999718666077,0.7699999809265137,0.2907469868659973,0.2740209996700287,1.0610400438308716,4.0,0.0,0.9371430277824402,0.9918670058250427,19.32699966430664,0.16290000081062317,325.6006521,24.6605237,14.3829,26.314899444580078,2.3685199721512618e-06,0.02404480054974556,-0.0532648004591465,6.4453802224306855e-06,t17_f5_c3,ZTF19aavaltf
2460185.7739815,2,2431273981815,19.975099563598633,/ztf/archive/sci/2023/0829/273958/ztf_20230829273958_000643_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2431,18,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.344900131225586,1.5884299955359893e-06,0.01928340084850788,0.08244019746780396,4.357730176707264e-06,t17_f5_c3,ZTF19aavaltf
2460185.7846181,1,2431284615515,19.782400131225586,/ztf/archive/sci/2023/0829/284606/ztf_20230829284606_001640_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2.431284615515015e+18,t,12.0,2431,55,1640,2131.449951171875,2705.56005859375,325.6007276,24.6605311,19.44879913330078,0.21785199642181396,1.8106499910354614,19.954099655151367,0.4674000144004822,0.26097801327705383,19.2549991607666,0.027000000700354576,0.902999997138977,0.06800000369548798,0.6232810020446777,0.5052850246429443,1.4800000190734863,0.9990000128746033,374.9389953613281,-0.1717350035905838,1.6480499505996704,0.5910000205039978,0.5479999780654907,0.3993239998817444,0.3702700138092041,1.07846999168396,6.0,0.0,0.8985710144042969,0.901656985282898,19.566699981689453,0.4198000133037567,325.6006477,24.6605201,9.21825,26.37980079650879,3.031919959539664e-06,0.026016799733042717,-0.04220839962363243,8.460609933536034e-06,t17_f5_c3,ZTF19aavaltf
2460185.785081,1,2431285085515,19.766000747680664,/ztf/archive/sci/2023/0829/285081/ztf_20230829285081_001640_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,2.431285085515015e+18,t,7.0,2431,55,1640,2132.330078125,2705.7900390625,325.6007088,24.660479,19.78420066833496,0.18541599810123444,1.0215500593185425,19.590900421142578,0.33660000562667847,0.23751799762248993,19.2549991607666,0.027000000700354576,0.902999997138977,0.06800000369548798,0.2719689905643463,-0.19332300126552582,1.2311500310897827,0.9089999794960022,374.70599365234375,0.17507299780845642,2.0,0.9290000200271606,0.8619999885559082,0.7545769810676575,0.7001569867134094,1.0777299404144287,4.0,0.0,0.8842859864234924,1.0,20.168500900268555,0.7343999743461609,325.6006477,24.6605201,6.59843,26.37220001220703,3.3199698918906506e-06,0.026975899934768677,-0.03832929953932762,9.282989594794344e-06,t17_f5_c3,ZTF19aavaltf
2460185.9034954,3,2431403491815,19.627500534057617,/ztf/archive/sci/2023/0829/403333/ztf_20230829403333_000643_zi_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.431403491815015e+18,t,8.0,2431,18,643,2750.85009765625,1837.6199951171875,325.6007035,24.6604364,19.27750015258789,0.1571269929409027,1.3859000205993652,18.813899993896484,0.20569999516010284,0.34099701046943665,18.32200050354004,0.032999999821186066,1.5740000009536743,0.11699999868869781,0.7691239714622498,-0.4636169970035553,1.8600000143051147,0.9079999923706055,321.6510009765625,0.8136410117149353,1.2114900350570679,0.6549999713897705,0.6200000047683716,0.3521510064601898,0.33333298563957214,1.0564500093460083,9.0,0.0,0.74857097864151,0.9022089838981628,18.777799606323242,0.25450000166893005,325.6006693,24.6605271,7.91656,25.75149917602539,8.258870138888597e-07,0.01883690059185028,0.19256900250911713,1.2568900274345651e-05,t17_f5_c3,ZTF19aavaltf
2460185.930463,1,2431430461815,19.653600692749023,/ztf/archive/sci/2023/0829/430463/ztf_20230829430463_000643_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.431430461815015e+18,t,5.0,2431,18,643,2701.85009765625,1839.6199951171875,325.6006786,24.6604194,19.46540069580078,0.18836799263954163,1.8436299562454224,18.806800842285156,0.1809999942779541,0.38375499844551086,19.384000778198242,0.01899999938905239,0.5450000166893005,0.020999999716877937,1.2161200046539307,-0.6585639715194702,1.7300000190734863,0.9729999899864197,370.6449890136719,0.8468369841575623,1.426259994506836,0.9580000042915344,0.8830000162124634,0.5537570118904114,0.5104050040245056,1.084939956665039,7.0,0.0,0.5199999809265137,0.8663809895515442,18.842899322509766,0.24009999632835388,325.6006521,24.6605237,8.88613,26.2903995513916,3.2603900308458833e-06,0.028132600709795952,-0.04314050078392029,8.844889634929132e-06,t17_f5_c3,ZTF19aavaltf
2460186.8281481,1,2432328145515,19.39310073852539,/ztf/archive/sci/2023/0830/328148/ztf_20230830328148_001640_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2.432328145515015e+18,t,7.0,2432,55,1640,2123.43994140625,2697.050048828125,325.6006977,24.6605553,19.508899688720703,0.2508920133113861,1.7122600078582764,19.646499633789062,0.492900013923645,0.20434600114822388,19.2549991607666,0.027000000700354576,0.902999997138977,0.06800000369548798,-0.8417990207672119,0.13756300508975983,1.8799999952316284,0.925000011920929,383.447998046875,-0.2534469962120056,1.3206100463867188,0.7360000014305115,0.5730000138282776,0.3914889991283417,0.3047870099544525,1.2844699621200562,7.0,0.0,0.88857102394104,0.8247650265693665,19.70400047302246,0.6679999828338623,325.6006477,24.6605201,6.67945,26.35689926147461,4.864039965468692e-06,0.03287250176072121,-0.02648629993200302,1.3533200217352714e-05,t17_f5_c3,ZTF19aavaltf
2460186.8286227,1,2432328625515,19.422500610351562,/ztf/archive/sci/2023/0830/328623/ztf_20230830328623_001640_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,2.432328625515015e+18,t,2.0,2432,55,1640,2124.800048828125,2697.340087890625,325.6006489,24.6604493,19.401100158691406,0.22152599692344666,0.8538020253181458,19.1781005859375,0.33149999380111694,0.2519789934158325,19.2549991607666,0.027000000700354576,0.902999997138977,0.06800000369548798,-0.5424270033836365,-0.2229509949684143,2.059999942779541,0.8759999871253967,383.1579895019531,0.24442699551582336,1.1352699995040894,0.7620000243186951,0.5979999899864197,0.36990299820899963,0.2902910113334656,1.2742500305175781,7.0,0.0,0.9142860174179077,0.9295139908790588,19.052799224853516,0.3790999948978424,325.6006477,24.6605201,7.35359,26.350099563598633,4.407780124893179e-06,0.03126069903373718,-0.02590849995613098,1.2314099876675755e-05,t17_f5_c3,ZTF19aavaltf
2460187.6752315,1,2433175231815,19.257999420166016,/ztf/archive/sci/2023/0831/175231/ztf_20230831175231_000643_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.433175231815015e+18,t,7.0,2433,18,643,2763.199951171875,1832.1300048828125,325.6006592,24.6605025,18.976600646972656,0.15833400189876556,1.0036499500274658,18.93779945373535,0.3174999952316284,0.09731099754571915,19.384000778198242,0.01899999938905239,0.5450000166893005,0.020999999716877937,0.1895119994878769,-0.03878200054168701,1.9500000476837158,0.9819999933242798,309.29901123046875,0.3201819956302643,1.1655999422073364,0.7289999723434448,0.703000009059906,0.37384599447250366,0.36051300168037415,1.0369800329208374,7.0,0.0,0.8985710144042969,0.9556589722633362,19.003599166870117,0.43309998512268066,325.6006521,24.6605237,8.37784,26.276599884033203,5.596659775619628e-06,0.03558279946446419,-0.03928939998149872,1.5442799849552102e-05,t17_f5_c3,ZTF19aavaltf
2460187.7546181,2,2433254611815,19.558900833129883,/ztf/archive/sci/2023/0831/254618/ztf_20230831254618_000643_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.433254611815015e+18,t,7.0,2433,18,643,2766.22998046875,1852.989990234375,325.6007014,24.6604852,19.11090087890625,0.14011000096797943,1.1960400342941284,19.13949966430664,0.2946000099182129,0.19137899577617645,18.695999145507812,0.029999999329447746,1.6360000371932983,0.09300000220537186,0.9694229960441589,0.028615999966859818,2.3399999141693115,0.9810000061988831,306.2650146484375,0.4194430112838745,0.9581800103187561,0.6370000243186951,0.578000009059906,0.27222201228141785,0.24700899422168732,1.10207998752594,6.0,0.0,0.8957139849662781,0.797307014465332,19.335100173950195,0.4526999890804291,325.6006495,24.660506,8.52072,26.331899642944336,2.132640020136023e-06,0.02229899913072586,0.07918889820575714,5.85233010497177e-06,t17_f5_c3,ZTF19aavaltf
2460187.7773148,2,2433277315515,19.551000595092773,/ztf/archive/sci/2023/0831/277315/ztf_20230831277315_001640_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2.433277315515015e+18,t,5.0,2433,55,1640,2124.6298828125,2694.85009765625,325.6006233,24.6605279,19.37420082092285,0.15025000274181366,1.3787699937820435,19.051700592041016,0.2863999903202057,0.15888899564743042,18.648000717163086,0.03700000047683716,1.8300000429153442,0.1809999942779541,0.34912800788879395,-0.32250601053237915,1.9900000095367432,0.9520000219345093,385.64599609375,0.49928298592567444,1.0774999856948853,0.5799999833106995,0.5249999761581421,0.29145699739456177,0.26381900906562805,1.1047600507736206,7.0,0.0,0.8600000143051147,0.9119910001754761,18.729700088500977,0.27320000529289246,325.6006569,24.6604955,8.41743,26.291200637817383,1.730679969114135e-06,0.019300300627946854,0.07518909871578217,4.878139861830277e-06,t17_f5_c3,ZTF19aavaltf
2460187.7777894,2,2433277785515,19.57379913330078,/ztf/archive/sci/2023/0831/277778/ztf_20230831277778_001640_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,2.433277785515015e+18,t,6.0,2433,55,1640,2125.18994140625,2694.889892578125,325.6006597,24.6605065,19.569499969482422,0.2314780056476593,1.184309959411621,19.70509910583496,0.5210999846458435,0.049300000071525574,18.648000717163086,0.03700000047683716,1.8300000429153442,0.1809999942779541,0.674390971660614,0.13559100031852722,1.0497900247573853,0.8360000252723694,385.6050109863281,-0.13134899735450745,2.0,0.5040000081062317,0.2639999985694885,0.48009398579597473,0.251477986574173,1.9090900421142578,7.0,0.0,0.5828570127487183,0.8968759775161743,19.28019905090332,0.4528999924659729,325.6006569,24.6604955,6.32206,26.276500701904297,1.7875399862532504e-06,0.019729699939489365,0.06883630156517029,5.01572003486217e-06,t17_f5_c3,ZTF19aavaltf
2460188.7384491,3,2434238441815,19.45039939880371,/ztf/archive/sci/2023/0901/238426/ztf_20230901238426_000643_zi_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.434238441815015e+18,t,4.0,2434,18,643,2770.719970703125,1856.8499755859375,325.60062,24.6605218,19.171899795532227,0.1690720021724701,1.5615099668502808,19.0093994140625,0.2996000051498413,0.1607310026884079,18.32200050354004,0.032999999821186066,1.5740000009536743,0.11699999868869781,0.7303720116615295,-0.16251899302005768,1.0867400169372559,0.984000027179718,301.7799987792969,0.4410420060157776,2.0,0.6869999766349792,0.6029999852180481,0.6321640014648438,0.5548689961433411,1.139299988746643,5.0,0.0,0.8500000238418579,0.9438030123710632,18.85420036315918,0.3327000141143799,325.6006693,24.6605271,6.34126,25.712900161743164,1.1463599776107003e-06,0.021679099649190903,0.18660899996757507,1.788460031093564e-05,t17_f5_c3,ZTF19aavaltf
2460191.7685532,3,2437268551815,19.855300903320312,/ztf/archive/sci/2023/0904/268530/ztf_20230904268530_000643_zi_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.437268551815015e+18,t,9.0,2437,18,643,2737.72998046875,1886.4300537109375,325.6006262,24.6604945,19.296499252319336,0.16947700083255768,2.0643200874328613,19.32309913635254,0.257999986410141,0.1899079978466034,18.32200050354004,0.032999999821186066,1.5740000009536743,0.11699999868869781,0.061528999358415604,0.026590999215841293,1.1733700037002563,0.9079999923706055,334.7669982910156,0.5322170257568359,2.0,0.7450000047683716,0.7049999833106995,0.6349239945411682,0.6008340120315552,1.0567400455474854,5.0,0.0,0.8942859768867493,0.8919910192489624,19.63050079345703,0.436599999666214,325.6006693,24.6605271,9.51108,25.75550079345703,7.848710197322362e-07,0.01840510033071041,0.19897499680519104,1.2073799553036224e-05,t17_f5_c3,ZTF19aavaltf
2460192.8441667,1,2438344161815,20.3966007232666,/ztf/archive/sci/2023/0905/344155/ztf_20230905344155_000643_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.438344161815015e+18,t,14.0,2438,18,643,2719.010009765625,1876.3399658203125,325.6006978,24.6604834,19.413000106811523,0.14248499274253845,1.4971100091934204,19.364900588989258,0.16169999539852142,0.20750899612903595,19.384000778198242,0.01899999938905239,0.5450000166893005,0.020999999716877937,0.18312300741672516,-0.04809900000691414,1.940000057220459,0.9789999723434448,353.489990234375,1.0317200422286987,1.215190052986145,0.6959999799728394,0.6489999890327454,0.3587630093097687,0.33453598618507385,1.0724200010299683,5.0,0.0,0.9485710263252258,1.0,19.056900024414062,0.15569999814033508,325.6006521,24.6605237,12.3292,26.322999954223633,1.9574099496821873e-06,0.021906299516558647,-0.05000799894332886,5.316619990480831e-06,t17_f5_c3,ZTF19aavaltf
2460194.7264931,2,2440226491815,20.592500686645508,/ztf/archive/sci/2023/0907/226481/ztf_20230907226481_000643_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.440226491815015e+18,t,17.0,2440,18,643,2726.929931640625,1867.0899658203125,325.600702,24.6604836,19.217300415039062,0.11955299973487854,1.0774500370025635,19.073400497436523,0.10970000177621841,0.1937430053949356,18.695999145507812,0.029999999329447746,1.6360000371932983,0.09300000220537186,0.4751630127429962,-0.14387600123882294,2.630000114440918,0.9769999980926514,345.5719909667969,1.5190900564193726,0.8599889874458313,0.652999997138977,0.5699999928474426,0.24828900396823883,0.216729998588562,1.145609974861145,6.0,0.0,0.9214289784431458,0.9771220088005066,19.108800888061523,0.1437000036239624,325.6006495,24.660506,8.37376,26.337299346923828,1.5256899814630742e-06,0.019070999696850777,0.08448939770460129,4.2010801735159475e-06,t17_f5_c3,ZTF19aavaltf
2460194.7690394,3,2440269031815,19.837499618530273,/ztf/archive/sci/2023/0907/269016/ztf_20230907269016_000643_zi_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2.440269031815015e+18,t,7.0,2440,18,643,2753.39990234375,1875.3399658203125,325.6006575,24.660483,19.19770050048828,0.1475200057029724,1.4491100311279297,19.33989906311035,0.26159998774528503,0.17074400186538696,18.32200050354004,0.032999999821186066,1.5740000009536743,0.11699999868869781,-0.11788800358772278,0.1422480046749115,2.9000000953674316,0.9340000152587891,319.09698486328125,0.4976300001144409,0.823934018611908,0.7450000047683716,0.6930000185966492,0.2568970024585724,0.23896600306034088,1.0750399827957153,8.0,0.0,0.8799999952316284,0.8147140145301819,19.185699462890625,0.2897999882698059,325.6006693,24.6605271,8.16774,25.759700775146484,7.775429935463762e-07,0.01809060014784336,0.1959419995546341,1.2001800314465072e-05,t17_f5_c3,ZTF19aavaltf
