jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458602.7211458,1,848221140015,19.652099609375,/ztf/archive/sci/2019/0429/221111/ztf_20190429221111_000755_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,848,0,755,25.00429916381836,0.00022140599321573973,0.09533759951591492,0.008886399678885937,0.0003651670122053474,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458602.7220718,1,848222071315,18.236499786376953,/ztf/archive/sci/2019/0429/222049/ztf_20190429222049_000756_zg_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,848,13,756,23.635000228881836,0.0007403300260193646,0.1126680001616478,-0.05447649955749512,0.0015856600366532803,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458602.7631366,2,848263134115,20.565500259399414,/ztf/archive/sci/2019/0429/263137/ztf_20190429263137_001755_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,848,41,1755,26.233400344848633,1.8879300114349462e-05,0.03175729885697365,0.12456399947404861,2.7339699954609387e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458602.7785764,2,848278570015,19.630199432373047,/ztf/archive/sci/2019/0429/278576/ztf_20190429278576_000755_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,848,0,755,25.53860092163086,0.00010199799726251513,0.06816379725933075,0.13407599925994873,0.00014196999836713076,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458602.7804514,2,848280451315,16.79050064086914,/ztf/archive/sci/2019/0429/280428/ztf_20190429280428_000756_zr_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,848,13,756,22.937299728393555,0.006140090059489012,0.2073259949684143,0.15328499674797058,0.011432000435888767,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458606.7033102,2,852203311315,20.6289005279541,/ztf/archive/sci/2019/0503/203299/ztf_20190503203299_000756_zr_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,852,13,756,26.03660011291504,1.7864800611278042e-05,0.027446199208498,0.11092499643564224,2.3243199393618852e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458606.7265856,2,852226581315,20.53510093688965,/ztf/archive/sci/2019/0503/225509/ztf_20190503225509_000756_zr_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,852,13,756,26.06399917602539,1.635089938645251e-05,0.02604609914124012,0.1095609962940216,2.1021000065957196e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458606.7279745,2,852227970015,20.660400390625,/ztf/archive/sci/2019/0503/227975/ztf_20190503227975_000755_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,852,0,755,26.03179931640625,1.6217800293816254e-05,0.026784399524331093,0.10850100219249725,2.2500500563182868e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458606.7288889,2,852228880015,20.530500411987305,/ztf/archive/sci/2019/0503/228889/ztf_20190503228889_000755_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,852,0,755,26.01740074157715,1.445460020477185e-05,0.025443099439144135,0.11576700210571289,2.0016699636471458e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458606.734294,2,852234291315,20.605600357055664,/ztf/archive/sci/2019/0503/234294/ztf_20190503234294_000756_zr_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,852,13,756,26.06529998779297,1.9389999579288997e-05,0.028742900118231773,0.11567600071430206,2.5175100745400414e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458606.7351968,2,852235194115,20.713300704956055,/ztf/archive/sci/2019/0503/235197/ztf_20190503235197_001755_zr_c11_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,852,41,1755,26.258800506591797,1.5813200661796145e-05,0.028615599498152733,0.12567700445652008,2.260389919683803e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458606.905,1,852404991315,20.619800567626953,/ztf/archive/sci/2019/0503/405000/ztf_20190503405000_000756_zg_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,852,13,756,26.091299057006836,2.2905300284037367e-05,0.03126769885420799,-0.08084309846162796,2.990080065501388e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458606.9059028,1,852405901315,20.603300094604492,/ztf/archive/sci/2019/0503/405903/ztf_20190503405903_000756_zg_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,852,13,756,26.08049964904785,2.2653199266642332e-05,0.03113820031285286,-0.07163780182600021,2.972229958686512e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458606.9068056,1,852406800015,20.67340087890625,/ztf/archive/sci/2019/0503/406806/ztf_20190503406806_000755_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,852,0,755,26.019899368286133,1.7906699213199317e-05,0.028433699160814285,-0.0519292987883091,2.5051400371012278e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458606.9088194,1,852408810015,20.721799850463867,/ztf/archive/sci/2019/0503/408762/ztf_20190503408762_000755_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,852,0,755,26.010900497436523,1.6804899132694118e-05,0.02729789912700653,-0.04631520062685013,2.3324699213844724e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458606.9318519,1,852431851315,20.51180076599121,/ztf/archive/sci/2019/0503/431840/ztf_20190503431840_000756_zg_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,852,13,756,26.03339958190918,2.181509989895858e-05,0.030730899423360825,-0.05987599864602089,2.9009799618506804e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458606.9507986,1,852450791315,20.393400192260742,/ztf/archive/sci/2019/0503/450752/ztf_20190503450752_000756_zg_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,852,13,756,25.973899841308594,2.5260200345655903e-05,0.03313640132546425,-0.044363100081682205,3.3782198443077505e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458607.7353241,2,853235320015,20.323200225830078,/ztf/archive/sci/2019/0504/235301/ztf_20190504235301_000755_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,853,0,755,26.00950050354004,1.7113399735535495e-05,0.028065599501132965,0.11570800095796585,2.3756800146657042e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458607.7390046,2,853239001315,20.339799880981445,/ztf/archive/sci/2019/0504/239005/ztf_20190504239005_000756_zr_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,853,13,756,26.039499282836914,1.5560799511149526e-05,0.02592870034277439,0.12058000266551971,2.064000000245869e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458607.7670949,3,853267090015,19.857999801635742,/ztf/archive/sci/2019/0504/267083/ztf_20190504267083_000755_zi_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,853,0,755,25.354000091552734,6.5882099988812115e-06,0.0267488993704319,0.18850600719451904,2.029999996011611e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458607.7698611,3,853269861315,19.923799514770508,/ztf/archive/sci/2019/0504/269861/ztf_20190504269861_000756_zi_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,853,13,756,25.390100479125977,5.7400998230150435e-06,0.02419009990990162,0.18014100193977356,1.6352600141544826e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458607.8026505,1,853302650015,20.800100326538086,/ztf/archive/sci/2019/0504/302650/ztf_20190504302650_000755_zg_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,853,0,755,26.108800888061523,2.0116900486755185e-05,0.02996009960770607,-0.07287359982728958,2.7697100449586287e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458607.803125,1,853303121315,20.6875,/ztf/archive/sci/2019/0504/303102/ztf_20190504303102_000756_zg_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,853,13,756,26.17650032043457,2.029049937846139e-05,0.029509099200367928,-0.08658979833126068,2.644989945110865e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458608.7446644,2,854244660015,20.5492000579834,/ztf/archive/sci/2019/0505/244664/ztf_20190505244664_000755_zr_c01_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,854,0,755,26.003700256347656,1.5040999642224051e-05,0.025482699275016785,0.11134500056505203,2.058870086329989e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
2458608.7474421,2,854247441315,20.505800247192383,/ztf/archive/sci/2019/0505/247442/ztf_20190505247442_000756_zr_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,854,13,756,26.019699096679688,1.5851199350436218e-05,0.025830499827861786,0.11349599808454514,2.0733099518110976e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aavnwxf
