jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458616.9280787,2,862428074615,20.8981990814209,/ztf/archive/sci/2019/0513/428056/ztf_20190513428056_000728_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,862,46,728,26.164199829101562,1.9220199192204745e-06,0.015744300559163094,0.08258099853992462,6.385560027410975e-06,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aayqait
2458616.9309028,2,862430903515,21.071399688720703,/ztf/archive/sci/2019/0513/430891/ztf_20190513430891_000727_zr_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,862,35,727,26.19379997253418,1.7599300008441787e-06,0.015104800462722778,0.07574950158596039,5.888410214538453e-06,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aayqait
2458616.978588,1,862478583515,20.927799224853516,/ztf/archive/sci/2019/0513/478588/ztf_20190513478588_000727_zg_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,862,35,727,26.182300567626953,1.7392800373272621e-06,0.015129299834370613,-0.037578798830509186,5.819810212415177e-06,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aayqait
2458619.9330556,2,865433054615,18.259300231933594,/ztf/archive/sci/2019/0516/433056/ztf_20190516433056_000728_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,865,46,728,25.28070068359375,5.665299795509782e-06,0.027071699500083923,0.0875438004732132,1.8849199477699585e-05,t15_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aayqait
2458627.9027199,2,873402714615,20.569499969482422,/ztf/archive/sci/2019/0524/402639/ztf_20190524402639_000728_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,873,46,728,26.18939971923828,3.3602800613152795e-06,0.020826399326324463,0.07737349718809128,1.1187899872311391e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aayqait
2458627.9068866,2,873406883515,20.635000228881836,/ztf/archive/sci/2019/0524/406887/ztf_20190524406887_000727_zr_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,873,35,727,26.20709991455078,2.2800300030212384e-06,0.017238199710845947,0.08231689780950546,7.626780188729754e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aayqait
2458632.8189236,2,878318923515,20.45599937438965,/ztf/archive/sci/2019/0529/318924/ztf_20190529318924_000727_zr_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,878,35,727,26.191299438476562,1.2558799653561437e-06,0.012787300162017345,0.08065520226955414,4.198369879304664e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aayqait
2458632.9335185,1,878433513515,20.8169002532959,/ztf/archive/sci/2019/0529/433484/ztf_20190529433484_000727_zg_c09_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,878,35,727,26.211599349975586,1.83695999567135e-06,0.01547400001436472,-0.044144898653030396,6.166600087453844e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aayqait
2458632.9357986,1,878435794615,20.820600509643555,/ztf/archive/sci/2019/0529/435799/ztf_20190529435799_000728_zg_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,878,46,728,26.225099563598633,2.007609964493895e-06,0.016087699681520462,-0.04988029971718788,6.6934298956766725e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aayqait
2458632.9659375,2,878465934615,20.608200073242188,/ztf/archive/sci/2019/0529/465845/ztf_20190529465845_000728_zr_c12_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,878,46,728,26.189699172973633,1.2928700243719504e-06,0.012932799756526947,0.08604829758405685,4.292160156182945e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19aayqait
