jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459770.7106944,1,2016210693615,19.507999420166016,/ztf/archive/sci/2022/0710/210683/ztf_20220710210683_000486_zg_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2016,36,486,26.250699996948242,1.0330700206395704e-05,0.027185099199414253,-0.01638830080628395,1.8503300452721305e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abagian
2459770.7954282,1,2016295423615,19.938100814819336,/ztf/archive/sci/2022/0710/295417/ztf_20220710295417_000486_zg_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2016,36,486,26.337600708007812,5.5049999900802504e-06,0.019564900547266006,-0.06420329958200455,9.863530067377724e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abagian
2459772.7940625,2,2018294063615,20.062000274658203,/ztf/archive/sci/2022/0712/294051/ztf_20220712294051_000486_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2018,36,486,26.339799880981445,1.0518199815123808e-05,0.02710079960525036,0.09715519845485687,1.8804999854182824e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abagian
2459772.9003125,2,2018400313615,19.535999298095703,/ztf/archive/sci/2022/0712/400301/ztf_20220712400301_000486_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2018,36,486,26.30470085144043,4.027599970868323e-06,0.016746800392866135,0.08259479701519012,7.210920102806995e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abagian
2459774.7940394,2,2020294033615,19.695100784301758,/ztf/archive/sci/2022/0714/294039/ztf_20220714294039_000486_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2020,36,486,26.29490089416504,5.856749794475036e-06,0.02017660066485405,0.10435400158166885,1.050589980877703e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abagian
2459774.8877431,2,2020387743615,19.606599807739258,/ztf/archive/sci/2022/0714/387743/ztf_20220714387743_000486_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2020,36,486,26.278799057006836,5.885849986952962e-06,0.020463500171899796,0.0942901000380516,1.0548599675530568e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abagian
2459776.7695949,2,2022269593615,20.3799991607666,/ztf/archive/sci/2022/0716/269595/ztf_20220716269595_000486_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2022,36,486,26.33930015563965,5.7960501180787105e-06,0.01980930007994175,0.09026949852705002,1.0396700417913962e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abagian
2459779.7769907,2,2025276993615,20.697799682617188,/ztf/archive/sci/2022/0719/276979/ztf_20220719276979_000486_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2025,36,486,26.32979965209961,2.494799900887301e-06,0.01307590026408434,0.09030160307884216,4.469649866223335e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abagian
2459779.7947569,2,2025294753615,20.142499923706055,/ztf/archive/sci/2022/0719/294745/ztf_20220719294745_000486_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2025,36,486,26.337200164794922,2.414989921817323e-06,0.012857699766755104,0.07829839736223221,4.320900188758969e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abagian
2459781.7913889,1,2027291383615,20.619600296020508,/ztf/archive/sci/2022/0721/291389/ztf_20220721291389_000486_zg_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2027,36,486,26.267900466918945,4.883870133198798e-06,0.018463699147105217,-0.06730510294437408,8.722089660295751e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abagian
