jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460057.9684375,1,2303468435415,20.460899353027344,/ztf/archive/sci/2023/0423/468426/ztf_20230423468426_000481_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2303,54,481,26.257699966430664,4.4614498619921505e-06,0.03084160014986992,-0.04267419874668121,8.994819836516399e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abavlxi
2460059.8720139,1,2305372015415,20.3356990814209,/ztf/archive/sci/2023/0425/372002/ztf_20230425372002_000481_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2305,54,481,26.25,7.427990112773841e-06,0.039491500705480576,-0.05926309898495674,1.5384099242510274e-05,t17_f5_c3,2.30537201541501e+18,f,10.0,594.0540161132812,2330.0,240.9505187,6.7804016,20.631999969482422,0.37791600823402405,1.2158199548721313,21.15220069885254,0.631600022315979,0.5451499819755554,19.097999572753906,0.017999999225139618,0.6179999709129333,0.0430000014603138,0.24387100338935852,0.520226001739502,1.6536799669265747,0.42899999022483826,594.0540161132812,-0.816540002822876,2.0,1.0080000162124634,0.531000018119812,0.6095510125160217,0.3211030066013336,1.8983099460601807,7.0,0.0,0.5857139825820923,0.8453660011291504,21.097400665283203,0.7681000232696533,240.9506715,6.780377,5.83721,ZTF19abavlxi
2460059.9430787,2,2305443075415,20.10810089111328,/ztf/archive/sci/2023/0425/443021/ztf_20230425443021_000481_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2305,54,481,26.161100387573242,2.410309889455675e-06,0.02259010076522827,0.08923400193452835,4.83248004456982e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abavlxi
2460060.8572569,3,2306357255415,19.456100463867188,/ztf/archive/sci/2023/0426/357245/ztf_20230426357245_000481_zi_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2306,54,481,25.51810073852539,1.5210699757517432e-06,0.026044299826025963,0.19304299354553223,1.0743699931481387e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abavlxi
2460060.9100231,1,2306410021915,20.49519920349121,/ztf/archive/sci/2023/0426/409942/ztf_20230426409942_001527_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2306,19,1527,26.221900939941406,5.770169991592411e-06,0.03507599979639053,-0.09005100280046463,1.199429971165955e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abavlxi
2460061.8683102,1,2307368311915,20.528499603271484,/ztf/archive/sci/2023/0427/368194/ztf_20230427368194_001527_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2307,19,1527,26.242399215698242,5.882429832126945e-06,0.03529129922389984,-0.06420859694480896,1.224449988512788e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abavlxi
2460061.9132639,1,2307413265415,20.283100128173828,/ztf/archive/sci/2023/0427/413252/ztf_20230427413252_000481_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2307,54,481,26.272300720214844,6.935620149306487e-06,0.03784869983792305,-0.04519519954919815,1.4451599781750701e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abavlxi
2460063.7977431,2,2309297741915,20.094900131225586,/ztf/archive/sci/2023/0429/297743/ztf_20230429297743_001527_zr_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2309,19,1527,26.23200035095215,1.9942299331887625e-06,0.020580800250172615,0.09400159865617752,4.106149845028995e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abavlxi
2460063.9000579,2,2309400055415,20.311599731445312,/ztf/archive/sci/2023/0429/400046/ztf_20230429400046_000481_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2309,54,481,26.23080062866211,2.1399200704763643e-06,0.021258799359202385,0.09602589905261993,4.3258501136733685e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abavlxi
2460063.9415625,1,2309441565415,20.56089973449707,/ztf/archive/sci/2023/0429/441551/ztf_20230429441551_000481_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2309,54,481,26.26180076599121,5.381270057114307e-06,0.03385769948363304,-0.04413750022649765,1.0872900020331144e-05,t17_f5_c3,2.30944156541501e+18,f,9.0,584.833984375,2333.0,240.9505741,6.7803851,20.672800064086914,0.35928499698638916,1.0600199699401855,20.798500061035156,0.46700000762939453,0.34325098991394043,19.097999572753906,0.017999999225139618,0.6179999709129333,0.0430000014603138,-0.06403499841690063,0.1257070004940033,1.3106600046157837,0.6700000166893005,584.833984375,-0.23764599859714508,2.0,0.8149999976158142,0.41499999165534973,0.6218230128288269,0.31663399934768677,1.963860034942627,8.0,0.0,0.6757140159606934,0.6016070246696472,20.779499053955078,0.5870000123977661,240.9506715,6.780377,6.15121,ZTF19abavlxi
2460064.8378819,2,2310337881915,20.104700088500977,/ztf/archive/sci/2023/0430/337870/ztf_20230430337870_001527_zr_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2310,19,1527,26.232900619506836,1.9317699297971558e-06,0.020259499549865723,0.09428010135889053,3.96863015339477e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abavlxi
2460065.8374884,3,2311337485415,19.425100326538086,/ztf/archive/sci/2023/0501/337488/ztf_20230501337488_000481_zi_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2311,54,481,25.540800094604492,1.5071700545377098e-06,0.025692900642752647,0.18906700611114502,1.0965500223392155e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abavlxi
