jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460168.8758333,1,2414375830615,20.306299209594727,/ztf/archive/sci/2023/0812/375810/ztf_20230812375810_000340_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2414,6,340,26.277700424194336,5.453950052469736e-06,0.02879670076072216,-0.0853239968419075,1.0323599781258963e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460170.835162,1,2416335160615,20.205299377441406,/ztf/archive/sci/2023/0814/335162/ztf_20230814335162_000340_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2416,6,340,26.230100631713867,5.995430001348723e-06,0.030027400702238083,-0.0969856008887291,1.1432700375735294e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460170.8889583,2,2416388950615,20.25149917602539,/ztf/archive/sci/2023/0814/388958/ztf_20230814388958_000340_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2416,6,340,26.158700942993164,2.9942600576760015e-06,0.021383700892329216,0.09657459706068039,5.562510068557458e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460172.769213,1,2418269210615,19.881999969482422,/ztf/archive/sci/2023/0816/269201/ztf_20230816269201_000340_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2418,6,340,26.058799743652344,8.294549843412824e-06,0.0351669006049633,-0.068607397377491,1.6382500689360313e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460174.8462963,1,2420346290615,20.1294002532959,/ztf/archive/sci/2023/0818/346296/ztf_20230818346296_000340_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2420,6,340,26.26099967956543,6.536240107379854e-06,0.03153039887547493,-0.07555480301380157,1.2628200238395948e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460174.8567245,2,2420356720615,20.253000259399414,/ztf/archive/sci/2023/0818/356713/ztf_20230818356713_000340_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2420,6,340,26.208099365234375,2.681560090422863e-06,0.020408499985933304,0.09721899777650833,5.0178900892206e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460179.8566898,2,2425356680615,19.939300537109375,/ztf/archive/sci/2023/0823/356690/ztf_20230823356690_000340_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2425,6,340,26.234899520874023,3.478130111034261e-06,0.02281319908797741,0.08538509905338287,6.4935002228594385e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460181.8356134,1,2427335610615,20.0575008392334,/ztf/archive/sci/2023/0825/335602/ztf_20230825335602_000340_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2427,6,340,26.280099868774414,9.170489647658542e-06,0.03647549822926521,-0.07559359818696976,1.8415999875287525e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460181.914919,2,2427414910615,19.850000381469727,/ztf/archive/sci/2023/0825/414919/ztf_20230825414919_000340_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2427,6,340,26.174400329589844,1.1440400157880504e-05,0.04220850020647049,0.10078699886798859,2.1244099116302095e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460183.8242245,1,2429324220615,19.482099533081055,/ztf/archive/sci/2023/0827/324213/ztf_20230827324213_000340_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2429,6,340,26.319499969482422,1.3718799891648814e-05,0.04140299931168556,-0.10972599685192108,3.218209894839674e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460183.8608796,2,2429360870615,19.867700576782227,/ztf/archive/sci/2023/0827/360880/ztf_20230827360880_000340_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2429,6,340,26.2278995513916,4.92962999487645e-06,0.027635300531983376,0.09776259958744049,9.204780326399487e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460192.8237731,1,2438323770615,19.773099899291992,/ztf/archive/sci/2023/0905/323773/ztf_20230905323773_000340_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2438,6,340,26.252300262451172,7.955790351843461e-06,0.03354959934949875,-0.07797949761152267,1.676600004429929e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460194.7949421,1,2440294940615,20.083499908447266,/ztf/archive/sci/2023/0907/294919/ztf_20230907294919_000340_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2440,6,340,26.301300048828125,6.888799816806568e-06,0.03225089982151985,-0.09117989987134933,1.3150899576430675e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460194.846713,2,2440346710615,20.156999588012695,/ztf/archive/sci/2023/0907/346620/ztf_20230907346620_000340_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2440,6,340,26.219100952148438,4.080549842910841e-06,0.025034399703145027,0.09307049959897995,7.56344979890855e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460200.7526042,1,2446252600615,20.36680030822754,/ztf/archive/sci/2023/0913/252593/ztf_20230913252593_000340_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2446,6,340,26.268800735473633,5.044430054113036e-06,0.02780359983444214,-0.07731790095567703,9.426279575563967e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
2460202.7050579,1,2448205050615,19.999500274658203,/ztf/archive/sci/2023/0915/205058/ztf_20230915205058_000340_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2448,6,340,26.212299346923828,8.547470315534156e-06,0.035245899111032486,-0.08011230081319809,1.715039979899302e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abeggsd
