jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458662.9388657,1,908438864915,20.30109977722168,/ztf/archive/sci/2019/0628/438275/ztf_20190628438275_000290_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,908,49,290,26.07740020751953,7.214429842861136e-06,0.029859500005841255,-0.07286710292100906,1.2458700439310633e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abgmxwn
2458662.9682639,2,908468264915,20.355199813842773,/ztf/archive/sci/2019/0628/468264/ztf_20190628468264_000290_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,908,49,290,26.04439926147461,3.5749899325310253e-06,0.021004799753427505,0.09333070367574692,6.076350018702215e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abgmxwn
2458667.9345139,1,913434514915,20.434799194335938,/ztf/archive/sci/2019/0703/434502/ztf_20190703434502_000290_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,913,49,290,26.074800491333008,5.955209871899569e-06,0.027466900646686554,-0.0727303996682167,1.0432700037199538e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abgmxwn
2458667.981713,2,913481714915,19.668399810791016,/ztf/archive/sci/2019/0703/481701/ztf_20190703481701_000290_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,913,49,290,26.03190040588379,5.638739821733907e-06,0.026644399389624596,0.0981822982430458,9.734990271681454e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abgmxwn
2458670.9359028,1,916435904915,20.476499557495117,/ztf/archive/sci/2019/0706/435903/ztf_20190706435903_000290_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,916,49,290,26.06570053100586,5.978789886285085e-06,0.027539899572730064,-0.07286909967660904,1.0398999620520044e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abgmxwn
2458670.9602778,2,916460274915,20.37689971923828,/ztf/archive/sci/2019/0706/460116/ztf_20190706460116_000290_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,916,49,290,26.02440071105957,3.5587399906944484e-06,0.021128300577402115,0.09911379963159561,6.139980087027652e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abgmxwn
2458673.9438773,2,919443874915,20.164199829101562,/ztf/archive/sci/2019/0709/443866/ztf_20190709443866_000290_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,919,49,290,26.034799575805664,3.932610070478404e-06,0.02225399948656559,0.09258410334587097,6.84257020111545e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abgmxwn
2458676.9803009,2,922480304915,19.95949935913086,/ztf/archive/sci/2019/0712/479942/ztf_20190712479942_000290_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,922,49,290,25.987199783325195,3.776279982048436e-06,0.021760599687695503,0.09037160128355026,6.5535200519661885e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abgmxwn
2458679.9803356,2,925480334915,19.618600845336914,/ztf/archive/sci/2019/0715/480058/ztf_20190715480058_000290_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,925,49,290,26.03860092163086,4.73809996037744e-06,0.0244596004486084,0.08920340240001678,8.22728998173261e-06,t17_f5_c3,9.25480334915015e+17,t,12.0,2675.489990234375,2362.1201171875,333.7859397,-21.1720098,19.449600219726562,0.14777499437332153,1.284890055656433,19.301300048828125,0.26899999380111694,0.19176599383354187,17.895000457763672,0.03200000151991844,3.068000078201294,0.06199999898672104,-0.30534499883651733,-0.14829300343990326,2.3499999046325684,0.9259999990463257,397.01300048828125,0.317330002784729,1.1626399755477905,0.8370000123977661,0.734000027179718,0.35616999864578247,0.31233999133110046,1.1403299570083618,6.0,0.0,0.9828569889068604,0.9297680258750916,19.458499908447266,0.3971000015735626,333.7859327,-21.172068,6.61687,ZTF19abgmxwn
2458686.8758565,2,932375854915,16.399900436401367,/ztf/archive/sci/2019/0722/375694/ztf_20190722375694_000290_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,932,49,290,24.328899383544922,0.002122049918398261,0.1513269990682602,0.053765200078487396,0.004543759860098362,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abgmxwn
