jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460115.9252894,1,2361425284015,20.50429916381836,/ztf/archive/sci/2023/0620/425232/ztf_20230620425232_000544_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2361,40,544,26.419300079345703,2.2657700355921406e-06,0.02304130047559738,-0.06299380213022232,6.350399871735135e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460115.9435995,3,2361443594015,19.927400588989258,/ztf/archive/sci/2023/0620/443588/ztf_20230620443588_000544_zi_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2361,40,544,25.843399047851562,6.584920129171223e-07,0.015817800536751747,0.19063800573349,9.867309927358292e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460118.9138079,1,2364413804015,20.337900161743164,/ztf/archive/sci/2023/0623/413808/ztf_20230623413808_000544_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2364,40,544,26.374399185180664,5.155030066816835e-06,0.034903399646282196,-0.040570199489593506,1.4429099792323541e-05,t17_f5_c3,2.364413804015015e+18,t,18.0,1512.8499755859375,1610.469970703125,319.4070047,13.1426975,20.394399642944336,0.26180100440979004,0.9781360030174255,20.384300231933594,0.29980000853538513,0.3281730115413666,19.624000549316406,0.020999999716877937,0.26899999380111694,-0.008999999612569809,-0.287416011095047,-0.01013800036162138,2.4100000858306885,0.527999997138977,1470.030029296875,-0.04644500091671944,1.4252099990844727,1.1460000276565552,1.0980000495910645,0.47551900148391724,0.4556019902229309,1.043720006942749,2.0,0.0,0.7857139706611633,1.0,20.33370018005371,0.36550000309944153,319.4070572,13.1426206,6.5071,,,,ZTF19abjflnc
2460118.9235069,3,2364423504015,19.950300216674805,/ztf/archive/sci/2023/0623/423507/ztf_20230623423507_000544_zi_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2364,40,544,25.865400314331055,8.277110055132653e-07,0.017837800085544586,0.18719199299812317,1.241469999513356e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460118.9548032,2,2364454804015,20.469499588012695,/ztf/archive/sci/2023/0623/454792/ztf_20230623454792_000544_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2364,40,544,26.422500610351562,1.156940015789587e-06,0.016273900866508484,0.0924505963921547,3.2539398944209097e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460120.90375,2,2366403744015,20.61319923400879,/ztf/archive/sci/2023/0625/403715/ztf_20230625403715_000544_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2366,40,544,26.432899475097656,1.1342000334479962e-06,0.016110999509692192,0.08855299651622772,3.197229943907587e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460120.9217477,1,2366421744015,20.785900115966797,/ztf/archive/sci/2023/0625/421748/ztf_20230625421748_000544_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2366,40,544,26.39590072631836,2.0681800378952175e-06,0.021932899951934814,-0.05711429938673973,5.806300123367691e-06,t17_f5_c3,2.366421744015015e+18,t,9.0,1535.5799560546875,1602.1400146484375,319.4070099,13.1425807,20.557899475097656,0.19366799294948578,1.0180100202560425,20.56730079650879,0.3109999895095825,0.2112569957971573,19.624000549316406,0.020999999716877937,0.26899999380111694,-0.008999999612569809,0.5038779973983765,0.009362000040709972,1.8600000143051147,0.6880000233650208,1478.3599853515625,0.2186170071363449,1.4041199684143066,0.9739999771118164,0.878000020980835,0.5236560106277466,0.4720430076122284,1.109339952468872,2.0,0.0,0.9157140254974365,1.0,20.496400833129883,0.3711000084877014,319.4070572,13.1426206,7.2782,,,,ZTF19abjflnc
2460121.8595718,3,2367359574015,19.654600143432617,/ztf/archive/sci/2023/0626/359572/ztf_20230626359572_000544_zi_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2367,40,544,25.851699829101562,1.0535900401009712e-06,0.020046500489115715,0.19341899454593658,1.5816500308574177e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460122.9187037,1,2368418704015,20.760499954223633,/ztf/archive/sci/2023/0627/418692/ztf_20230627418692_000544_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2368,40,544,26.385299682617188,2.045190058197477e-06,0.021811099722981453,-0.05707690119743347,5.754699941462604e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460122.9580208,2,2368458024015,20.844600677490234,/ztf/archive/sci/2023/0627/458021/ztf_20230627458021_000544_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2368,40,544,26.436800003051758,1.2346799849183299e-06,0.01675019972026348,0.08392760157585144,3.4819699976651464e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460122.9822801,2,2368482280515,20.201099395751953,/ztf/archive/sci/2023/0627/482280/ztf_20230627482280_001590_zr_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2368,5,1590,26.343900680541992,1.348229943687329e-06,0.017667699605226517,0.07388509809970856,3.6766800803889055e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460123.8679861,1,2369367980515,20.638500213623047,/ztf/archive/sci/2023/0628/367986/ztf_20230628367986_001590_zg_c02_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2369,5,1590,26.363800048828125,1.5084599453984993e-06,0.018693599849939346,-0.058880798518657684,4.117249773116782e-06,t17_f5_c3,2.369367980515015e+18,t,7.0,1633.2900390625,748.2009887695312,319.4071146,13.1426798,20.569799423217773,0.24605099856853485,1.2297999858856201,20.89419937133789,0.49810001254081726,0.2893890142440796,19.604999542236328,0.02500000037252903,0.4350000023841858,-0.01600000075995922,-0.010746999643743038,0.3244380056858063,1.2540199756622314,0.734000027179718,748.2009887695312,-0.25570499897003174,2.0,0.5490000247955322,0.5180000066757202,0.43779000639915466,0.4130699932575226,1.0598499774932861,8.0,0.0,0.8600000143051147,0.7587140202522278,21.005399703979492,0.7044000029563904,319.4070607,13.1426152,6.43237,,,,ZTF19abjflnc
2460125.8992708,1,2371399274015,20.186100006103516,/ztf/archive/sci/2023/0630/399271/ztf_20230630399271_000544_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2371,40,544,26.33289909362793,2.4070500330708455e-06,0.02364340052008629,-0.038287099450826645,6.736549948982429e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460125.9585532,2,2371458554015,20.742599487304688,/ztf/archive/sci/2023/0630/458553/ztf_20230630458553_000544_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2371,40,544,26.40410041809082,1.1293000170553569e-06,0.01601709984242916,0.08370179682970047,3.1774400213180343e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460126.8503241,2,2372350324015,19.959699630737305,/ztf/archive/sci/2023/0701/350174/ztf_20230701350174_000544_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2372,40,544,26.385799407958984,1.3963400533612003e-06,0.017987700179219246,0.08399739861488342,3.9088399717002176e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460126.8769676,1,2372376964015,19.74690055847168,/ztf/archive/sci/2023/0701/376840/ztf_20230701376840_000544_zg_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2372,40,544,26.341800689697266,3.5330699574842583e-06,0.02866940014064312,-0.037178199738264084,9.853009942162316e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abjflnc
2460126.9415741,2,2372441574015,20.524099349975586,/ztf/archive/sci/2023/0701/441528/ztf_20230701441528_000544_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2372,40,544,26.409700393676758,1.0424599850011873e-06,0.015386899933218956,0.09116219729185104,2.9310699574125465e-06,t17_f5_c3,2.372441574015015e+18,t,9.0,1566.239990234375,1582.6700439453125,319.4071342,13.1426102,20.5177001953125,0.23403799533843994,1.1316900253295898,20.723499298095703,0.478300005197525,0.21899600327014923,19.38599967956543,0.027000000700354576,0.8709999918937683,0.03799999877810478,0.12936599552631378,0.20580600202083588,2.1500000953674316,0.7260000109672546,1497.8299560546875,-0.19938300549983978,1.1488300561904907,0.8550000190734863,0.6980000138282776,0.39767399430274963,0.32465100288391113,1.2249300479888916,5.0,0.0,0.9271429777145386,0.9745100140571594,20.79560089111328,0.6532999873161316,319.4070714,13.142608,5.47884,,,,ZTF19abjflnc
