jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459894.647963,2,2140147961115,19.027599334716797,/ztf/archive/sci/2022/1111/147951/ztf_20221111147951_000292_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.1401479611150152e+18,t,49.0,2140,11,292,1530.1800537109375,1985.1300048828125,345.8470091,-27.6357497,19.475500106811523,0.2816630005836487,0.7393900156021118,19.749300003051758,0.4749999940395355,0.7147330045700073,17.78499984741211,0.029999999329447746,1.7890000343322754,0.1979999989271164,0.41408199071884155,0.2738020122051239,2.0081100463867188,0.4819999933242798,1095.3699951171875,-0.7217239737510681,2.0,1.24399995803833,1.0140000581741333,0.6194890141487122,0.5049530267715454,1.2268199920654297,4.0,0.0,0.6514289975166321,1.0,19.832700729370117,0.6564000248908997,345.8468438,-27.6358876,5.07335,26.181499481201172,3.6095301766181365e-05,0.046943701803684235,0.106004998087883,6.164440128486603e-05,t17_f5_c3,ZTF19abkepdy
2459894.7220023,1,2140222001115,18.51930046081543,/ztf/archive/sci/2022/1111/222002/ztf_20221111222002_000292_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2140,11,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.164100646972656,0.000112900001113303,0.04109080135822296,-0.06889469921588898,0.000332436989992857,t17_f5_c3,ZTF19abkepdy
2459895.6512153,1,2141151211115,19.273099899291992,/ztf/archive/sci/2022/1112/151204/ztf_20221112151204_000292_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.141151211115015e+18,t,3.0,2141,11,292,1547.3599853515625,1903.199951171875,345.8467065,-27.63571,19.338899612426758,0.24265900254249573,0.8718129992485046,19.208200454711914,0.22789999842643738,0.7246000170707703,18.124000549316406,0.01899999938905239,1.350000023841858,0.039000000804662704,0.16096800565719604,-0.13073399662971497,2.0292301177978516,0.7730000019073486,1177.300048828125,0.0648690015077591,2.0,1.312999963760376,1.0420000553131104,0.6470450162887573,0.513496994972229,1.2600799798965454,3.0,0.0,0.6399999856948853,0.9954339861869812,19.38319969177246,0.3424000144004822,345.8468266,-27.6358832,6.65506,26.243900299072266,4.802100011147559e-05,0.046101998537778854,-0.09385599941015244,0.00011908199667232111,t17_f5_c3,ZTF19abkepdy
2459897.6668171,1,2143166811115,19.563899993896484,/ztf/archive/sci/2022/1114/166806/ztf_20221114166806_000292_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.143166811115015e+18,t,7.0,2143,11,292,1541.8199462890625,1934.4300537109375,345.8468539,-27.6359372,19.152599334716797,0.14911699295043945,0.9332950115203857,19.286500930786133,0.1988999992609024,0.21033699810504913,18.124000549316406,0.01899999938905239,1.350000023841858,0.039000000804662704,0.39499300718307495,0.13394099473953247,3.6500000953674316,0.7730000019073486,1146.0699462890625,0.2773599922657013,1.059059977531433,0.9779999852180481,0.8899999856948853,0.26794499158859253,0.24383600056171417,1.0988800525665283,3.0,0.0,0.9057139754295349,0.997763991355896,19.312700271606445,0.2597000002861023,345.8468266,-27.6358832,10.7648,26.2096004486084,2.60027009062469e-05,0.03807700052857399,-0.06641139835119247,5.6279001000802964e-05,t17_f5_c3,ZTF19abkepdy
2459897.7146296,2,2143214621115,19.257400512695312,/ztf/archive/sci/2022/1114/214618/ztf_20221114214618_000292_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.143214621115015e+18,t,15.0,2143,11,292,1533.02001953125,1930.4100341796875,345.8468008,-27.6359179,19.260099411010742,0.21827900409698486,0.9254140257835388,19.84119987487793,0.48590001463890076,0.17276300489902496,17.78499984741211,0.029999999329447746,1.7890000343322754,0.1979999989271164,-0.08995100110769272,0.5811089873313904,1.7347500324249268,0.9169999957084656,1150.0899658203125,-0.5837889909744263,2.0,1.2039999961853027,0.9879999756813049,0.6940469741821289,0.5695329904556274,1.2186199426651,2.0,0.0,0.7599999904632568,1.0,19.54129981994629,0.4717000126838684,345.8468438,-27.6358876,7.47204,26.148099899291992,2.4423299691989087e-05,0.040745701640844345,0.08582799881696701,4.1947401768993586e-05,t17_f5_c3,ZTF19abkepdy
2459899.6669213,1,2145166921115,19.398099899291992,/ztf/archive/sci/2022/1116/166910/ztf_20221116166910_000292_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.145166921115015e+18,t,3.0,2145,11,292,1538.0400390625,1938.6700439453125,345.8468439,-27.6358475,19.37619972229004,0.192563995718956,1.1222800016403198,19.63010025024414,0.2863999903202057,0.1326259970664978,18.124000549316406,0.01899999938905239,1.350000023841858,0.039000000804662704,-0.02356800064444542,0.2538599967956543,4.170000076293945,0.5820000171661377,1141.8299560546875,-0.23196899890899658,1.0231000185012817,1.1710000038146973,1.1260000467300415,0.2808150053024292,0.27002400159835815,1.0399600267410278,2.0,0.0,0.75,1.0,19.850000381469727,0.44769999384880066,345.8468266,-27.6358832,7.37962,26.222200393676758,3.549309985828586e-05,0.03975899890065193,-0.059257298707962036,8.836160122882575e-05,t17_f5_c3,ZTF19abkepdy
2459900.7125231,2,2146212521115,18.603900909423828,/ztf/archive/sci/2022/1117/212512/ztf_20221117212512_000292_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2146,11,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.14859962463379,0.00011434200132498518,0.045534901320934296,0.11722400039434433,0.00022683800489176065,t17_f5_c3,ZTF19abkepdy
2459901.647037,2,2147147031115,16.529300689697266,/ztf/archive/sci/2022/1118/147025/ztf_20221118147025_000292_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2147,11,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.477100372314453,0.0007412789855152369,0.06744919717311859,0.0013584799598902464,0.00178165000397712,t17_f5_c3,ZTF19abkepdy
2459902.6488889,2,2148148881115,19.113500595092773,/ztf/archive/sci/2022/1119/148889/ztf_20221119148889_000292_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2148,11,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.148399353027344,4.1904098907252774e-05,0.0499906986951828,0.11498399823904037,7.352599641308188e-05,t17_f5_c3,ZTF19abkepdy
2459902.67,1,2148169991115,19.281600952148438,/ztf/archive/sci/2022/1119/169988/ztf_20221119169988_000292_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.148169991115015e+18,t,3.0,2148,11,292,1550.719970703125,1924.3399658203125,345.8470311,-27.6357378,19.16360092163086,0.2012919932603836,1.4633100032806396,19.154600143432617,0.19220000505447388,0.8253509998321533,18.124000549316406,0.01899999938905239,1.350000023841858,0.039000000804662704,-0.4433009922504425,-0.009003999643027782,3.450000047683716,0.6470000147819519,1156.1600341796875,0.12695300579071045,1.3272600173950195,1.4800000190734863,1.4579999446868896,0.4289860129356384,0.42260900139808655,1.015089988708496,3.0,0.0,0.47857099771499634,0.9786819815635681,18.973100662231445,0.20759999752044678,345.8468266,-27.6358832,7.63599,26.165599822998047,5.649309969157912e-05,0.0472102016210556,-0.04462429881095886,0.00014536900562234223,t17_f5_c3,ZTF19abkepdy
2459904.6473032,1,2150147301115,19.231800079345703,/ztf/archive/sci/2022/1121/147292/ztf_20221121147292_000292_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.150147301115015e+18,t,2.0,2150,11,292,1523.1199951171875,1920.3699951171875,345.8468838,-27.6360238,19.333200454711914,0.2805050015449524,1.1335999965667725,19.261600494384766,0.20980000495910645,0.5307369828224182,18.124000549316406,0.01899999938905239,1.350000023841858,0.039000000804662704,0.10543300211429596,-0.07159200310707092,2.42221999168396,0.460999995470047,1160.1300048828125,-0.029752999544143677,2.0,1.4420000314712524,1.3530000448226929,0.595320999622345,0.5585780143737793,1.0657800436019897,4.0,0.0,0.5114290118217468,0.9912729859352112,19.1033992767334,0.23170000314712524,345.8468266,-27.6358832,6.05816,26.145200729370117,6.366959860315546e-05,0.04648210108280182,-0.06419099867343903,0.00016393300029449165,t17_f5_c3,ZTF19abkepdy
2459907.6271644,1,2153127161115,19.235599517822266,/ztf/archive/sci/2022/1124/127025/ztf_20221124127025_000292_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.1531271611150152e+18,t,81.0,2153,11,292,1552.1700439453125,1904.77001953125,345.8468454,-27.6358938,19.36079978942871,0.20920799672603607,1.1172200441360474,19.40760040283203,0.2540000081062317,0.07023199647665024,18.124000549316406,0.01899999938905239,1.350000023841858,0.039000000804662704,0.7334449887275696,0.04675799980759621,2.2743000984191895,0.4449999928474426,1175.72998046875,-0.17196999490261078,2.0,1.5499999523162842,1.3480000495910645,0.6815279722213745,0.5927090048789978,1.1498500108718872,3.0,0.0,0.4300000071525574,1.0,19.411100387573242,0.3255000114440918,345.8468266,-27.6358832,6.71737,26.19879913330078,6.156710151117295e-05,0.049094900488853455,-0.0354732982814312,0.00014972900680731982,t17_f5_c3,ZTF19abkepdy
2459907.6482986,2,2153148291115,19.25149917602539,/ztf/archive/sci/2022/1124/148287/ztf_20221124148287_000292_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.153148291115015e+18,t,7.0,2153,11,292,1549.0899658203125,1901.22998046875,345.8467164,-27.6358723,19.15290069580078,0.21662800014019012,1.0774999856948853,19.29640007019043,0.26249998807907104,0.40513500571250916,17.78499984741211,0.029999999329447746,1.7890000343322754,0.1979999989271164,-0.44841599464416504,0.14351099729537964,2.5299999713897705,0.6430000066757202,1179.27001953125,-0.044899001717567444,1.5541399717330933,1.0,0.8100000023841858,0.39525699615478516,0.3201580047607422,1.234570026397705,2.0,0.0,0.8100000023841858,1.0,19.27589988708496,0.328900009393692,345.8468438,-27.6358876,7.21278,26.16189956665039,2.9232400265755132e-05,0.044697798788547516,0.09415990114212036,4.979450022801757e-05,t17_f5_c3,ZTF19abkepdy
2459909.6734259,2,2155173421115,19.42020034790039,/ztf/archive/sci/2022/1126/173391/ztf_20221126173391_000292_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.155173421115015e+18,t,10.0,2155,11,292,1551.6099853515625,1900.06005859375,345.8467899,-27.6358262,19.327600479125977,0.15860100090503693,0.6905500292778015,19.06570053100586,0.22110000252723694,0.2765890061855316,17.78499984741211,0.029999999329447746,1.7890000343322754,0.1979999989271164,-1.3939800262451172,-0.26187199354171753,2.3499999046325684,0.7369999885559082,1180.43994140625,0.3544810116291046,1.3703299760818481,0.9990000128746033,0.8730000257492065,0.4251059889793396,0.3714889883995056,1.1443300247192383,4.0,0.0,0.8899999856948853,1.0,18.723899841308594,0.20649999380111694,345.8468438,-27.6358876,7.12395,26.20560073852539,1.8348799130762927e-05,0.03588170185685158,0.08110670000314713,3.108640157734044e-05,t17_f5_c3,ZTF19abkepdy
