jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459489.8805093,1,1735380502115,20.69729995727539,/ztf/archive/sci/2021/1002/380498/ztf_20211002380498_000557_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.73538050211503e+18,f,9.0,1735,21,557,1666.8399658203125,531.5070190429688,52.65282,18.7195584,20.648099899291992,0.19679099321365356,1.3628599643707275,21.139799118041992,0.6136000156402588,0.67774498462677,18.381000518798828,0.04699999839067459,3.3580000400543213,0.21400000154972076,-0.35802599787712097,0.49172499775886536,1.2451800107955933,0.609000027179718,531.5070190429688,-0.4425320029258728,2.0,0.8130000233650208,0.6399999856948853,0.6529179811477661,0.5139819979667664,1.2703100442886353,6.0,0.0,0.75142902135849,0.8008340001106262,21.155399322509766,0.7861999869346619,52.6530193,18.7195457,5.70965,26.29509925842285,2.8903999918838963e-05,0.050565700978040695,-0.14864400029182434,4.17931005358696e-05,t17_f5_c3,ZTF19ablfish
2459489.9227662,2,1735422762115,20.441999435424805,/ztf/archive/sci/2021/1002/422755/ztf_20211002422755_000557_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.73542276211503e+18,f,6.0,1735,21,557,1660.6600341796875,533.7420043945312,52.6528807,18.7195235,20.234600067138672,0.21003299951553345,1.859089970588684,20.460100173950195,0.45190000534057617,0.2584730088710785,17.57200050354004,0.04399999976158142,3.561000108718872,0.17299999296665192,-0.1346130073070526,0.22547300159931183,1.1584700345993042,0.9340000152587891,533.7420043945312,-0.01812100037932396,2.0,0.6420000195503235,0.48500001430511475,0.55417799949646,0.41865500807762146,1.3237099647521973,4.0,0.0,0.9200000166893005,0.9627869725227356,20.341100692749023,0.5094000101089478,52.6529542,18.7195408,5.86812,26.28059959411621,9.728320037538651e-06,0.029636699706315994,0.10055699944496155,1.3807700270263012e-05,t17_f5_c3,ZTF19ablfish
2459494.8682407,1,1740368242115,16.548999786376953,/ztf/archive/sci/2021/1007/368229/ztf_20211007368229_000557_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1740,21,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.153799057006836,0.007044719997793436,0.05966639891266823,-0.1485079973936081,0.02295139990746975,t17_f5_c3,ZTF19ablfish
2459498.8707176,2,1744370712115,20.550800323486328,/ztf/archive/sci/2021/1011/370718/ztf_20211011370718_000557_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.74437071211501e+18,f,8.0,1744,21,557,1651.56005859375,529.4879760742188,52.6529718,18.7194678,19.95210075378418,0.17842599749565125,1.883870005607605,20.023399353027344,0.2689000070095062,0.256401002407074,17.57200050354004,0.04399999976158142,3.561000108718872,0.17299999296665192,-0.6464999914169312,0.07132700085639954,1.197350025177002,0.8989999890327454,529.4879760742188,0.527409017086029,2.0,0.6850000023841858,0.5640000104904175,0.572098970413208,0.4710420072078705,1.2145400047302246,6.0,0.0,0.9228569865226746,0.9888870120048523,19.86440086364746,0.2906000018119812,52.6529542,18.7195408,7.28738,26.317100524902344,9.307919754064642e-06,0.0291300006210804,0.09387549757957458,1.3312100236362312e-05,t17_f5_c3,ZTF19ablfish
2459498.9246065,1,1744424602115,20.773099899291992,/ztf/archive/sci/2021/1011/424444/ztf_20211011424444_000557_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.74442460211501e+18,f,10.0,1744,21,557,1658.1700439453125,533.9959716796875,52.6529252,18.7194809,20.162099838256836,0.1911430060863495,1.0776000022888184,20.245500564575195,0.2583000063896179,0.37966400384902954,18.381000518798828,0.04699999839067459,3.3580000400543213,0.21400000154972076,-0.6983850002288818,0.08337599784135818,1.2156699895858765,0.8100000023841858,533.9959716796875,0.527550995349884,2.0,0.8460000157356262,0.6520000100135803,0.6959149837493896,0.5363320112228394,1.2975499629974365,6.0,0.0,0.7585710287094116,0.8967130184173584,20.159099578857422,0.3009999990463257,52.6530193,18.7195457,8.81513,26.331100463867188,3.472880052868277e-05,0.055679500102996826,-0.1680299937725067,4.997189898858778e-05,t17_f5_c3,ZTF19ablfish
2459503.8989236,2,1749398922115,20.16699981689453,/ztf/archive/sci/2021/1016/398912/ztf_20211016398912_000557_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.74939892211501e+18,f,5.0,1749,21,557,1657.9300537109375,547.2009887695312,52.6529849,18.71952,19.895999908447266,0.14569300413131714,0.6056429743766785,19.742300033569336,0.27000001072883606,0.1171099990606308,17.57200050354004,0.04399999976158142,3.561000108718872,0.17299999296665192,-0.275736004114151,-0.15374700725078583,1.2653100490570068,0.8669999837875366,547.2009887695312,0.4246709942817688,2.0,0.722000002861023,0.6779999732971191,0.5706130266189575,0.5358390212059021,1.0649000406265259,4.0,0.0,0.9685710072517395,0.9757019877433777,19.978599548339844,0.4250999987125397,52.6529542,18.7195408,5.68246,26.29800033569336,7.507650025218027e-06,0.025965899229049683,0.10145299881696701,1.0712100447562989e-05,t17_f5_c3,ZTF19ablfish
2459503.9449884,1,1749444982115,20.43079948425293,/ztf/archive/sci/2021/1016/444977/ztf_20211016444977_000557_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.74944498211501e+18,f,7.0,1749,21,557,1649.760009765625,550.9329833984375,52.6529047,18.719548,20.018800735473633,0.17347699403762817,1.3202600479125977,20.052200317382812,0.25600001215934753,0.3859890103340149,18.381000518798828,0.04699999839067459,3.3580000400543213,0.21400000154972076,-0.6684949994087219,0.03340400010347366,2.0899999141693115,0.921999990940094,550.9329833984375,0.37861499190330505,1.3270399570465088,0.8109999895095825,0.6399999856948853,0.3880380094051361,0.30621999502182007,1.2671899795532227,5.0,0.0,0.9642860293388367,0.9595950245857239,20.05590057373047,0.3257000148296356,52.6530193,18.7195457,9.83316,26.282800674438477,2.814370054693427e-05,0.04974830150604248,-0.13248200714588165,4.1941100789699703e-05,t17_f5_c3,ZTF19ablfish
2459512.8281366,2,1758328132115,20.06760025024414,/ztf/archive/sci/2021/1025/328137/ztf_20211025328137_000557_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1758,21,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.324899673461914,5.516949840966845e-06,0.02239679917693138,0.1075970008969307,7.913319677754771e-06,t17_f5_c3,ZTF19ablfish
2459512.9033796,1,1758403372115,19.92569923400879,/ztf/archive/sci/2021/1025/403380/ztf_20211025403380_000557_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1758,21,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.34869956970215,1.3552799828175921e-05,0.032360199838876724,-0.05732949823141098,2.240980029455386e-05,t17_f5_c3,ZTF19ablfish
2459474.927662,1,1720427662115,20.82539939880371,/ztf/archive/sci/2021/0917/427662/ztf_20210917427662_000557_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1720,21,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2987003326416,4.165980135439895e-05,0.06081879884004593,-0.20306000113487244,5.9087898989673704e-05,t17_f5_c3,ZTF19ablfish
2459474.9659606,2,1720465962115,20.499300003051758,/ztf/archive/sci/2021/0917/465949/ztf_20210917465949_000557_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1.72046596211501e+18,f,5.0,1720,21,557,1681.5999755859375,526.9099731445312,52.6529159,18.7194498,20.37420082092285,0.2886120080947876,2.1780800819396973,20.615299224853516,0.44119998812675476,0.3341880142688751,17.57200050354004,0.04399999976158142,3.561000108718872,0.17299999296665192,-0.21340399980545044,0.24108099937438965,1.332170009613037,0.7680000066757202,526.9099731445312,-0.11595100164413452,2.0,0.7200000286102295,0.36899998784065247,0.5404719710350037,0.27699199318885803,1.9512200355529785,10.0,0.0,0.6857140064239502,0.6209409832954407,20.58169937133789,0.5335999727249146,52.6529542,18.7195408,5.16318,26.28420066833496,1.4659600310551468e-05,0.03605420142412186,0.09613069891929626,2.070849950541742e-05,t17_f5_c3,ZTF19ablfish
2459477.8718866,1,1723371882115,19.40049934387207,/ztf/archive/sci/2021/0920/371852/ztf_20210920371852_000557_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1723,21,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.305599212646484,2.7137499273521826e-05,0.04090939834713936,-0.05492769926786423,5.056309964857064e-05,t17_f5_c3,ZTF19ablfish
2459477.914919,2,1723414912115,19.91830062866211,/ztf/archive/sci/2021/0920/414907/ztf_20210920414907_000557_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1723,21,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.31760025024414,1.0289300007571e-05,0.030385499820113182,0.10093999654054642,1.4643899703514762e-05,t17_f5_c3,ZTF19ablfish
2459479.845,1,1725345002115,19.024200439453125,/ztf/archive/sci/2021/0922/345000/ztf_20210922345000_000557_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1725,21,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.208999633789062,4.4370499381329864e-05,0.04354120045900345,-0.04846850037574768,9.127829980570823e-05,t17_f5_c3,ZTF19ablfish
2459479.9071065,2,1725407102115,19.746999740600586,/ztf/archive/sci/2021/0922/407083/ztf_20210922407083_000557_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1725,21,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.288000106811523,8.544109732611105e-06,0.027473600581288338,0.1062380000948906,1.2093099940102547e-05,t17_f5_c3,ZTF19ablfish
2459484.8881944,1,1730388192115,19.761199951171875,/ztf/archive/sci/2021/0927/388137/ztf_20210927388137_000557_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1730,21,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.252599716186523,1.5887999325059354e-05,0.035289399325847626,-0.06125099956989288,2.6006500775110908e-05,t17_f5_c3,ZTF19ablfish
2459484.9639699,2,1730463962115,19.90130043029785,/ztf/archive/sci/2021/0927/463970/ztf_20210927463970_000557_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1730,21,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2549991607666,7.164569979067892e-06,0.025307299569249153,0.10714299976825714,1.0156200005440041e-05,t17_f5_c3,ZTF19ablfish
2459487.8932407,2,1733393242115,20.260000228881836,/ztf/archive/sci/2021/0930/393160/ztf_20210930393160_000557_zr_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1733,21,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.29680061340332,7.353899945883313e-06,0.025725500658154488,0.0999709963798523,1.0449200090079103e-05,t17_f5_c3,ZTF19ablfish
2459487.9208218,1,1733420822115,20.43560028076172,/ztf/archive/sci/2021/0930/420822/ztf_20210930420822_000557_zg_c06_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1733,21,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.306699752807617,2.086019958369434e-05,0.042785800993442535,-0.11578600108623505,3.0522500310325995e-05,t17_f5_c3,ZTF19ablfish
