jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460092.8740162,2,2338374011915,20.849700927734375,/ztf/archive/sci/2023/0528/374005/ztf_20230528374005_000535_zr_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2338,19,535,26.268600463867188,2.2312099190457957e-06,0.018691500648856163,0.08263439685106277,5.6000899348873645e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19ablhjzt
2460093.8257292,2,2339325725515,20.306800842285156,/ztf/archive/sci/2023/0529/325718/ztf_20230529325718_001530_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2339,55,1530,26.244800567626953,4.032860033476027e-06,0.023278500884771347,0.07420259714126587,1.0077200386149343e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19ablhjzt
2460094.8096296,3,2340309621915,19.914199829101562,/ztf/archive/sci/2023/0530/309618/ztf_20230530309618_000535_zi_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2340,19,535,25.709199905395508,1.857889969869575e-06,0.02013549953699112,0.19835300743579865,2.3679500372963957e-05,t17_f5_c3,2.340309621915015e+18,t,2.0,2119.52001953125,885.2420043945312,260.1144753,10.536152,19.092199325561523,0.14605000615119934,1.9686100482940674,19.132600784301758,0.22089999914169312,0.17806600034236908,17.5049991607666,0.06499999761581421,4.446000099182129,0.492000013589859,0.09533900022506714,0.040428001433610916,1.1196600198745728,0.9020000100135803,885.2420043945312,0.7815799713134766,2.0,0.703000009059906,0.5609999895095825,0.6278690099716187,0.501043975353241,1.253119945526123,7.0,0.0,0.798570990562439,0.9303939938545227,19.391799926757812,0.3540000021457672,260.1145158,10.5361811,5.68885,ZTF19ablhjzt
2460094.8248032,1,2340324805515,20.17300033569336,/ztf/archive/sci/2023/0530/324792/ztf_20230530324792_001530_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2340,55,1530,26.30739974975586,3.479859969957033e-06,0.022077199071645737,-0.027484599500894547,8.622169843874872e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19ablhjzt
2460094.9106944,1,2340410691915,20.799299240112305,/ztf/archive/sci/2023/0530/410683/ztf_20230530410683_000535_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2340,19,535,26.25950050354004,3.1271199532056926e-06,0.022303199395537376,-0.060176100581884384,7.833929885237012e-06,t17_f5_c3,2.340410691915015e+18,t,3.0,2130.68994140625,895.52001953125,260.1144045,10.5362261,20.471500396728516,0.26074400544166565,1.5288100242614746,20.892900466918945,0.43369999527931213,0.3886519968509674,19.104000091552734,0.06499999761581421,4.565000057220459,0.257999986410141,0.38040199875831604,0.42138099670410156,2.3399999141693115,0.6819999814033508,895.52001953125,-0.09360899776220322,1.079319953918457,0.8529999852180481,0.796999990940094,0.3645299971103668,0.3405979871749878,1.0702600479125977,4.0,0.0,0.892857015132904,0.9975399971008301,20.938400268554688,0.5730999708175659,260.1145027,10.5361739,6.90254,ZTF19ablhjzt
2460097.8575463,3,2343357541915,19.43829917907715,/ztf/archive/sci/2023/0602/357546/ztf_20230602357546_000535_zi_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2343,19,535,25.702199935913086,2.113029950123746e-06,0.021565400063991547,0.18752899765968323,2.6815900127985515e-05,t17_f5_c3,2.343357541915015e+18,t,5.0,2135.929931640625,904.322021484375,260.114539,10.5362168,19.05620002746582,0.19408200681209564,1.438349962234497,19.35099983215332,0.41990000009536743,0.1449120044708252,17.5049991607666,0.06499999761581421,4.446000099182129,0.492000013589859,0.9386889934539795,0.29482701420783997,1.0852899551391602,0.9769999980926514,904.322021484375,0.0873199999332428,2.0,0.6510000228881836,0.49300000071525574,0.599839985370636,0.4542570114135742,1.3204900026321411,7.0,0.0,0.7214289903640747,0.8237299919128418,19.3302001953125,0.5259000062942505,260.1145158,10.5361811,7.05581,ZTF19ablhjzt
2460099.8721759,2,2345372171915,19.206600189208984,/ztf/archive/sci/2023/0604/372153/ztf_20230604372153_000535_zr_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2345,19,535,26.264699935913086,3.3234600778087042e-06,0.02303439937531948,0.07209040224552155,8.314230399264488e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19ablhjzt
2460099.9279167,1,2345427911915,18.94569969177246,/ztf/archive/sci/2023/0604/427905/ztf_20230604427905_000535_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2345,19,535,26.22010040283203,1.0312200174666941e-05,0.038350798189640045,-0.0503212995827198,2.6124000214622356e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19ablhjzt
2460101.8654398,2,2347365431915,19.538400650024414,/ztf/archive/sci/2023/0606/365417/ztf_20230606365417_000535_zr_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2347,19,535,26.280899047851562,2.190000031987438e-06,0.018591299653053284,0.07064890116453171,5.492419859365327e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19ablhjzt
2460101.9233565,1,2347423351915,19.302499771118164,/ztf/archive/sci/2023/0606/423345/ztf_20230606423345_000535_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2347,19,535,26.22599983215332,7.09610003468697e-06,0.03350229933857918,-0.05371930077672005,1.7713500710669905e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19ablhjzt
